CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Athens,Athens County Courthouse,OH,US,2018-03-01,more than 100,100,,100,,,Athens County Board of Developmental Disabilities,Rallying for National Developmental Disabilities Awareness Month,0,rally,0,0,0,0,1,1,https://www.athensnews.com/news/local/acbdd-march-defies-the-rain/article_590376ac-1fdb-11e8-962f-0371616a8887.html,,,,
Augusta,State Capitol,ME,US,2018-03-01,hundreds,200,,200,,,Maine Gun Safety Coalition,Protesting bill that would allow guns on school property,1,protest,0,0,0,0,1,1,http://wgme.com/news/local/proponents-opponents-rally-over-bill-that-would-allow-guns-on-school-property,,,,
Augusta,State Capitol,ME,US,2018-03-01,hundreds,200,,200,,,general protestors,"Counter-protest, rallying for guns on school property",2,protest,0,0,0,0,0,1,http://wgme.com/news/local/proponents-opponents-rally-over-bill-that-would-allow-guns-on-school-property,,,,
Buffalo,St. Paul's Cathedral,NY,US,2018-03-01,FB: 127,127,,127,,,general protestors,Protesting gun violence in wake of school shooting,1,protest,0,0,0,0,1,1,https://www.wkbw.com/news/going-from-sadness-to-action-buffalo-church-looks-to-inspire-gun-control-change,https://www.facebook.com/events/345289235977780/,,,
Chicago,Federal Plaza,IL,US,2018-03-01,,,,,,,United We Dream,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,https://www.chicagomaroon.com/article/2018/3/2/rally-demands-illinois-representatives-take-action/,,,,
Columbus,Columbus Gov. Center,GA,US,2018-03-01,,,,,,,Colgay Pride of Columbus,Protesting anti-LGBT state bill,0,protest,0,0,0,0,1,1,http://www.wtvm.com/story/37629093/colgay-pride-hosts-rally-to-protest-georgia-adoption-bill,,,,
Des Moines,Roosevelt High School,IA,US,2018-03-01,about 300,300,,300,,,Students  ,Protesting gun violence in wake of school shooting,1,protest,0,0,0,0,1,1,https://www.desmoinesregister.com/story/news/education/2018/03/01/des-moines-roosevelt-students-walk-out-school-protest-gun-violence/387311002/,https://www.desmoinesregister.com/story/news/education/2018/03/01/des-moines-roosevelt-students-walk-out-school-protest-gun-violence/387311002/,,,
Frankfort,State Capitol,KY,US,2018-03-01,,,,,,,general protestors,Protesting abortion,2,protest,0,0,0,0,1,1,https://www.wtvq.com/2018/03/02/pro-life-activists-rally-frankfort/,,,,
Great Falls,Great Falls Central Catholic High School.,MT,US,2018-03-01,,,,,,,students,"Respect Rally""; celebrate inclusion",0,rally,0,0,0,0,1,1,http://www.krtv.com/story/37628161/respect-rally-held-at-great-falls-central-catholic-high-school,,,,
Hartford,Main St.; in front of courthouse,CT,US,2018-03-01,dozens,24,,24,,,general protestors,Protesting deportation of local couple,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1892991340763909/,http://fox61.com/2018/03/01/rally-held-for-new-britain-pizza-owners-facing-deportation-friday/,,,
Hayden,Hayden High School,CO,US,2018-03-01,More than half of the school's 123 students,62,,62,,,Students,Protesting school schedule change,0,walkout; protest,0,0,0,0,1,1,https://www.steamboattoday.com/news/hayden-students-stage-walkout-in-protest-of-schedule-change/,,,,
