CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Ashburn,Madison Trust Elementary School,Loudoun,VA,US,2019-03-01,NA,6,,6,,,Black Panther Party,Civil Rights; For racial justice,0,protest,0,0,0,0,1,1,https://www.wusa9.com/article/news/security-increased-at-loudoun-county-elementary-school-after-protesters-enter-building/65-dc75f44f-eda6-4c96-9985-771e8b00be2d,,,20488
Buffalo,downtown Buffalo ,Erie,NY,US,2019-03-01,about 125,125,,125,,,supporters of the vaping industry,Other; For smoking,0,rally,0,0,0,0,1,1,https://buffalonews.com/2019/03/01/vaping-supporters-rally-in-downtown-buffalo/,,,
Charlottesville,in front of the Rotunda at the University of Virginia ,Albemarle,VA,US,2019-03-01,count pic,57,,57,,,students,Collective Bargaining; For better compensation,0,protest,0,0,0,0,1,1,https://www.cbs19news.com/content/news/UVA-protesters-want-more-pay-for-workers-there-506568111.html,https://www.dailyprogress.com/gallery/living-wage-protest-at-the-university-of-virginia/collection_ec654bec-3c71-11e9-b550-47d6c7ca7bd0.html#1,,
Chicago,outside 430 N. Michigan Ave,Cook,IL,US,2019-03-01,,,,,,,general protestors,Other; For affordable housing; For rent control,0,protest,0,0,0,0,1,1,https://wgntv.com/2019/03/01/march-for-rent-control/,,,
Grand Island,Kinkaider Brewing Co.,Cedar,NE,US,2019-03-01,,,,,,,Representatives of a dozen craft brewing companies,Other; Against tax; Drugs/Alcohol,0,rally,0,0,0,0,1,1,https://www.kearneyhub.com/news/state/craft-brewers-rally-against-bills-at-three-sites-including-grand/article_b2fa856c-3ce8-11e9-a24f-db97bd1b6639.html,,,2 other events. Other two were in Omaha and Lincoln.
Lincoln,Kinkaider Brewing Co.,Lancaster ,NE,US,2019-03-01,,,,,,,Representatives of a dozen craft brewing companies,Other; Against tax; Drugs/Alcohol,0,rally,0,0,0,0,1,1,https://www.kearneyhub.com/news/state/craft-brewers-rally-against-bills-at-three-sites-including-grand/article_b2fa856c-3ce8-11e9-a24f-db97bd1b6639.html,,,
Oakland,Oakland Unified School District school board meeting,Alameda,CA,US,2019-03-01,hundreds,200,,200,,,students and teachers,Against budget; Education,0,protest,0,0,0,0,1,1,https://www.sfgate.com/news/article/Students-protest-budget-cuts-at-Oakland-school-13662195.php,,,20474
Omaha,,Douglas,NE,US,2019-03-01,,,,,,,Representatives of a dozen craft brewing companies,Other; Against tax; Drugs/Alcohol,0,rally,0,0,0,0,1,1,https://www.kearneyhub.com/news/state/craft-brewers-rally-against-bills-at-three-sites-including-grand/article_b2fa856c-3ce8-11e9-a24f-db97bd1b6639.html,,,
St. Louis,Edison Courtyard Washington University,St. Louis,MO,US,2019-03-01,over 100,100,,100,,,students,Against fossil fuels; Environment,1,protest,0,0,0,0,1,1,http://www.studlife.com/?p=95824,,,20465
Westminster,Westminster High School,Carroll,MD,US,2019-03-01,,,,,,,students,Civil Rights; For greater inclusion,0,rally,,,,,1,1,https://www.carrollcountytimes.com/news/education/ph-cc-whs-shirt-protest-20170301-story.html,,,
Annapolis,streets of Annapolis ,Anne Arundel,MD,US,2019-03-02,about 200,200,,200,,,general protestors,Civil Rights; Women's March; For women's rights,1,march,0,0,0,0,1,1,https://www.capitalgazette.com/news/annapolis/ac-cn-womens-march-0303-story.html,,,
Caln Township,Lloyd Farm,Chester,PA,US,2019-03-02,count pic,2,,2,,,general protestors,Other; For historic preservation,0,protest,0,0,0,0,1,1,https://www.dailylocal.com/news/residents-peacefully-protest-demolition-plans-on-lloyd-farm-property/article_205991f6-4113-11e9-8c53-93ef4b0aa639.html,,,20534
Danbury,on White Street,Fairfield ,CT,US,2019-03-02,,,,,,,Stamford grassroots organization No Tolls CT,Other; Transportation; Against fees,0,protest,0,0,0,0,1,1,https://www.newstimes.com/local/article/No-Tolls-CT-to-host-rally-in-Danbury-13643963.php,,,
Doswell,exit 98,Hanover ,VA,US,2019-03-02,,,,,,,Black Smoke Matters,Other; Transportation; Against monitoring,0,protest,0,0,0,0,1,1,https://wtvr.com/2019/03/03/virginia-slow-roll-tractor-trailers-protest-black-smoke-matters/,,,20450
Indianapolis,Statehouse,Marion,IN,US,2019-03-02,about 100,100,,100,,,Student activists,Guns; For greater gun control; March for Our Lives,1,rally,0,0,0,0,1,1,https://www.indystar.com/story/news/2019/03/02/march-for-our-lives-protest-indianapolis-indiana-statehouse-background-checks-gun-purchases/3038888002/,,,
Sacramento,Arden Fair Mall,Sacramento ,CA,US,2019-03-02,10; several dozen,10,,36,,,general protestors,Civil Rights; For racial justice; For greater accountability; Police,1,protest,0,0,0,0,1,1,https://www.sacbee.com/news/local/article227053604.html,,,20451
Sacramento,Sacramento Police Department,Sacramento ,CA,US,2019-03-02,,,,,,,Black Live Matter-Sacramento,Civil Rights; For racial justice; For greater accountability; Police,1,protest,0,0,0,0,0,1,https://www.kcra.com/article/protesters-gather-at-sacramento-police-department-and-call-for-officers-to-be-fired/26605686,,,20456
Winston-Salem,Confederate statue on Fourth and Liberty streets,Forsyth,NC,US,2019-03-02,several,,,,,,Hate Out of Winston-Salem,Against Confederate symbol; Civil Rights; For racial justice,1,protest,0,0,0,0,1,1,https://www.greensboro.com/news/local_news/chalk-graffiti-on-sidewalk-in-confederate-monument-protest/article_41ae0d98-0bc6-544e-9fc5-737736a2b261.html,,,20449
Hyannis,Powderhorn Outfitters,Barnstable ,MA,US,2019-03-03,Between 20 and 30,20,,30,,,Cape Cod Animal Save,For animal welfare; Other,0,protest,0,0,0,0,1,1,https://www.capecodtimes.com/news/20190303/hyannis-stores-sponsorship-of-coyote-killings-criticized-at-sidewalk-protest,,,20452
Killeen,West Hallmark,Bell ,TX,US,2019-03-03,,,,,,,general protestors,Civil Rights; For greater accountability; For racial justice; Police,1,protest,0,0,0,0,1,1,http://kdhnews.com/news/crime/no-knock-protest-held-after-recent-killeen-police-shooting-death/article_4a132028-3eae-11e9-8f7a-d7cd4e72bf64.html,,,20458
Philadelphia,Independence Hall,Philadelphia ,PA,US,2019-03-03,NA,55,,55,,,Tibetan American Community,Tibet; International; Against foreign government; China,0,protest,0,0,0,0,1,1,https://www.philly.com/news/tibet-independence-dalai-lama-philadelphia-20190303.html,,,20454
Portland,Portland State University,Multnomah,OR,US,2019-03-03,about 2000,2000,,2000,,,general protestors,Civil Rights; For women's rights; Women's March,0,protest,0,0,0,0,1,1,https://www.kgw.com/article/news/local/thousands-expected-to-attend-portland-womxns-march-and-rally-on-sunday/283-b856636d-e17c-41f1-8515-e320d3a449d1,https://portlandtribune.com/pt/9-news/421541-325937-womxns-march-draws-thousands-to-downtown-rally,,
Salem,Salem First Baptist Church,Marion,OR,US,2019-03-03,,,,,,,40 Days for Life,Against abortion rights; Civil Rights,2,rally,0,0,0,0,1,1,http://www.keizertimes.com/posts/33/40-days-for-life-hosts-kickoff-rally,,,
San Francisco,Civic Center Plaza,San Francisco,CA,US,2019-03-03,NA,200,,200,,,Riad KACED,International; Against foreign government; Algeria,0,rally,0,0,0,0,1,1,https://www.sfchronicle.com/politics/article/Bay-Area-political-events-LGBTQ-future-Dinesh-13649375.php,,,
Selma,Selma,Dallas County,AL,US,2019-03-03,,,,,,,Etowah County Southern Christian Leadership Conference,Civil Rights; For racial justice,0,march,0,0,0,0,1,1,https://www.gadsdentimes.com/news/20190226/locals-to-attend-selma-march-commemoration,,,
Annapolis,St. Marys Church to the State House,Anne Arundel,MD,US,2019-03-04,hundreds,200,,200,,,Maryland March for Life,Civil Rights; Against abortion rights; Against assisted suicide,2,march,0,0,0,0,1,1,https://www.capitalgazette.com/news/annapolis/ac-cn-march-for-life-0305-story.html,,,20481
Atlanta,Capitol,Fulton,GA,US,2019-03-04,dozens,24,,24,,,general protestors,Other; For redistricting; Local governance,0,protest,0,0,0,0,1,1,https://www.ajc.com/news/local/groups-supporting-fighting-prospective-dekalb-cities-rally-capitol/dlvV6NdcYiwm4fp0QzzqSM/,,,20470
Atlanta,Capitol,Fulton ,GA,US,2019-03-04,dozens,24,,24,,,general protestors,Other; Local governance; Against redistricting,0,protest,0,0,0,0,0,1,https://www.ajc.com/news/local/groups-supporting-fighting-prospective-dekalb-cities-rally-capitol/dlvV6NdcYiwm4fp0QzzqSM/,,,20471
Austin,Texas Capitol,Travis,TX,US,2019-03-04,nearly two dozen,24,,24,,,general protestors,Healthcare; For expanding coverage,0,protest,0,0,0,0,1,1,https://www.kvue.com/article/news/texans-rally-for-medicaid-expansion-at-the-capitol/269-fab0aa77-53c0-4b3e-80b0-66f7827695ae,,,20461
Boston,Capitol,Suffolk,MA,US,2019-03-04,,,,,,,MIRA Coalition,For compassionate immigration; Immigration,1,rally,0,0,0,0,1,1,https://www.wwlp.com/news/local-news/mira-coalition-rallies-support-for-the-safe-communities-act/1827083702,,,20462
Charleston,Capitol,Kanawha,WV,US,2019-03-04,about 50,50,,50,,,students,For greater gun control; Guns,1,protest ,0,0,0,0,1,1,https://www.wvgazettemail.com/news/education/wv-college-students-rally-against-guns-on-campus-bill/article_76739741-0469-510a-813c-d95be9aecced.html,,,
