CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Ann Arbor,,Washtenaw,MI,US,2018-11-01,dozens,24,,24,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,http://time.com/money/5442033/google-employees-walk-out-sexual-harassment/,https://www.clickondetroit.com/all-about-ann-arbor/ann-arbor-google-employees-walk-out-in-protest-of-sexual-harassment-scandals,,,
Arlington,,Middlesex,MA,US,2018-11-01,hundreds,200,,200,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/dlevenson36/status/1058139746860498950,http://arlington.wickedlocal.com/photogallery/WL/20181106/NEWS/110209995/PH/1,,,
Atlanta,Downtown ,Fulton,GA,US,2018-11-01,a few dozens,24,,40,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,http://time.com/money/5442033/google-employees-walk-out-sexual-harassment/,,,,
Austin,Google office,Travis,TX,US,2018-11-01,dozens,24,,24,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,https://www.statesman.com/news/20181101/dozens-walk-out-of-googles-austin-office-in-protest,,,,
Boston,New England Holocaust Memorial,Suffolk,MA,US,2018-11-01,hundreds,200,,200,,,"Boston Workmen's Circle Center for Jewish Culture and Social Justice, IfNotNow Boston, Moishe Kavod House Boston, Jewish Voice for Peace Boston",against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/jvplive/status/1058127699846164480,https://www.facebook.com/events/330051917546731/,https://www.bostonglobe.com/metro/2018/11/01/entire-jewish-community-aching-from-this-hundreds-boston-mourn-pittsburgh-shooting-victims/Ai9G8O5bfIwRroflmXzDFO/story.html,,
Boulder,Google office,Boulder,CO,US,2018-11-01,a few hundred,200,,200,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,http://time.com/money/5442033/google-employees-walk-out-sexual-harassment/,https://www.youtube.com/watch?v=_ic5nRdjh0Y,https://www.denverpost.com/2018/11/01/google-walkout-boulder-sexual-misconduct/,,
Butler,Congregation B'nai Abraham,Butler,PA,US,2018-11-01,hundreds,200,,200,,,Congregation B'nai Abraham,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/ButlerRadio/status/1058132541201358849,,,,
Cambridge,outside Google office in Kendall Square,Middlesex,MA,US,2018-11-01,about 300,300,,300,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,1,1,https://abc7ny.com/business/hundreds-of-google-employees-walk-out-protest-in-nyc/4595635/,https://abc7news.com/business/google-walkout-worldwide-unites-employees-against-companys-treatment-of-women/4598694/,,,
Chapel Hill,UNC,Orange,NC,US,2018-11-01,Over 200,200,,200,,,Hillel,against violent attack on Pittsburgh synagogue; against hate,0,vigil,0,0,0,0,1,1,https://www.twincities.com/2018/10/28/jewish-center-on-u-campus-holds-vigil-for-pittsburgh-victims/,,,,
Chicago,Loop Synagogue; 16 South Clark Street,Cook,IL,US,2018-11-01,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,solidarity gathering,0,0,0,0,1,1,https://www.bhcbe.org/erevshabbatmessages?post_id=355141&fbclid=IwAR3So4WC7uW7Kb2-PtHaK29-kHj8niljmWdYgdVZfwLdv8rAXjsLTYKZg2k,,,,
Chicago,,Cook,IL,US,2018-11-01,more than 200,200,,200,,,Google employees,protest sexual harassment and gender inequality at Google,0,protest,0,0,0,0,0,1,http://time.com/money/5442033/google-employees-walk-out-sexual-harassment/,https://www.chicagotribune.com/business/ct-biz-google-walkout-chicago-20181031-story.html,,,
College Park,University of Maryland,Prince George's,MD,US,2018-11-01,Hundreds,200,,200,,,student protestors,demand justice for Jordan McNair,0,protest,0,0,0,0,1,1,https://www.baltimoresun.com/news/maryland/education/higher-ed/bs-md-umd-protest-20181031-story.html,,,,
Columbia,Columbia Regional Airport,Boone,MO,US,2018-11-01,around 10000,10000,,10000,,,Trump campaign,pro-Hawley; for Republican candidates; for President Trump,2,rally,0,0,0,0,1,1,https://www.cbsnews.com/news/trump-rally-missouri-josh-hawley-republican-critical-senate-race-live-updates-2018-11-1/,https://www.kshb.com/news/state/missouri/thousands-wait-through-cold-rain-to-see-president-trump-in-columbia,https://www.mexicoledger.com/news/20181026/trump-to-rally-gop-in-columbia-on-thursday,feat. President Trump,
Columbia,Boone County Courthouse,Boone,MO,US,2018-11-01,na,98,,98,,,Boone County Democrats,protests against Trump administration and in support of Democrats,1,rally,0,0,0,0,0,1,https://www.columbiamissourian.com/news/local/love-safety-solidarity-and-support-protests-during-trump-s-visit/article_c779f75a-de35-11e8-8dc7-6fe35dce516e.html,,,,
Dalton,Dalton Convention Center arena,Whitfield,GA,US,2018-11-01,more than 3000 ,3000,,3000,,,general protestors,rally for Kemp (R) for governor,2,rally,0,0,0,0,1,1,http://www.wrcbtv.com/story/39398836/timeline-vp-pence-makes-campaign-stop-in-dalton-for-brian-kemp,https://www.moultrieobserver.com/news/ga_fl_news/vice-president-pence-touts-trump-record-kemp-at-rally-in/article_331fd805-c51e-5b22-85b6-31a1bea6255b.html,,VP Pence,
Decatur,Southern DeKalb County,Dekalb,GA,US,2018-11-01,,,,,,,general protestors,rally for Abrams (D) for governor,1,rally,0,0,0,0,1,1,https://www.nbcnews.com/politics/elections/oprah-campaign-georgia-democrat-stacey-abrams-mike-pence-rallies-her-n929766,https://www.dekalbcountyga.gov/parks/porter-sanford-iii-performing-arts-community-center,,,
Denton,University of North Texas,Denton,TX,US,2018-11-01,about 75,75,,75,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/UNTHillel/status/1057794158302294016,https://www.ntdaily.com/jewish-student-organization-fraternity-host-on-campus-vigil-in-wake-of-pittsburgh-synagogue-mass-shooting/,,,
Des Moines,outside the greater Des Moines partnership office,Polk,IA,US,2018-11-01,few dozen,12,,12,,,general protestors,chant against Congressman Steve King,0,protest,0,0,0,0,1,1,https://www.desmoinesregister.com/picture-gallery/news/politics/2018/11/01/steve-king-iowa-citizens-community-improvement-protest-greater-des-moines-partnership-racism-nazi/1847775002/,https://www.desmoinesregister.com/story/news/politics/elections/2018/11/01/steve-king-speaks-protesters-iowa-congressman-racist-vote-republican-greater-des-moines-partnership/1847195002/,,,
Des Moines,,Polk,IA,US,2018-11-01,more than 50,50,,50,,,Iowa Citizens for Community Improvement,confronting Rep. Steve King ,2,protest,0,0,0,0,1,1,https://www.ketv.com/article/protesters-force-their-way-into-steve-king-event/24528687,,,,
Everett,,Snohomish,WA,US,2018-11-01,,,,,,,general protestors,against violent attack on Pittsburgh synagogue,0,vigil,0,0,0,0,1,1,https://twitter.com/MayorCassie/status/1058458932350316544,,,,
