date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-10-01,Albuquerque,NM,Coors Blvd and Coors Bypass Blvd,,,,,New Mexico Freedom Fighters,,"against COVID-19 vaccination mandates, for freedom, for patriotism, for Donald Trump",2,rally,,,,,,,,,,,,https://www.instagram.com/p/CUKvbWbLkkv/,https://www.instagram.com/tv/CUgNxk9F-G4/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Annapolis,MD,Maryland State House; Governor's Mansion,,nearly 80,80,80,CASA,fair housing advocates; tenants; elected officials,"for extending state eviction moratorium and providing rent relief during coronavirus pandemic, for protecting Black and Latino families, for immigrants' rights",0,rally,,some slept overnight outside Governor's Mansion,,,,,,,,,,https://wtop.com/maryland/2021/10/fair-housing-advocates-rally-to-demand-hogan-reinstate-eviction-protections/,https://dbknews.com/2021/10/04/maryland-rally-eviction-moratorium-casa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Arlington,MA,Massachusetts Ave and Pleasant St,,,,,First Parish Unitarian-Universalist Church of Arlington,youth,"against Texas abortion ban, for reproductive rights, for women's rights",1,rally,,,,,,,,,,,,https://www.yourarlington.com/easyblog/entry/70-letters/3064-abortion-101721.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Barboursville,WV,"Sulzer Pumps, 1305 Main St",,approximately 50,50,50,IndustriALL Global Union,workers,against changes to seniority rights and health care and wages and layoff policy for Sulzer Pumps employees,0,strike; picket,,,,,,,,,,,,https://www.wsws.org/en/articles/2021/10/07/wvir-o07.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Bardstown,KY,Heaven Hill Distilleries,,,,,UFCW Local 23D,workers,for fair contract for Heaven HIll Distilleries workers,0,strike; picket,,,,,,,,,,,,https://therealnews.com/no-justice-no-bourbon-distillery-workers-in-kentucky-go-on-strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Brookwood,AL,Warror Met Coal Inc.,,,,,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://twitter.com/TheRealNews/status/1413205492806012929,https://twitter.com/GrimKim/status/1443950077450588167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Buffalo,NY,Mercy Hospital,,"hundreds; about 2,000; around 2,200",200,2200,CWA Local 1133,,for higher pay and safe staffing levels for nurses at Mercy Hospital,0,strike; picket,,,,,,,,,,,,https://spectrumlocalnews.com/nys/jamestown/news/2021/09/30/mercy-hospital-strike-looms-as-contract-deadline-hits,https://www.wivb.com/news/local-news/buffalo/cwa-workers-go-on-strike-at-mercy-hospital/,https://buffalonews.com/business/union-workers-at-mercy-hospital-go-on-strike-as-talks-fail-to-yield-deal/article_934e668c-228e-11ec-bc6c-dfe65ed3281b.html,https://www.wgrz.com/article/news/strike-to-begin-at-mercy-hospital-cwa-and-catholic-health-fail-to-reach-agreement/71-beff9f3d-bb67-4d11-8e61-d1cb9bec9a37,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Casper,WY,"Seton House, 333 E H St",,,1,1,,,against COVID-19 vaccination mandate for families staying at Seton House homeless shelter,2,protest,,fought with counter-protester; pulled gun on counter-protester,,,1,,,,20211001-casper-setonhouse,arrestee was off-duty police officer participating in protest,,https://fremonttribune.com/news/state-and-regional/former-casper-officer-pulled-gun-gouged-eye-in-fight-during-vaccine-protest-authorities-allege/article_89fbe8a2-ef68-5616-836d-5da886830e2a.html,https://oilcity.news/community/2021/10/16/gray-lends-support-to-demonstrators-against-seton-house-vaccine-requirement/?fr=operanews,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Casper,WY,"Seton House, 333 E H St",,,1,1,,,against protest against COVID-19 vaccination mandate for families staying at Seton House homeless shelter,0,counter-protest,,confronted protester; fought with protester,,1,,,,,20211001-casper-setonhouse,,,https://fremonttribune.com/news/state-and-regional/former-casper-officer-pulled-gun-gouged-eye-in-fight-during-vaccine-protest-authorities-allege/article_89fbe8a2-ef68-5616-836d-5da886830e2a.html,https://oilcity.news/community/2021/10/16/gray-lends-support-to-demonstrators-against-seton-house-vaccine-requirement/?fr=operanews,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,Charlotte,NC,Olympic High School; Sandy Porter Rd,,count video,100,200,,students,"against Olympic High School student accused of sexual assault being allowed to play in school football game, no more violence no more rape",0,walkout,,,,,,,,,,some student athletes suspended for participating in walkout,,https://myfox8.com/news/north-carolina/several-nc-high-school-volleyball-players-not-allowed-to-compete-due-to-walkout-protest-ignited-by-reported-sexual-assault-at-school/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
