CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
New Haven,Old Campus to Cross Campus,CT,US,2018-08-26,several hundred,200,,200,,,students,protesting Kavanaugh; rallying in support of Christine Blasey Ford,1,march,0,0,0,0,1,1,https://www.nhregister.com/news/article/Yale-undergraduates-rally-against-Kavanaugh-13261399.php,,,,
Lincoln,State Capitol building,NE,US,2018-08-27,,,,,,,general protestors,support Dr. Christine Blasey Ford; support survivors of sexual assault,1,protest,0,0,0,0,0,1,https://www.ketv.com/article/sexual-assault-survivors-respond-to-kavanaugh-allegations-with-rally-at-nebraska-state-capitol/23499120,,,,
Bryan,Sue Haswell Park,AL,US,2018-09-01,,,,,,,Brazos County Democratic Party,campaign rally,1,rally,0,0,0,0,1,1,https://events.mobilizeamerica.io/texasdemocrats/event/18046/,http://www.theeagle.com/news/local/democrats-hosting-labor-day-rally-at-sue-haswell-park-today/article_e4cc10d5-4e10-5c7b-a08a-97fd6795618c.html,,,
Des Moines,"Birdland Marina to Griffieon Farm, Ankeny",IA,US,2018-09-01,about two dozen,24,,24,,,Rise for Climate; First Nation Farmer Climate Unity March,Raising awareness about lawsuit on behalf of land owners who had property taken in order to build the Dakota Access Pipeline,1,march; rally,,,,,1,1,http://boldiowa.com/2018-first-nation-farmer-climate-unity-march/,http://boldiowa.com/these-iowans-are-walking-nearly-100-miles-to-protest-the-dakota-access-pipeline/,https://www.seattletimes.com/business/protesters-begin-100-mile-march-against-dakota-access/,,
Gainesville,1711 N. Main St.,FL,US,2018-09-01,about 40,40,,40,,,Interfaith Alliance for Immigrant Justice and the Alachua County Labor Coalition,protesting Wendy's refusal to join Fair Food Program,1,protest,1,0,0,0,1,1,https://www.gainesville.com/news/20180902/woman-arrested-in-wendys-protest,,,,
Gainesville,outside prison work camp,FL,US,2018-09-01,,,,,,,general protestors,support prisoners' strike; call for better prison conditions,0,protest,0,0,0,0,1,1,http://www.wcjb.com/content/news/Prison-protests-continue-outside-Gainesville-work-camp-492511421.html,,,multi-day encampment protest to Sept 9,
Houston,George R. Brown Convention Center,TX,US,2018-09-01,roughly two dozen,24,,24,,,Texas Patriot Network,protesting Islamic convention,2,protest,3,0,0,0,1,1,https://www.houstonchronicle.com/news/houston-texas/houston/article/Houston-protestors-clash-outside-Islamic-13199567.php#photo-16104407,,,,
Houston,George R. Brown Convention Center,TX,US,2018-09-01,,80,,80,,,"Houston Socialist Movement, International Socialist Organization, National Domestic Workers Alliance, Refuse Fascism, Socialist Alternative, Young Communist League, Huey P. Newton Gun Club and New Black Panther Party",counter-protesting Texas Patriot Network,1,counter-protest,0,0,0,0,0,1,https://www.houstonchronicle.com/news/houston-texas/houston/article/Houston-protestors-clash-outside-Islamic-13199567.php#photo-16104407,,,,
Jacksonville,Duval County Courthouse,FL,US,2018-09-01,a few dozen,24,,24,,,general protestors,End Gun Violence Now,1,rally,0,0,0,0,1,1,https://www.news4jax.com/news/group-holds-rally-in-jacksonville-to-speak-out-against-gun-violence,,,,
Kittery,Kittery Trading Post; Rt. 1,ME,US,2018-09-01,several dozen,24,,24,,,Resistance Seacoast; Kittery Trading Post Action Group,against sale of assault rifles,1,protest,,,,,1,1,http://www.seacoastonline.com/news/20180829/assault-rifles-protest-planned-at-kittery-trading-post,https://www.newscentermaine.com/article/news/local/protesters-demand-store-stop-selling-assault-style-rifles/97-590143860,,,
Lompoc,Central and H streets,CA,US,2018-09-01,about 25,25,,25,,,Lompoc Valley Federation of Republican Women,pro-Trump rally,2,rally,0,0,0,0,1,1,https://lompocrecord.com/news/local/lompoc-valley-republican-women-federated-rallies-for-trump/article_c93c5bd3-d352-5f5b-8f22-8be3224ed4de.html,,,,
Mackinaw City,Conklin Heritage Park,MI,US,2018-09-01,nearly 300,300,,300,,,general protestors,protest existing pipeline,0,protest,0,0,0,0,0,1,https://www.usnews.com/news/best-states/michigan/articles/2018-09-01/flotillas-organized-to-protest-great-lakes-oil-pipeline,https://www.oilandwaterdontmix.org/hundreds_protest_enbridge_line_5_at_mackinac_straits,,,
Madison,,IN,US,2018-09-01,about a dozen,12,,12,,,KKK,generalized racism,2,"""kookout""",0,0,0,0,1,1,https://www.idsnews.com/article/2018/09/the-klan-wanted-to-cookout-in-madison-a-few-hundred-protesters-werent-having-it,,,,
Madison,,IN,US,2018-09-01,a few hundred,200,,200,,,general counterprotestors,counter-protest; against KKK,1,protest,0,0,0,0,1,1,https://www.idsnews.com/article/2018/09/the-klan-wanted-to-cookout-in-madison-a-few-hundred-protesters-werent-having-it,,,,
Medford,,OR,US,2018-09-01,,20,,25,,,general protesters,protesting Smart Meters,0,protest,0,0,0,0,1,1,https://kcby.com/news/local/advocates-residents-continue-to-protest-against-smart-meters,visualized from video,,,
Miami,Miami-Dade Youth Fair,FL,US,2018-09-01,25 or 30,25,,30,,,general protestors; Democratic Party,against gun show in youth fair,1,protest,0,0,0,0,1,1,https://www.miamiherald.com/news/local/community/miami-dade/article217655680.html,,,,
Minneapolis,Minnehaha Falls Park,MN,US,2018-09-01,,4,,4,,,general protester,Keith Ellison's alleged domestic violence,2,protest,0,0,0,0,1,1,https://minnesota.cbslocal.com/2018/09/01/dfl-barbecue-protest/,count visualized from video,,,
Portland,downtown,OR,US,2018-09-01,an estimated 500,500,,500,,,Vegan March for Animal Liberation,animal rights,0,march; rally,0,0,0,0,1,1,https://katu.com/news/local/portlanders-take-part-in-global-animal-rights-march,,,,
Santa Barbara,Tucker's Grove,CA,US,2018-09-01,more than 100,100,,100,,,County Republicans,pro-GOP rally,2,rally,0,0,0,0,1,1,http://www.newspress.com/Top/Article/article.jsp?Section=LOCAL&ID=568176822051799046,,,,
South Plainfield,downtown,NJ,US,2018-09-01,,,,,,,citizens,Labor Day parade,0,parade,0,0,0,0,1,1,https://twitter.com/mycentraljersey/status/1036803674515722240?lang=en-gb,,,,
Throop,151 Dunmore St,PA,US,2018-09-01,,,,,,,Rise for Climate,demanding that elected leaders commit to no new fossil fuels and a just and fair transition to 100% renewable energy,1,rally,,,,,1,1,https://riseforclimate.org/live/#,https://actionnetwork.org/events/poster-party-2,,,
Traverse City,(on the water),MI,US,2018-09-01,,20,,20,,,general protestors,protest existing pipeline,0,protest,0,0,0,0,1,1,http://www.michiganradio.org/post/michigan-tribes-paddle-mackinac-straits-protest-line-5,https://www.usnews.com/news/best-states/michigan/articles/2018-09-01/flotillas-organized-to-protest-great-lakes-oil-pipeline,https://upnorthlive.com/news/local/protesters-paddle-to-grand-traverse-bay-in-demonstration-against-pipeline-5,count visualized from video,
Ankeny,"Griffieon Farm to Huxley Memorial Park, Huxley",IA,US,2018-09-02,,,,,,,Rise for Climate; First Nation Farmer Climate Unity March,Raising awareness about lawsuit on behalf of land owners who had property taken in order to build the Dakota Access Pipeline,1,march; rally,,,,,1,1,http://boldiowa.com/2018-first-nation-farmer-climate-unity-march/,,,,
Bellingham,Waypoint Park,WA,US,2018-09-02,Nearly 50,50,,50,,,general protestors ,#StopKavanaugh,1,protest,0,0,0,0,1,1,http://www.bainbridgereview.com/news/stopkavanaugh-protest-held-on-bainbridge/,,,,
Kingston,,NY,US,2018-09-02,about 100,100,,100,,,Cynthia Nixon campaign,campaign rally,1,rally,0,0,0,0,1,1,http://spectrumlocalnews.com/nys/hudson-valley/news/2018/09/03/cynthia-nixon-kingston-rally,,,,
Lafayette,Lafayette High School,VA,US,2018-09-02,,,,,,,students,supporting injured student,0,rally,0,0,0,0,1,1,http://www.vagazette.com/news/va-vg-jared-antle-lafayette-rally-20180904-story.html,,,,
Newark,outside the archdiocese of Newark's offices,NJ,US,2018-09-02,about 50,50,,50,,,general protestors,protesting sexual abuse in the Catholic church,0,protest,0,0,0,0,1,1,https://www.churchmilitant.com/news/article/moms-and-toddlers-protest-in-newark,,,,
Redmond,18308 NE 107th St,WA,US,2018-09-02,,,,,,,Rise for Climate,demanding that elected leaders commit to no new fossil fuels and a just and fair transition to 100% renewable energy,1,rally; door-knocking,,,,,1,1,https://riseforclimate.org/live/#,https://actionnetwork.org/events/9-2-am-canvas-east-king-redmond-at-rachels-house,,,
Sammamish,From 1855 Trossachs Blvd SE,WA,US,2018-09-02,,,,,,,Rise for Climate,demanding that elected leaders commit to no new fossil fuels and a just and fair transition to 100% renewable energy,1,rally; door-knocking,,,,,1,1,https://riseforclimate.org/live/#,https://actionnetwork.org/events/92-pm-canvas-east-king-sammamish-at-neils-house,,,
San Francisco,Westin St Francis Hotel,CA,US,2018-09-02,about 500,500,,500,,,Unite Here Local 2,Marching for better pay; work conditions,0,march,75,0,0,0,1,1,https://www.sfchronicle.com/bayarea/article/Hundreds-of-hotel-workers-march-in-SF-for-better-13201985.php,,,,
Southampton,Hawthorne Rd,NY,US,2018-09-02,,24,,24,,,Shinnecock Indian Nation tribal members,rallies to preserve land where remains discovered,0,rally,0,0,0,0,1,1,https://www.newsday.com/long-island/suffolk/shinnecock-southampton-land-remains-1.20813479,http://www.27east.com/news/article.cfm/General-Interest-Southampton/568982/A-Deal-Proves-Hard-To-Come-By-In-Towns-Plan-To-Purchase-Burial-Site-With-CPF,count from photo headcount,,
Baltimore,Columbus Park,MD,US,2018-09-03,,,,,,,union workers,Labor Day rally,0,rally,0,0,0,0,1,1,http://www.tribpub.com/gdpr/baltimoresun.com/,,,,
Benicia,Benicia Ironworkers Local 378 union hall,CA,US,2018-09-03,,120,,130,,,Democratic Party,campaign rally,1,rally,0,0,0,0,1,1,https://www.dailyrepublic.com/all-dr-news/solano-news/fairfield/labor-day-breakfast-rallies-support-for-democrats-in-november/,photo head count,,,
Boston,outside Greater Boston's Labor Council's Annual Labor Day Breakfast,MA,US,2018-09-03,,,,,,,National Grid workers,raise awareness of the toll the lockout and the need to address safety concerns on the job,0,rally,0,0,0,0,0,1,http://www.bostonherald.com/business/business_markets/2018/09/national_grid_workers_hold_rally_outside_labor_day_breakfast,,,,
Boston,"W, Westin Boston Waterfront, Aloft, Element, Renaissance, and Ritz-Carlton. The protest will culminate in a large picket and rally in front of the Sheraton Boston",MA,US,2018-09-03,hundreds,200,,200,,,Marriott hotel workers,low pay,0,protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2018/09/03/marriott-hotel-workers-block-traffic-protest-for-contract-better-wages/pOfJdCnmfdWIRhsU2iN3dK/story.html,,,,
Chicago,near O'Hare Airport,IL,US,2018-09-03,dozens; 100 or so,24,,100,,,general protestors,against gun violence and economic injustice,0,protest,12,0,0,0,1,1,https://www.usatoday.com/story/news/nation/2018/09/03/ohare-protest-several-arrested-failed-effort-shut-down-airport/1184964002/,https://chicago.suntimes.com/working/ohare-airport-protesters-march-shutdown-cumberland-kennedy-expressway-chicago-police/,http://www.newstribune.com/news/national/story/2018/sep/04/police-arrest-protest-organizer-near-chicagos-ohare/741772/,,
Cincinnati,Coney Island,OH,US,2018-09-03,,,,,,,union workers,Labor Day rally,0,rally,0,0,0,0,1,1,https://eu.cincinnati.com/story/news/politics/2018/09/03/jerry-springer-slams-trump-he-took-my-show-white-house/1186084002/,,,,
Detroit  ,Michigan Avenue to Lafayette Boulevard,MI,US,2018-09-03,,20000,,30000,,,union workers,supporting workers,0,march; rally,0,0,0,0,1,1,https://eu.detroitnews.com/story/news/local/detroit-city/2018/09/03/labor-day-parade-show-unity-before-election/1184574002/,,,,
Downey,Kaiser Permanente,CA,US,2018-09-03,about 1000,1000,,1000,,,union healthcare workers,protesting Kaiser Permanente's plan to reduce staffing,0,march; rally,13,0,0,0,1,1,https://www.dailybulletin.com/2018/09/03/union-health-care-workers-arrested-at-kaiser-protest-in-downey-after-demanding-stop-to-staff-cuts/,,,,
Honolulu,Waikiki beach,HI,US,2018-09-03,,,,,,,Marriott hotel workers,low pay,0,march; rally,0,0,0,0,1,1,https://eu.usatoday.com/story/travel/hotels/2018/06/26/marriott-employees-picket-hotels-eight-u-s-cities-wednesday/735790002/,,,,
Huxley,"Huxley Memorial Park to 2400 Oakwood Road, Ames",IA,US,2018-09-03,,,,,,,Rise for Climate; First Nation Farmer Climate Unity March,Raising awareness about lawsuit on behalf of land owners who had property taken in order to build the Dakota Access Pipeline,1,march; rally,,,,,1,1,http://boldiowa.com/2018-first-nation-farmer-climate-unity-march/,,,,
Ishpeming,Lake Bancroft Park,MI,US,2018-09-03,,17,,17,,,"United Steelworkers union, A.F.S.C.M.E",Labor Day rally,1,rally,0,0,0,0,1,1,https://www.uppermichiganssource.com/content/news/Labor-union-workers-celebrate-Labor-Day-with-rally-and-cookout-492340641.html,headcount from photo,,,
Kaanapali,Kaanapali Beach,HI,US,2018-09-03,about 200,200,,200,,,Marriott hotel workers,low pay,0,rally,,,,,1,1,http://www.mauinews.com/news/local-news/2018/09/hotel-workers-rally-on-kaanapali-beach-for-higher-wages-contract/,,,,
Los Angeles,,CA,US,2018-09-03,,,,,,,Marriott hotel workers,low pay,0,protest,,,,,0,0,https://eu.usatoday.com/story/travel/hotels/2018/06/26/marriott-employees-picket-hotels-eight-u-s-cities-wednesday/735790002/,https://www.dailybreeze.com/2018/09/03/labor-groups-show-off-their-solidarity-at-annual-labor-day-march-in-wilmington/,"(see Wilmington, CA)",,
Mannington,,WV,US,2018-09-03,,,,,,,union workers,Labor Day rally,0,rally,0,0,0,0,1,1,https://www.wvnews.com/news/wvnews/labor-day-rally-in-mannington-emphasizes-importance-of-unions-american/article_e7763863-9835-500b-a788-ca977fbf2c3f.html,,,,
Marlborough,City Hall,MA,US,2018-09-03,,,,,,,union workers,Labor Day parade,0,parade,0,0,0,0,1,1,https://www.metrowestdailynews.com/news/20180903/despite-heat-they-marched-on-in-marlborough,,,,
McCalla,12632 Confederate Pkwy,AL,US,2018-09-03,,,,,,,"Alabama Workers Appreciation Foundation, International and Local Unions, Central Labor Councils in Jefferson and Tuscaloosa",Labor Day rally,0,rally,0,0,0,0,1,1,https://www.alaflcio.com/shoals-area-central-labor-council/events/2018-labor-day-rally,,,,
Middlebury,,VT,US,2018-09-03,,,,,,,AFL-CIO,Labor Day rally,0,rally,0,0,0,0,1,1,https://www.mychamplainvalley.com/news/local-news/bernie-sanders-slams-amazon-ceo-jeff-bezos-at-labor-day-rally/1415991395,,,,
Oakland,West MacArthur Blvd,CA,US,2018-09-03,more than 1000,1000,,1000,,,general protestors,against job cuts at Kaiser,0,protest,0,0,0,0,1,1,https://abc7news.com/society/kaiser-workers-hold-march-rally-in-oakland/4136351/,http://www.ktvu.com/news/kaiser-workers-march-to-protest-job-cuts,,,
Online,,,US,2018-09-03,,,,,,,general protestors,against Nike; against protests during National Anthem,2,protest,,,,,1,1,http://nymag.com/daily/intelligencer/2018/09/nike-kaepernick-ad-protests.html,https://www.syracuse.com/business-news/index.ssf/2018/09/people_destroy_nike_gear_to_protest_colin_kaepernicks_just_do_it_campaign.html,,,
Philadelphia,,PA,US,2018-09-03,,,,,,,Marriott hotel workers,low pay,0,march; rally,,,,,1,1,https://eu.usatoday.com/story/travel/hotels/2018/06/26/marriott-employees-picket-hotels-eight-u-s-cities-wednesday/735790002/,,,,
