CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Athens,Ohio University ,OH,US,2017-02-01,,70,70,70,77,63,Students,"end the ""Muslim ban"", immigration, immigration",1,sit-in,70,0,0,0,1,1,http://www.wlwt.com/article/scientists-discover-why-you-hate-the-sound-of-loud-chewing/8678920,http://www.athensnews.com/news/campus/more-than-protesters-arrested-after-sit-in-at-baker-center/article_be075b34-e8d4-11e6-97bd-37b4d959c9af.html,,,
Baton Rouge,Louisiana State University Campus,LA,US,2017-02-01,,50,,150,,,Students; faculty,Protest immigration ban; anti-Trump,1,protest,0,0,0,0,1,1,http://www.wafb.com/story/34405155/lsu-students-faculty-protest-presidents-executive-order,http://www.lsunow.com/daily/lsu-students-professors-speak-out-against-executive-order/article_aed2a888-e8a9-11e6-bf17-ab0a9d40a780.html,,,
Berkeley,"Sproul Plaza, University of California - Berkeley",CA,US,2017-02-01,"estimated 1,500; thousands",1500,1750,2000,1650,1800,general protestors,"against Breitbart editor Milo Yiannopoulos, against President Trump, against fascism",1,protest,0,4,0,1,1,1,http://www.nbcnews.com/news/us-news/protests-violence-prompts-uc-berkeley-cancel-milo-yiannopoulos-event-n715711,http://www.berkeleyside.com/2017/02/02/berkeley-police-injuries-extensive-property-damage-no-arrests-no-force-used/,http://www.usatoday.com/story/news/politics/2017/02/01/uc-berkeley-campus-protest-milo-yiannopoulos-breitbart/97378104/,,https://twitter.com/leftinthebay/status/1488640962632970240
Boston,Boston Common,MA,US,2017-02-01,,200,200,200,220,180,Safe Communities Act Coalition ,immigration ban,1,demonstration,0,0,0,0,1,1,http://wwlp.com/2017/02/01/rally-held-on-boston-common-for-safe-communities-act/,http://dailyfreepress.com/2017/02/02/hundreds-gather-boston-common-support-mass-safe-communities-act/,,,
Chappaqua,Chappaqua Gazebo ,NY,US,2017-02-01,,200,200,200,220,180,general protestors,immigration ban,1,vigil,0,0,0,0,1,1,http://westchester.news12.com/news/chappaqua-demonstration-protests-immigration-refugee-order-1.13051637,,,,
Clovis,Outside Senator Devin Nunes' office,CA,US,2017-02-01,,24,,80,,,general protestors,anti-immigration ban; anti-Trump,1,protest,0,0,0,0,1,1,http://abc30.com/politics/dozens-of-people-protest-outside-congressman-devin-nunes-office-in-clovis/1733139/,http://www.fresnobee.com/news/politics-government/national-politics/article130216894.html,https://couragecampaign.org/press-releases/today-330pm-constituents-rally-outside-rep-devin-nunes-district-office-clovis,,
Dover,Legislative Hall,DE,US,2017-02-01,,35,37.5,40,38.5,36,Civil Rights Coalition,against immigration ban,1,rally,0,0,0,0,1,1,http://www.delawareonline.com/story/news/local/2017/02/01/delaware-civil-rights-coalition-speaks-out-against-trump/97352416/,,,,
Dover,Legislative Hall,MD,US,2017-02-01,,37,37,37,40.7,33.3,general protestors,immigration ban,1,demonstraton,0,0,0,0,1,1,http://www.delawareonline.com/story/news/local/2017/02/01/delaware-civil-rights-coalition-speaks-out-against-trump/97352416/,,,,
Honolulu,outside Federal Building,HI,US,2017-02-01,,,,,,,general protestors,support Muslim Americans; protest immigration ban,1,demonstration,0,0,0,0,1,1,http://www.kitv.com/story/34406352/hawaii-community-groups-attorneys-oppose-trumps-travel-ban,,,,
Huntington,Huntington City Hall,WV,US,2017-02-01,,200,200,200,220,180,General Protest,"end the ""Muslim ban"", immigration",1,demonstration,0,0,0,0,1,1,http://www.wsaz.com/content/news/Crowd-in-Huntington-protests-President-Trumps-immigration-policy-412505933.html,http://www.tristateupdate.com/story/34406603/hundreds-gather-in-huntington-to-protest-trumps-executive-immigration-order,,,
