CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,Source4,Source5
Lakeland,from the health center on Edgewood Road in Lakeland to a local senator’s office,FL,USA,2017-03-01,Dozens,24,36,50,26,45,General protest,Pro Planned Parenthood,1,March,0,0,0,0,1,1,http://wfla.com/2017/03/01/lakeland-planned-parenthood-supporters-march-in-opposition-to-abortion-lawsuit-bill/,,,,,
Pasedena,Cal Tech,CA,USA,2017-03-01,more than 200,200,200,200,220,180,faculty; students,Against Trump's travel ban; immigration,1,rally,0,0,0,0,1,1,http://www.pasadenastarnews.com/general-news/20170301/caltech-students-faculty-rally-against-trump-travel-ban-immigration-stance,,,,,
Portland,Equality Community Center,ME,USA,2017-03-01,about 150,150,150,150,165,135,general protestors,pro-Transgender rights; pro-LGBTQ,1,rally; march,0,0,0,0,1,1,http://www.pressherald.com/2017/03/01/crowd-rallies-in-portland-for-rights-of-transgender-people/,,,,,
Richmond,West County Detention Facility,CA,USA,2017-03-01,more than 100,100,100,100,110,90,Community Initiatives for Visiting Immigrants in Confinement (CIVIC),Immigrant rights; Protest planned deportation of Napa-resident Oswaldo Martinez,1,protest,0,0,0,0,1,1,http://napavalleyregister.com/news/local/activists-protest-planned-deportation-of-napa-man/article_30ac57e1-2dbe-5c87-be87-2bc917177230.html,,http://kron4.com/2017/03/04/immigration-rally-for-ice-detainee-in-richmond/,,,
Saint Paul,University of Minnesota,MN,USA,2017-03-01,More than 200,200,200,200,220,180,Minnesota Student Legislative Coalition,Advocate for the university's legislative priorities,0,Rally,0,0,0,0,0,1,https://twin-cities.umn.edu/news-events/u-m-students-hold-support-u-day-rally-mn-capitol,,,,,
Saint Paul,University of Minnesota - Fraternity Row,MN,USA,2017-03-01,More than 100,80,89,100,88,90,Students,against Campus Sexual Assault,0,Rally,0,0,0,0,1,1,http://www.mndaily.com/article/2017/03/about-80-march-down-umn-fraternity-row-to-rally-against-rape-culture-in-greek-life,,,,,
Washington,Congress,DC,USA,2017-03-01,About 200,200,200,200,220,180,Rosie O'Donnell,anti new administration; anti-Trump,1,rally,0,0,0,0,1,1,http://www.cbsnews.com/news/rosie-odonnell-slams-media-in-anti-trump-speech/,http://www.nbcwashington.com/news/local/Rosie-ODonnell-to-Lead-Protest-Tuesday-Trumps-Address-to-Congress-414998503.html,,,,
Annapolis,outside State House,MD,USA,2017-03-02,hundreds,200,200,200,220,180,general protestors,against allowing hydraulic fracturing for natural gas; bill before state legislature,1,demonstration,0,0,0,0,1,1,http://www.idahostatesman.com/news/business/article136022678.html,,,,,
Lancaster,Franklin & Marshall College,PA,USA,2017-03-02,around 30,30,30,30,33,27,general protestors,against talk by Flemming Rose,1,protest,0,0,0,0,1,1,http://www.thecollegefix.com/post/31621/,,,,,
Middlebury,McCollough; university,VT,USA,2017-03-02,more than 400,400,400,400,440,360,general protestors,oppose speaker Charles Murray,1,protest,0,1,0,1,1,1,https://www.washingtonpost.com/news/volokh-conspiracy/wp/2017/03/04/protesters-at-middlebury-college-shout-down-speaker-attack-him-and-a-professor/?utm_term=.5867201dc2ee,,,,,
Philadelphia,City Hall,PA,USA,2017-03-02,about 300,300,300,300,330,270,"Juntos; Philadelphians Organized to Witness, Empower & Rebuild (POWER); the Black and Brown Workers Collective; Mijente",pro-sanctuary; anti-Trump,1,rally,0,0,0,0,0,1,http://www.philly.com/philly/blogs/real-time/Protesters-Defy-Trump-Defend-Philly-Expand-Sanctuary-City-Hall-Philadelphia-rally-March-2-2017.html,https://twitter.com/JuliaTerruso/status/837382944775864321,,,,
Philadelphia,Independence Mall,PA,USA,2017-03-02,thousands,2000,2000,2000,2200,1800,Jewish Federation of Greater Philadelphia; Stand Against Hate,against anti-Semitism,1,rally,0,0,0,0,1,1,http://www.philly.com/philly/blogs/real-time/Stand-Against-Hate-rally-Jewish-cemetery-vandalism-Mount-Carmel-March-2-2017.html,,,,,
