date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-01-01,Baltimore,MD,Baltimore City Hall,,,,,,homeless people; advocates for homeless people,for housing and employment opportunities and medical care for homeless people,0,rally,,,,,,,,,,,,https://news.yahoo.com/homeless-rally-baltimore-demand-city-215700776.html,https://baltimore.cbslocal.com/2021/01/01/homeless-rally-in-baltimore-demand-city-leaders-do-more-to-help-them/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Chicago,IL,,,up to 100,100,100,,,in memory of victims of gun violence,0,march,,,,,,,,,,,,https://www.dawn.com/news/1599205/chicago-remembers-gun-violence-victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Hackensack,NJ,Bergen County Jail,A Call to Musical Arms,,,,Verona for Black Lives Matter,,in solidarity with ICE detainees during coronavirus pandemic,1,demonstration,,,,,,,,,,,,https://twitter.com/protest_nyc/status/1345085657631371270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Houston,TX,,March for Trump Bus Tour,,,,Women for America First,,"for President Trump, against election fraud",2,rally,,,,,,,,,,,,https://twitter.com/AmyKremer/status/1344760206111223815,https://twitter.com/AmyKremer/status/1345024897412722688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Kansas City,MO,12th St & Oak St,Friday Night Protest,,,,Black Rainbow,,"against racism, against police brutality, for police accountability",1,protest; march,,,,,,,,,,,,https://fox4kc.com/news/one-year-later-group-continues-to-hold-protests-outside-kcpd-headquarters/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Lafayette,CA,El Curtola Blvd & Highway 24,,,,,Contra Costa County Patriots,,for President Trump,2,demonstration,,,,,,,,,,,,https://www.sfgate.com/news/bayarea/article/Council-To-Ask-State-To-Remove-Highway-Overpass-16006373.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Lynchburg,VA,Monument Terrace,,,,,,troops; veterans,in support of military veterans,0,rally,,,,,,,,,,Articles notes this was 996th consecutive Friday that veterans had rallied at this location for cameraderie and mutual support.,,https://wset.com/news/local/monument-terrace-troops-race-towards-1000-rallies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,Macon,GA,Saint Paul AME Chuch,Emancipation Proclamation Rally,,,,Saint Paul AME Church; Evangelical Ministerial Alliance of Macon,clergy,"for voting rights, for Black empowerment, for freedom",1,drive-in rally,,,,,,,,,,,,https://www.macon.com/news/local/article248182515.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,New York,NY,"Carl Schurz Park, Manhattan",,,,,Upper East Side for Black Lives Matter,,"against racism, against police violence",1,vigil; march,,,,,,,,,,,,https://www.instagram.com/p/CJg8WMcFGzO/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,New York,NY,"McCarren Park, Brooklyn",,,,,,,"against racism, against police violence",1,gathering,,,,,,,,,,,,https://twitter.com/protest_nyc/status/1345085657631371270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
