CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc
Gainesville,University Auditorium,FL ,US ,2017-04-02,NA,25,25,25,28,23,general protestors,against Ben Shapiro speaking at UF,0,protest,0,0,0,0,1,1,https://twitter.com/MicahT1995/status/849029169736560640,http://www.alligator.org/news/campus/article_aba46a0c-18e7-11e7-b6d6-c7f3484e907c.html,,,
Lake Arrowhead,intersection of State Highways 18 and 189,CA ,US ,2017-04-02,dozens,20,29,40,22,36,Sierra Club; general protests,water rights and anti-Nestle,0,protest,0,0,0,0,1,1,http://www.mountain-news.com/news/article_359759b4-1a54-11e7-92a4-63e44f11ad03.html,,,,
Vancouver,Esther Short Park,WA,US ,2017-04-02,about 200,200,,200,,,Patriot Prayer; American Patriot Three Percenters,"for President Trump, for freedom, for patriotism, against Islam, against Hillary Clinton, Blue Lives Matter, All Lives Matter, for capitalism",2,rally,unspecified,unspecified,0,0,1,0,https://www.wweek.com/news/2017/04/02/antifa-crashes-pro-trump-rally-in-vancouver-briefly-setting-off-wrestling-mania/,https://newlinesmag.com/argument/how-portland-stopped-the-proud-boys/,"https://www.thereflector.com/stories/clark-county-trump-rally-disrupted-by-anarchists,43111",,brawling between protesters and counter-protesters
Vancouver,Esther Short Park,WA,US ,2017-04-02,dozens; scores,24,,40,,,Antifascist Action; Skinheads Against Racial Prejudice,"against fascism, against President Trump, against white supremacy, Black Lives Matter, against police",1,counter-protest,unspecified,unspecified,0,0,1,0,https://www.wweek.com/news/2017/04/02/antifa-crashes-pro-trump-rally-in-vancouver-briefly-setting-off-wrestling-mania/,https://newlinesmag.com/argument/how-portland-stopped-the-proud-boys/,"https://www.thereflector.com/stories/clark-county-trump-rally-disrupted-by-anarchists,43111",,brawling between protesters and counter-protesters
Washington,Ivanka and Jared Kushner's property,DC,US ,2017-04-02,NA,200,200,200,220,180,general protestors; LGBT activists,"""Queer Dance Party for Climate Justice at Ivanka Trump's House!""",1,protest,0,0,0,0,1,1,http://thehill.com/homenews/administration/326921-hundreds-protest-outside-ivanka-trumps-home-for-climate-justice,,,,
Berea,Union Church,KY,US ,2017-04-03,NA,24,29,36,26,32,Bereans for Fairness; Kentuckians for the Commonwealth,protest anti-Lesbian bias incident,1,rally;march,0,0,0,0,1,1,http://weku.fm/post/berea-rally-march-scheduled-response-hate-crime,http://www.wkyt.com/content/news/Dozens-rally-in-Berea-for-LGBT-rights-after-vandals-target-local-lesbian-couple-418034003.html,,,
Colonie,Customs Enforcement building,NY,US ,2017-04-03,NA,20,29,40,22,36,general protestors,Anti-ICE; immigration,1,Rally,,,,,1,1,http://www.timesunion.com/7dayarchive/article/Immigration-activists-rally-around-Utica-man-11045972.php,,,,
Flagstaff,First Amendment Plaza at NAU,AZ,US ,2017-04-03,,,,,,,general protestors,against Racist social media posts,0,rally,0,0,0,0,1,1,http://www.naztoday.com/news/protester-gather-at-nau-in-a-silent-march/article_69cba246-18ea-11e7-ab1b-9797839b8d81.html,,,,
Harrisburg,Capitol Building,PA,US ,2017-04-03,,,,,,,general protestors,Sexual assault laws,1,rally,0,0,0,0,1,1,http://www.sharonherald.com/news/state/sex-crime-victims-rally-at-capitol/article_fed12ea9-9b0a-52c9-8c04-d1e4e06ba154.html,,,,
Jersey City,,NJ,US ,2017-04-03,NA,16,16,16,18,14,general protestors; JCCCE,anti-violence,0,rally,0,0,0,0,1,1,http://www.nj.com/jjournal-news/index.ssf/2017/04/after_bloody_week_anti-violenc.html,https://twitter.com/OneCupOneUpJC/status/849109929868664833,,,
Lihue,Mo‘ikeha Building rotunda,HI,US ,2017-04-03,NA,50,50,50,55,45,general protestors,Raise awareness for alcohol abuse,0,rally,0,0,0,0,1,1,http://thegardenisland.com/news/local/rally-unites-agencies-for-abuse-awareness/article_27d589dc-cd53-5b94-bf7e-6beb29886680.html,,,,
Nashville,Glencliff United Methodist,TN,US ,2017-04-03,NA,,,,,,general protestors,to support a Tiny Village for homelesss people,0,prayer circle,0,0,0,0,1,1,http://www.newschannel5.com/news/local-news/neighbors-protest-tiny-village-on-church-land,,,,
Nashville,,TN,US ,2017-04-03,NA,11,11,11,12,10,general protestors,to protest a Tiny Village for homelesss people,0,protest,0,0,0,0,1,1,http://wreg.com/2017/04/03/plan-for-homeless-village-in-tennessee-prompts-protest/,http://www.newschannel5.com/news/local-news/neighbors-protest-tiny-village-on-church-land,,,
New Haven,City Hall,CT,US ,2017-04-03,NA,100,100,100,110,90,Fighters For Justice; Black Lives Matter,to demand more say in their education,0,March,0,0,0,0,1,1,http://www.newhavenindependent.org/index.php/archives/entry/students_march_on_city_hall/,,,,
New York,City Hall,NY,US ,2017-04-03,NA,400,400,400,440,360,general protestors,support funding for the arts,1,rally,0,0,0,0,1,1,https://hyperallergic.com/369818/a-rally-at-new-york-city-hall-calls-on-trump-to-fund-the-arts/,,,,
Peoria,Gateway Building Sun,IL  ,US ,2017-04-03,NA,120,120,120,132,108,general protestors,pro-immigrant rally,1,rally,0,0,0,0,1,1,http://peoriapublicradio.org/post/democratic-candidate-governor-visits-immigrant-rights-rally-peoria#stream/0,,,,
Rochester,Office of U.S. Sen. Gary Peters,MI,US ,2017-04-03,NA,40,40,40,44,36,general protestors; United We Dream; North Oakland Indivisible ,against Trump,1,protest,0,0,0,0,1,1,https://patch.com/michigan/rochester/rally-against-trumps-budget-held-rochester,,,,
Syracuse,James Hanley Federal Building on South Clinton Street,NY,US ,2017-04-03,NA,60,60,60,66,54,Black Lives Matter,Justice for victims of police brutality; Black lives matter; against racism,0,rally,0,0,0,0,1,1,http://www.syracuse.com/news/index.ssf/2017/04/syracuse_black_lives_matter_rally_aims_at_continuing_the_call_for_justice.html,,,,
Vancouver,Esther Short Park ,WA,US ,2017-04-03,NA,100,123,150,110,135,general protestors,to support Trump,2,rally,0,0,0,0,1,1,http://www.columbian.com/news/2017/apr/03/8-arrested-during-trump-rally-counter-protest/,http://katu.com/news/local/8-arrests-during-clash-at-pro-trump-rally-in-vancouver,,,
Vancouver,Esther Short Park ,WA,US ,2017-04-03,NA,80,80,80,88,72,Rose City Antifa; general protests,counter-protest at Trump rally; anti-Trump,1,protest,8,0,0,0,0,1,http://katu.com/news/local/8-arrests-during-clash-at-pro-trump-rally-in-vancouver,,,,
Washington,Washington Monument,DC,US ,2017-04-03,NA,24,29,36,26,32,general protestors,Against Egypt's Sisi visiting the US,1,protest,0,0,0,0,1,1,https://twitter.com/thefreedomi/status/848892596302864384,http://www.presstv.ir/Detail/2017/04/03/516540/US-Egypt-Trump-Sisi-human-rights,,,
Albany,Albany Medical Center,NY,US ,2017-04-04,NA,60,60,60,66,54,general protestors,support health care for all,0,rally; march,0,0,0,0,1,1,https://twitter.com/CMCMD18/status/849286827836145664,http://pnhp.org/blog/2013/03/27/rally-in-albany-protect-our-health-not-their-wealth/,,,
Austin,Texas Capitol,TX,US ,2017-04-04,NA,40,58,80,44,72,general protestors,to stop anti-trans SB6; pro-LGBTQ,0,rally,0,0,0,0,1,1,https://twitter.com/i/moments/843900054687617024,https://twitter.com/BiTransAlliance/status/844934376534233088,,,
Brockton,City Hall,MA,US ,2017-04-04,more than 50,50,55,60,55,54,general protestors,pro-immigrant,1,protest,0,0,0,0,1,1,http://brockton.wickedlocal.com/news/20170404/ice-breaker----rally-held-for-brockton-lawmaker-immigrants,,,,
Chicago,Capitol Hill,IL  ,US ,2017-04-04,more than a dozen,12,16,20,13,18,general protestors; Familia Latina Unida,Protesting against the deportation of their parents,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/news/local/politics/ct-luis-gutierrez-immigration-lawsuit-met-0404-20170404-story.html,,,,
Denver,Capitol Building,CO,US ,2017-04-04,NA,30,35,40,33,36,general protestors,child abuse awareness,0,rally,0,0,0,0,1,1,https://twitter.com/Denver_CASA/status/849380023626854403,http://denver.cbslocal.com/2017/04/04/child-abuse-prevention-month-colorado/,,,
Denver,Senator Bennett's Office,CO,US ,2017-04-04,NA,50,73,100,55,90,general protestors,Against Gorsuch nomination to Supreme Court,1,protest,0,0,0,0,1,1,https://twitter.com/DenverWestword/status/849310253778862080,https://www.facebook.com/fusionmedianetwork/videos/1882346371791332/,,,
Detroit,State of Michigan Building,MI,US ,2017-04-04,NA,500,500,500,550,450,Black Lives Matter; Fight for $15,"Fight Racisim, Raise Pay, Black Lives Matter",1,rally,0,0,0,0,1,1,http://www.detroitnews.com/story/news/local/detroit-city/2017/04/04/workers-rally-raise-minimum-wage/100051452/,http://www.wxyz.com/news/region/detroit/fight-for-15-and-black-lives-matter-protest-outside-cadillac-place,,,
Duluth,,MN,US ,2017-04-04,NA,70,70,70,77,63,general protestors,support equal pay for women,0,rally,0,0,0,0,1,1,https://twitter.com/ZackForCouncil/status/849387823421689864,http://www.duluthnewstribune.com/news/4245576-women-rally-duluth-equal-pay,,,
Greensburg,Seton Hill University,PA,US ,2017-04-04,NA,50,50,50,55,45,Seton Hill University Feminist Collective,support equal pay for women,0,rally,0,0,0,0,1,1,http://triblive.com/local/westmoreland/12139042-74/seton-hill-students-rally-in-greensburg-to-mark-equal-pay-day-for,,,,
Lawrence,Wescoe beach; university,KS,US ,2017-04-04,,,,,,,general protestors,oppose concealed carry on college campuses,1,protest,0,0,0,0,1,1,http://www.kansan.com/news/why-the-state-legislature-refuses-to-repeal-campus-carry/article_1ae40490-245f-11e7-9c71-77e55ff36cd3.html,,,,
Memphis,Mississippi Boulevard Christian Church,TN,US ,2017-04-04,NA,200,200,200,220,180,Black Lives Matter; Fight for $15; general protests,to call attention to  imbalance in economic and social equality on anniversary of MLK's assasination,1,rally,0,0,0,0,1,1,https://www.usnews.com/news/best-states/tennessee/articles/2017-04-04/rallies-planned-on-anniversary-of-mlks-killing-in-memphis,,,,
Minneapolis,Capitol,MN,US ,2017-04-04,,,,,,,general protestors,against new oil pipeline,0,rally,0,0,0,0,1,1,http://www.dglobe.com/news/4246888-activists-lawmakers-protest-amendment-advance-minnesota-pipeline-replacement,,,,
New York,City Hall,NY,US ,2017-04-04,NA,70,70,70,77,63,PowerHerNY,support equal pay for women,0,rally,0,0,0,0,1,1,http://fox59.com/2017/04/04/fight-over-gender-wage-gap-continues-on-equal-pay-day/,http://www.bkreader.com/2017/04/equal-pay-day-city-hall-protesters-say-show-nyc-women-money/,http://observer.com/2017/04/rihanna-women-equal-pay-day/,,
