City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,
Baltimore,,MD,US,2018-04-01,Hundreds,200,,200,,,Muslim Social Services Agency,Protesting killing of Stephon Clark by police,0,Protest,0,0,0,0,1,1,https://www.seattletimes.com/nation-world/crowd-gathers-in-baltimore-to-protest-fatal-police-shooting/,,,,,
Las Vegas,The Strip,NV,US,2018-04-01,about 300,300,,300,,,general protestors,Protesting gun violence on six month anniversary of Vegas shooting,1,protest,0,0,0,0,1,1,https://www.reviewjournal.com/crime/shootings/where-we-became-a-family-las-vegas-shooting-survivors-gather-at-vigil/,,,,,
Pineville,,LA,US,2018-04-01,,,,,,,general protestors,Protesting child abuse,0,protest,0,0,0,0,1,1,http://www.kalb.com/content/news/Community-gathers-for-prayer-vigil-to-raise-awareness-for-child-abuse-478572293.html,,,,,
Santa Fe,The Plaza,NM,US,2018-04-01,about 35,35,,35,,,general protestors,Protesting Israel's use of force against Palestinians,0,protest,0,0,0,0,1,1,http://www.santafenewmexican.com/news/local_news/santa-fe-plaza-protest-condemns-deaths-of-palestinians/article_dfad5430-da9a-5f14-8842-b0298cf1750c.html,,,,,
Towson,Towson Gateway,MD,US,2018-04-01,,,,,,,general protestors,Protesting logging,1,protest,0,0,0,0,1,1,https://www.abc2news.com/news/region/baltimore-county/never-again-towson-residents-protest-the-illegal-removal-of-30-trees,,,,,
Walla Walla,Washington State Penitentiary,WA,US,2018-04-01,about 1315,1315,,1315,,,prisoners,Protesting poor food quality in prison,0,protest,0,0,0,0,1,1,http://www.union-bulletin.com/news/courts_and_crime/penitentiary-inmates-protest-with-hunger-strike/article_0108130a-36a5-11e8-b097-1b70b59e95ac.html,https://www.seattletimes.com/seattle-news/washington-state-penitentiary-hunger-strike-ends/,,"Multi-day strike, ended April 6th",,
Washington,Howard University,DC,US,2018-04-01,,,,,,,HU Resist,Protesting university administration,0,protest,0,0,0,0,1,1,https://www.npr.org/sections/thetwo-way/2018/04/06/600401378/9-day-student-protest-at-howard-university-ends-with-a-deal,,,"Multi-day sit-in protest, started 3/29 and ended 4/6",,
Bellevue,entrance to Puget Sound Energy headquarters,WA,US,2018-04-02,video: 15 to 30,15,,30,,,general protestors,Protesting construction of natural gas plant,1,protest,0,0,0,0,1,1,http://www.king5.com/article/tech/science/environment/liquefied-natural-gas-protesters-build-longhouse-blocking-pse-headquarters/281-534218264,,,,,
Billings,Downtown,MT,US,2018-04-02,about 10,10,,10,,,The American Indian Movement,Protesting domestic violence; addiction,0,protest,0,0,0,0,1,1,http://missoulian.com/news/state-and-regional/native-american-activists-stop-in-billings-to-raise-awareness-of/article_4c533d8c-2ea7-5aae-b1ba-bc257ba81fe1.html,,,,,
Durham,Duke University,NC,US,2018-04-02,photo: 46,46,,46,,,The Muslim Students Association,Protesting islamaphobia on campus,0,protest,0,0,0,0,1,1,http://www.dukechronicle.com/article/2018/04/msa-holds-teach-in-at-chapel-to-protest-islamophobia-dcr-event-the-american-muslim-identity,,,,,
Eloy,ICE Detention Center,AZ,US,2018-04-02,FB: 20,20,,20,,,Trans Queer Pueblo,Rallying for LGBT rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/169938987059216/,https://cronkitenews.azpbs.org/2018/04/07/undocumented-lgbt-people-find-their-own-way/,,,,
Frankfort,State Capitol,KY,US,2018-04-02,an estimated 10000 to 12000,10000,,12000,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,https://www.nbcnews.com/news/us-news/oklahoma-kentucky-public-schools-close-thousands-teachers-strike-n861946,https://www.state-journal.com/2018/04/02/thousands-from-across-kentucky-rally-for-education-at-capitol/,,,,
Great Falls,Great Falls College,MT,US,2018-04-02,,,,,,,No More Violence Great Falls,Rallying for crime victim's rights,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/173956593253283/,,,,,
Greenwood,Lander University,SC,US,2018-04-02,hundreds,200,,200,,,Students,Protesting sexual violence,0,protest,0,0,0,0,1,1,http://www.wbtv.com/story/37864640/take-back-the-night-at-lander-university,,,,,
Lawton,Cache Rd.,OK,US,2018-04-02,nearly two dozen,24,,24,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,http://www.kswo.com/story/37863851/educators-and-students-rally-outside-of-mcdonalds-for-teacher-walkout,,,,,
Louisville,Heyburn Building,KY,US,2018-04-02,,,,,,,general protestors,Protesting ICE  ,1,protest,0,0,0,0,1,1,http://www.wave3.com/story/37863347/community-groups-protest-new-immigration-court,,,,,
Memphis,,TN,US,2018-04-02,dozens,24,,24,,,general protestors,Protesting racially motivated shooting,0,protest,0,0,0,0,1,1,https://www.commercialappeal.com/story/news/2018/04/02/memphis-shooting-dorian-harris-anwar-ghazali/480353002/,,,,,
Oakland,12th St.,CA,US,2018-04-02,NA,100,,100,,,general protestors,Protesting BART cop shooting of local man,0,protest,0,0,0,0,1,1,http://abc7news.com/protest-over-police-shooting-in-oakland-as-senator-drafts-bill-for-transparency/3294530/,http://abc7news.com/protest-over-police-shooting-in-oakland-as-senator-drafts-bill-for-transparency/3294530/,,,,
Oklahoma City,Oklahoma State Capitol,OK,US,2018-04-02,tens of thousands,20000,,20000,,,Oklahoma Education Association,"for higher pay for teachers, for more education funding",0,rally,0,0,0,0,1,1,https://www.nbcnews.com/news/us-news/oklahoma-kentucky-public-schools-close-thousands-teachers-strike-n861946,http://thehill.com/homenews/state-watch/381284-tens-of-thousands-of-people-rally-in-oklahoma-in-support-of-teacher,https://www.politico.com/magazine/story/2018/04/12/teacher-strikes-oklahoma-city-kentucky-west-virginia-217849,,,
Phoenix,Arizona Supreme Court,AZ,US,2018-04-02,several dozen,24,,24,,,general protestors,Rallying for DREAM Act,1,rally,0,0,0,0,1,1,http://www.foxnews.com/us/2018/04/02/latest-immigrant-students-rally-at-arizona-high-court.html,,,,,
Portland,Ockley Green Middle School,OR,US,2018-04-02,about 200,200,,200,,,Students,Protesting teacher's suspension,1,protest,0,0,0,0,1,1,https://www.opb.org/news/article/ockley-middle-school-chris-riser-portland-oregon-black-lives-matter/,,,,,
Richmond,N. Lombardy St.,VA,US,2018-04-02,FB: 52,52,,52,,,Chesterfield County Democratic Committee,Sen. Kaine campaign rally,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1953297961369409/,,,,,
Roanoke,Site of Mountain Valley Pipeline construction,VA,US,2018-04-02,NA,1,,1,,,general protestors,Protesting Mountain Valley Pipeline,1,protest,0,0,0,0,1,1,http://www.wdbj7.com/content/news/Treesitters-on-Bent-Mountain-protest-again-pipeline-478576893.html,,,,,
Rochester,Rochester Institute of Technology,NY,US,2018-04-02,,,,,,,general protestors,Rallying for transgender health services on campus,0,rally,0,0,0,0,1,1,https://www.democratandchronicle.com/story/news/2018/04/02/rit-transgender-hormone-replacement-therapy-protest/478370002/,,,,,
Toledo,ProMedica HQ,OH,US,2018-04-02,About 100,100,,100,,,NW Ohio Teens For Life,Protesting abortion,2,protest,0,0,0,0,1,1,http://www.toledoblade.com/Medical/2018/04/02/Protesters-demonstrate-against-ProMedica-s-patient-transfer-agreement-with-Capital-Care-Network.html,,,,,
Topeka,Statehouse,KS,US,2018-04-02,,,,,,,general protestors,Protesting inadequacies at DCF,0,protest,0,0,0,0,1,1,http://www.ksnt.com/news/local-news/fools-no-more-rally-calls-for-changes-at-dcf/1094696302,,,,,
Trenton,Statehouse,NJ,US,2018-04-02,FB: 170,170,,170,,,general protestors,Protesting gun violence  ,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/156470555156190/,,,,,
Trenton,Trenton Halal Packing,NJ,US,2018-04-02,FB: 17 ,17,,17,,,NJ Animal Save,Protesting the slaughtering of animals,0,protest,0,0,0,0,0,1,https://www.facebook.com/events/214734572594925/,,,,,
Tulsa,71 St.,OK,US,2018-04-02,hundreds,200,,200,,,general protestors,Rallying for teachers,0,rally,0,0,0,0,1,1,http://www.newson6.com/story/37863555/teachers-students-line-broken-arrow-streets-in-protest,,,,,
Washington,Howard University,DC,US,2018-04-02,,,,,,,Students,Protesting Board of Directors' decision,0,protest,0,0,0,0,1,1,https://www.theatlantavoice.com/articles/latest-howard-university-student-protest-enters-second-week/,,,,,
Washington,US HUD Dept. HQ,DC,US,2018-04-02,,,,,,,DC Marijuana Justice,Rallying to legalize marijuana,1,rally,0,0,0,0,0,1,http://wjla.com/news/local/dc-marijuana-justice-hands-out-cannabis-at-hud-to-protest-public-housing-laws,,,,,
