CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Kansas City,Research Medical Center,Jackson,MO,US,2020-04-01,fewer than 10,10,,10,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.kctv5.com/coronavirus/nurses-across-the-country-protest-lack-of-protective-equipment/article_5c386352-746e-11ea-b4e9-23ec10706ad0.html,https://www.kansascity.com/news/coronavirus/article241680451.html,,,
Kissimmee,Osceola Regional Medical Center,Osceola,FL,US,2020-04-01,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.abcactionnews.com/news/coronavirus/nurses-across-7-states-including-florida-protest-lack-of-covid-19-preparedness,,,,
Las Vegas,Mountainview Hospital,Clark,NV,US,2020-04-01,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.ktnv.com/news/coronavirus/nurses-planning-to-protest-lack-of-covid-19-preparedness-in-7-states-including-nevada,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2020-04-01,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,
Newark,Essex County Correctional Facility,Essex,NJ,US,2020-04-01,,,,,,,Cosecha; other immigration advocacy groups,seek release of immigrants from detainee camps due to Covid 19; anti-ICE,1,car protest,0,0,0,0,1,1,https://www.nj.com/coronavirus/2020/04/protesters-in-cars-call-for-ice-detainees-release-amid-coronavirus-spread.html,,,,
Port Charlotte,Fawcett Memorial Hospital,Charlotte,FL,US,2020-04-01,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.abcactionnews.com/news/coronavirus/nurses-across-7-states-including-florida-protest-lack-of-covid-19-preparedness,,,,
Romulus,Amazon fulfillment center,Wayne,MI,US,2020-04-01,fewer than 15,15,,15,,,Amazon workers,seek more workplace protections due to pandemic,0,protest,0,0,0,0,1,1,https://www.jpost.com/international/amazon-warehouse-workers-protest-near-detroit-days-after-nyc-walkout-623250,,,,
Trinity,Medical Center of Trinity,Pasco,FL,US,2020-04-01,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.abcactionnews.com/news/coronavirus/nurses-across-7-states-including-florida-protest-lack-of-covid-19-preparedness,,,,
Bradenton,Blake Medical Center,Manatee,FL,US,2020-04-02,count pic,6,,6,,,nurses,for more PPE for nurses during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.mysuncoast.com/2020/04/03/nurses-protest-saying-they-dont-have-enough-protective-gear-during-coronavirus-pandemic/,,,,
Buffalo,Niagara Square,Erie,NY,US,2020-04-02,dozens,24,,24,,,local healthcare workers,for implementing the federal Defense Production Act in response to coronavirus pandemic,1,rally; protest ,0,0,0,0,1,1,https://wben.radio.com/articles/healthcare-workers-hold-rally-to-plead-for-ppe,,,much of the rally was done virtually on facebook ,
Daly City,Seton Medical Center,San Mateo,CA,US,2020-04-02,,,,,,,California Nurses Association; National Nurses United,for more PPE for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,https://www.sfchronicle.com/bayarea/article/Coronavirus-UCSF-Seton-nurses-call-on-Newsom-to-15175508.php#photo-19254717,,,,
El Paso,Las Palmas Medical Center and Del Sol Medical Center,El Paso,TX,US,2020-04-02,,,,,,,nurses,against lack of preparedness by hospital chain during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://www.ktsm.com/news/las-palmas-del-sol-healthcare-responds-to-national-nurses-united-protest/,https://kvia.com/health/2020/04/02/las-palmas-del-sol-nurses-protest-to-demand-more-personal-protective-equipment-at-hospitals/,,,
Emmett,old factory ,Gem,ID,US,2020-04-02,few dozen,24,,24,,,general protestors,protest stay-at-home measures due to Covid-19,2,protest,0,0,0,0,1,1,https://nymag.com/intelligencer/2020/04/ammon-bundy-i-want-the-virus-now.html,https://www.idahopress.com/coronavirus/ammon-bundy-health-freedom-group-organize-events-to-protest-stay-home-order/article_23504021-0484-558e-9cd4-169c8aaa58ea.html,,,
Goldsboro,Neuse Correctional Facility,,NC,US,2020-04-02,,,,,,,inmates,for better protections against COVID-19 in prison,0,protest,0,0,0,0,1,1,https://perilouschronicle.com/2020/04/02/protest-at-neuse-correctional-north-carolina-in-response-to-covid-19-outbreak/,https://www.ncdps.gov/news/press-releases/2020/04/02/statement-organized-protest-neuse-correctional-institution,,,
Hartford,ICE Headquarters,Hartford,CT,US,2020-04-02,,,,,,,Unidad Latina en Accion,anti ICE; seek release of immigrants in detainee camps due to coronavirus pandemic,1,car protest,0,0,0,0,1,1,https://www.wtnh.com/news/connecticut/hartford/activists-hold-honkathon-to-protest-immigration-detainee-conditions-amid-coronavirus-pandemic/,,,,
Miami,Krome Detention Center,,FL,US,2020-04-02,,62,,62,,,detainees,for release of detainees from ICE facility due to COVID-19 pandemic,0,hunger strike,0,0,0,0,1,1,https://twitter.com/MoniqueOMadan/status/1245866724743733251,,,,
Philadelphia,Hahnamann University Hospital,Philadelphia,PA,US,2020-04-02,,,,,,,nurses,demand shuttered hospital is reopened during coronavirus pandemic,0,protest,0,0,0,0,1,1,https://philly.metro.us/healthcare-workers-residents-protest-to-reopen-hospital/,,,,
San Francisco,UCSF,San Francisco,CA,US,2020-04-02,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,https://www.sfchronicle.com/bayarea/article/Coronavirus-UCSF-Seton-nurses-call-on-Newsom-to-15175508.php,,,,
Sanford,Central Florida Regional Hospital,Seminole,FL,US,2020-04-02,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,https://www.abcactionnews.com/news/coronavirus/nurses-across-7-states-including-florida-protest-lack-of-covid-19-preparedness,,,,
Sarasota,Doctors Hospital,Sarasota,FL,US,2020-04-02,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,https://www.abcactionnews.com/news/coronavirus/nurses-across-7-states-including-florida-protest-lack-of-covid-19-preparedness,,,,
Spring Hill,Oak Hill,Hernando,FL,US,2020-04-02,,,,,,,nurses,for more PPE for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,https://www.abcactionnews.com/news/coronavirus/nurses-across-7-states-including-florida-protest-lack-of-covid-19-preparedness,,,,
