date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-04-01,Albany,NY,Dunn Memorial Bridge,,count pic,15,20,Invest in Our New York Coalition; VOCAL-NY; Alliance for Quality Education; Housing Justice For All; Citizen Action New York; Housing Organizers for People Empowerment,,"for Invest in Our New York Act, tax the rich, for HAVP, for overdose prevention, for rent relief during coronavirus pandemic, for funding public education",1,demonstration,,,,,10,,,,,,,https://twitter.com/VOCALNewYork/status/1377645795126747138,https://twitter.com/VOCALNewYork/status/1377654698040295424,https://www.news10.com/news/10-in-custody-after-dunn-memorial-bridge-protest/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Alexandria,LA,Pineville flag pole,,,,,Children's Advocacy Network,,against child abuse and neglect,0,vigil,,,,,,,,,,,,https://www.kalb.com/2021/04/01/prayer-vigil-held-for-child-abuse-prevention-month/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Ann Arbor,MI,"The Diag, University of Michigan",Take Back the Night,about 50,50,50,Standing Tough Against Rape Society,,against rape and sexual assault,0,rally; march,,,,,,,,,,,,https://www.michigandaily.com/news/take-back-the-night-rally-returns-in-person-to-increase-awareness-of-sexual-violence-call-for-action/,https://www.mlive.com/news/ann-arbor/2021/03/rally-that-aims-to-raise-awareness-about-sexual-violence-is-back-in-ann-arbor.html,https://www.wemu.org/post/um-students-community-members-hold-43rd-take-back-night-rally#stream/0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Atlanta,GA,Liberty Plaza; John Calhoun Park,National Jamarion Robinson Day,,,,Justice for Jamarion,,"against racism, against police violence, for police accountability, for justice for Jamarion Robinson",1,press conference; march; rally; vigil,,,,,,,,,,,,https://www.instagram.com/p/CNF4c3UB894/,https://www.11alive.com/article/news/local/jamarion-robinson-birthday-rally/85-5380ed5e-2bfb-479a-ad1e-9b4838ea1f0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Belmont,MA,Cushing Square,,,,,Community Organized for Solidarity,,"against anti-Asian racist violence, Black Lives Matter, for changing the name of Columbus Day to Indigenous Peoples' Day",1,demonstration,,,,,,,,,,,,https://www.instagram.com/p/CNH2AtEsUIt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Boston,MA,Massachusetts State House,,,,,,,for democracy in Belarus,0,rally,,,,,,,,,,,,https://www.nashuatelegraph.com/news/local-news/2021/04/01/nashua-residents-participate-in-march-call-for-democracy-in-belarus/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Brookwood,AL,Warror Met Coal Inc.,,more than a thousand,1000,1000,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://twitter.com/MineWorkers/status/1377818134376148997,https://abc3340.com/news/local/day-one-of-warrior-met-coal-worker-strike,https://www.wvtm13.com/article/alabama-miners-at-warrior-met-coal-inc-striking/36010080,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Canton,NY,Saint Lawrence County Court,,,,,North County Poor Peoples' Campaign,,"against police reform report approved by St. Lawrence County Board of Legislators, against failure of county sheriff to seek input from people of color about their experiences with his department ",1,protest,,,,,,,,,,,,https://www.northcountrypublicradio.org/news/story/43500/20210401/protesters-say-st-lawrence-sheriff-reform-plan-a-missed-opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Charlotte,NC,American Postal Workers Union,,more than 50,50,50,"American Postal Workers Union, AFL-CIO",postal workers,"against workplace mistreatment of postal workers, for more protections against COVID-19, for collective bargaining rights",0,march; protest,,,,,,,,,,,,https://www.counton2.com/news/national-news/postal-workers-protest-alleged-harassment-mistreatment-by-management/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Chicago,IL,Cook County Jail,,count pic,10,15,Black Lives Matter Chicago; The Chicago Alliance,,"for freeing Gerald Reed from prison, against wrongful incarceration, for decarceration",1,demonstration,,,,,,,,,,Family had been protesting for years. Governor commuted Reed's sentence later that day.,,https://twitter.com/BLMChi/status/1377737380778676225,https://abc7chicago.com/gerald-reed-case-sentence-commuted/10470233/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Clemson,SC,"Sikes Hall, Clemson University",Clemson Tuition Freeze,about a dozen,12,12,,students,against potential tuition increase at Clemson University during coronavirus pandemic,0,sit-in,,sat in lawn chairs on plaza outside hall,,,,,,,,,,https://www.greenvilleonline.com/story/news/2021/04/01/clemson-university-students-covid-inequality-protest-rumored-tuition-hike/7045095002/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Columbus,OH,"Thompson Library, The Ohio State University",,more than 100,100,100,Stop Hate OSU,students; alumni,against anti-Asian racist violence,1,rally,,,,,,,,,,,,https://www.thelantern.com/2021/04/ohio-state-students-protest-anti-asian-violence-ask-university-for-support-at-thursday-rally/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Edison,NJ,Middlesex County College,Stop Voter Suppression in New Brunswick Rally,,,,,community advocates; residents,"against elimination of six polling sites ahead of New Brunswick School Board election, against voter suppression",0,rally,,,,,,,,,,,,https://www.insidernj.com/press-release/community-advocates-residents-plan-rally-stop-voter-suppression-board-elections-meeting-edison-nj/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Fremont,CA,"Fremont Unified District Teachers Association, 39510 Paseo Padre Pkwy",,count video,100,100,,parents; students,against decision to keep schools closed through end of academic year due to coronavirus pandemic,0,protest,,,,,,,,,,,,https://sanfrancisco.cbslocal.com/2021/04/01/covid-angry-parents-students-protest-fremont-schools-staying-closed/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Gainesville,FL,"Tigert Hall, University of Florida",,around 30; more than 30,30,30,,students; community members,"against workplace exploitation of international students at University of Florida, in remembrance of Huixiang Chen",0,march; vigil,,,,,,,,,,,,https://www.wuft.org/news/2021/04/02/vigil-held-to-honor-uf-international-graduate-students-life-demand-accountability-for-his-death/,https://www.alligator.org/article/2021/04/uf-community-honors-huixiang-chen-at-a-vigil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Hartford,CT,Hartford City Hall; Connecticut State Capitol; Governor's Residence,,,,,,,for cancelling rent and ending evictions during coronavirus pandemic,1,demonstration,,trash bags resembling body bags were placed outside buildings with signs,,,,,,,,,,https://www.courant.com/breaking-news/hc-news-hartford-housing-body-bag-protests-20210402-uqvm4jmalba5nnh7kynsoox7wm-story.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Houston,TX,home of U.S. Senator Ted Cruz,Recovery Recess,dozens,24,24,HOME Coalition,,"for canceling rent and stopping all evictions and utility shut-offs during COVID-19 pandemic, for THRIVE Act, climate care jobs justice",1,demonstration,called to scene,live band played loud music,,,,,,,,,,https://abc13.com/ted-cruz-protestors-recovery-recess-mayor-sylvester-turner/10469791/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Iowa City,IA,"Emma Goldman Clinic, 227 N Dubuque St",,,,,Johnson County Right to Life,,against abortion,2,protest,,,,,,,,,20210401-iowacity-abortion,,,https://dailyiowan.com/2021/06/05/democratic-county-supervisor-candidate-joins-counter-protesters-at-emma-goldman-clinic/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Iowa City,IA,"Emma Goldman Clinic, 227 N Dubuque St",,,,,,,for reproductive rights,1,counter-protest,,,,,,,,,20210401-iowacity-abortion,,,https://dailyiowan.com/2021/06/05/democratic-county-supervisor-candidate-joins-counter-protesters-at-emma-goldman-clinic/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Jefferson City,MO,Missouri State Capitol,,,,,American Association of Railroaders Inc.,,"for restoring funding to Amtrak, for increasing frequency of Amtrak train service between St. Louis and Kansas City",0,rally,,,,,,,,,,,,https://www.kttn.com/audio-railroaders-to-rally-thursday-in-jefferson-city-for-additional-amtrak-funding/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Las Vegas,NV,650 E Azure Ave,Cancel Rent Solidarity Rally!,,,,Progressive Leadership Alliance of Nevada,,for cancelling rent and ending evictions during coronavirus pandemic,1,rally,,,,,,,,,,,,https://www.facebook.com/events/2817072328608525/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Las Vegas,NV,Chinatown Plaza,,,,,Las Vegas Chinese Chamber of Commerce,elected officials,against anti-Asian racist violence,1,rally,,,,,,,,,,Feat. Governor Sisolak,,https://www.ktnv.com/news/las-vegas-aapi-community-pushing-back-on-racism-and-hate-with-rally,https://www.ktnv.com/news/nevada-leaders-join-forces-for-anti-asian-racism-rally-at-chinatown-las-vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Los Angeles,CA,,,,,,Nailing It for America,,"against anti-Asian racist violence, against hate",1,demonstration,,"sky planes writing ""NO HATE"" in huge letters over Orange County",,,,,,,,,,https://voiceofoc.org/2021/04/no-hate-message-to-appear-across-ocs-sky-as-residents-call-for-greater-action-against-anti-asian-racism/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,McKinney,TX,Collin County Jail,,about 20,20,20,,family; activists,"for accountability for inmate's death in jail, for justice for Marvin Scott III, Black Lives Matter",1,demonstration,,,,,,,,,,,,https://www.rawstory.com/marvin-scott-iii-died-in-texas-police-custody-his-family-will-protest-until-the-officers-involved-are-arrested/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Mineola,NY,"Theodore Roosevelt Executive and Legislative Building, 1550 Franklin Ave",,,,,"Long Island Chinese American Association; New Hyde Park Chinese Association; Herricks Chinese Association; Roslyn Grace, Great Neck Chinese Association; Chinese American Association of Syosset; Chinese American Association of North Hempstead; Herricks Muslim Families; Afghan Americans of New York; Holocaust Memorial and Tolerance Center of Nassau County; Muslims of Nassau County; Islamic Center of Long Island; American Jewish Committee Long Island Region; Tanglaw Organization; Chinese Center on Long Island",elected officials,"against anti-Asian racist violence, against hate",1,vigil,,,,,,,,,,,,https://www.newsday.com/long-island/nassau/vigil-mineola-for-asian-american-hate-crime-victims-1.50201926,"https://www.liherald.com/westhempstead/stories/candlelight-vigil-held-for-georgia-massage-parlor-victims,131591?",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,Montegut,LA,Point-aux-Chenes Elementary School,,about two dozen,24,24,,parents; residents; students,"against planned closure of Pointe-aux-Chenes Elementary School, for conversion to French immersion school",0,protest,,,,,,,,,,,,https://www.houmatoday.com/story/news/2021/03/30/pointe-aux-chenes-residents-plan-protest-thursday-against-proposed-elementary-school-merger/4807349001/,https://www.houmatoday.com/story/news/2021/04/01/pointe-aux-chenes-parents-residents-and-students-protest-proposed-school-closure/4819197001/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
