CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,Source7
Allentown,,PA,US,2018-08-01,hundreds,200,,200,,,general protestors,protest police shooting of Joseph Santos,0,vigil,,,,,1,1,https://twitter.com/JesusGonzalezNY/status/1024775086614695936,,,,,,,
Boston,Northeastern University; university's president's house,MA,US,2018-08-01,hundreds,200,,200,,,general protestors,protest against ICE; oppose Northeastern Uni contract with ICE,1,protest,12,0,0,0,1,1,https://www.democracynow.org/2018/8/1/headlines/12_arrested_in_boston_demanding_northeastern_university_cut_ties_with_ice,,,,,,,
Cairo,outside Gracy EMC building,GA,US,2018-08-01,more than a dozen,24,,24,,,Grady Electric Membership Co-op,protesting for transparency from Grady EMC board,1,protest,,,,,1,1,http://www.wctv.tv/content/news/Members-protest-Grady-EMC-489803831.html,,,,,,,
Greensboro,LeBauer Park,NC,US,2018-08-01,FB: 399,399,,399,,,March For Our Lives,support gun control,1,protest,0,0,0,0,1,1,https://www.greensboro.com/news/schools/parkland-students-rally-with-locals-in-greensboro-s-lebauer-park/article_f6de7c2a-d0e0-5615-8ce2-343176014a52.html,https://www.wfmynews2.com/article/news/local/marchforourlives-rally-wraps-up-in-greensboro-hundreds-attended/83-579397750,https://www.facebook.com/events/1628222837294987/,,,,,
Greensboro,LeBauer Park,NC,US,2018-08-01,FB: 7,7,,7,,,general protestors,pro-second amendment,2,counter-protest,0,0,0,0,0,1,https://www.greensboro.com/news/schools/parkland-students-rally-with-locals-in-greensboro-s-lebauer-park/article_f6de7c2a-d0e0-5615-8ce2-343176014a52.html,https://www.wfmynews2.com/article/news/local/marchforourlives-rally-wraps-up-in-greensboro-hundreds-attended/83-579397750,https://www.facebook.com/events/2127060610889233/,,,,,
Hanover,"from Sanborn Library, up and down Webster Avenue, past Massachusetts Row Greek-life housing, back down Webster Ave",NH,US,2018-08-01,around 80,80,,80,,,general protestors,march and rally against sexual violence on campus,0,march,0,0,0,0,1,1,http://www.thedartmouth.com/article/2018/08/students-march-against-sexual-assault,,,,,,,
Harrisburg,Pennsylvania State Capitol,PA,US,2018-08-01,FB: 20,20,,20,,,Grannies Respond,against ICE; family separation,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/274438776696890/,,,,,,,
Lewiston,,ME,US,2018-08-01,,,,,,,Lewiston Maine Association of Police,police protesting working conditions and lack of contract,0,protest,,,,,1,1,https://bangordailynews.com/2018/08/01/news/lewiston-auburn/lewiston-police-protest-working-conditions-lack-of-contract/,,,Ongoing protest,,,,
Los Angeles,Hall of Justice,CA,US,2018-08-01,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,,
Miami,Calder Race Track to church in Miami Gardens,FL,US,2018-08-01,nearly 800,800,,800,,,National Organization of Black Law Enforcement Executives,promoting unity and community involvement with police; commemorating fallen officers of color,0,march,0,0,0,0,1,1,https://www.local10.com/news/florida/miami-dade/nearly-800-law-enforcement-officials-take-part-in-annual-noble-march,,,,,,,
Montgomery,Alabama State House,AL,US,2018-08-01,dozens,24,,24,,,March For Our Lives,support gun control,1,sit-in,,,,,1,1,https://twitter.com/SDAMontgomeryAL/status/1024656199009161217,https://south-moms.ngpvanhost.com/ngpvanforms/27374,https://www.montgomeryadvertiser.com/story/news/politics/2018/08/01/parkland-survivors-march-our-lives-road-change-tour-stops-montgomery/878633002/,,,,,
New York,Soldiers and Sailors Memorial Arch,NY,US,2018-08-01,FB: 41,41,,41,,,Rise and Resist,"Abolish ICE & ""Complicity of Sen. Schumer""",1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1047429028748769/,,,,,,,
New York,City Hall,NY,US,2018-08-01,FB: 34,34,,34,,,Jews for Economic and Racial Justice,Rally to tell mayor to Drop charges against Mohamed Bah,0,protest,0,0,0,0,1,1,https://jfrej.org/event/show-up-for-mohamed-bah-tell-de-blasio-drop-the-appeal/,https://www.facebook.com/events/425264347959873/,,,,,,
Oshkosh,Opera House Square,WI,US,2018-08-01,FB: 21,21,,21,,,United Action Oshkosh,vigil for Isaiah Tucker; rally against police violence,1,vigil; rally,,,,,1,1,https://www.thenorthwestern.com/picture-gallery/news/2018/08/01/oshkosh-marchers-rally-for-community-safety-against-police-brutality/37254687/,https://www.facebook.com/events/675085606180684/,,,,,,
Salt Lake City,corner of 1300 East and South Tempe,UT,US,2018-08-01,,,,,,,Ashley Weitz; general protestors,"""right vs wrong""; protesting family separations",1,protest,,,,,1,1,https://fox13now.com/2018/08/03/every-day-a-utah-woman-is-holding-a-protest-for-right-vs-wrong/,,,First day in August of ongoing protest from July 7th,,,,
Seattle,City Hall,WA,US,2018-08-01,na,20,,20,,,general protestors,rally to save the Showbox theatre,0,rally,,,,,1,1,https://komonews.com/news/local/save-the-showbox-rally-demands-seattle-icon-be-nominated-as-landmark,https://www.king5.com/article/news/local/save-the-showbox-goes-before-landmarks-preservation-board/281-579548026,,Partial count estimated from video ,,,,
Sioux Falls,W 41st St and S Louise Ave,SD,US,2018-08-01,FB: 11,11,,11,,,Northern Heartland Circumcision Protests; Bloodstained Men & Their Friends,protesting circumcisions,0,protest,,,,,1,1,https://www.facebook.com/events/625793590941946/,,,,,,,
Toledo,central Toledo,OH,US,2018-08-01,about 100,100,,100,,,general protestors,protesting police shooting of Lamar Richardson,1,protest,0,0,0,0,1,1,http://www.toledoblade.com/local/2018/08/01/Group-takes-protest-over-shooting-to-outside-of-Toledo-mayor-s-home/stories/20180801200,,,,,,,
Toledo,Old Orchard Elementary to Mayor Wade Kapszukiewicz,OH,US,2018-08-01,about 60,60,,60,,,general protestors,protesting police shooting of Lamar Richardson,1,protest; march,0,0,0,0,0,1,http://www.toledoblade.com/local/2018/08/01/Group-takes-protest-over-shooting-to-outside-of-Toledo-mayor-s-home/stories/20180801200,,,,,,,
Traverse City,14th annual Traverse City Film Festival,MI,US,2018-08-01,na,50,,50,,,Vietnam Veterans,against award for actor Jane Fonda,0,protest,0,0,0,0,1,1,https://pagesix.com/2018/08/03/jane-fonda-honored-at-film-festival-amid-vietnam-veterans-protest/,http://www.shorelinemedia.net/ludington_daily_news/vietnam-veterans-planning-to-protest-jane-fonda-at-film-festival/article_c4d1b97a-94d9-11e8-ae58-efa1d24cf24d.html,https://upnorthlive.com/news/local/veterans-protest-jane-fondas-visit-to-traverse-city,Partial count estimated from video,,,,
Washington,outside US capitol; Senate office buildings,DC,US,2018-08-01,hundreds,200,,200,,,Planned Parenthood Action,against Kavanaugh's nomination to SCOTUS,1,protest,74,0,0,0,1,1,https://twitter.com/PPact/status/1024688253167910919,https://twitter.com/GwenCombs/status/1024813126422876165,https://twitter.com/funder/status/1024788848415584259,https://www.washingtonpost.com/local/public-safety/74-arrested-protesting-brett-kavanaughs-supreme-court-nomination-on-capitol-hill/2018/08/01/f43f70ec-95d5-11e8-86ab-42da8f0b33ea_story.html?utm_term=.32bb64f7d3d3,,,,
Allentown,3900 Hamilton Ave,PA,US,2018-08-01,FB: 279,279,,279,,,general protestors,protesting police shooting of Joseph Santos,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/195534244640470/,http://www.latimes.com/mc-nws-south-whitehall-police-protest-20180731-story.html,,,,,,
Boston,Faneuil Hall,MA,US,2018-08-02,na,19,,19,,,general protestors,calling for hearing to discuss name change for Faneuil Hall,1,protest,,,,,1,1,https://boston.cbslocal.com/2018/08/02/faneuil-hall-name-change-protest-boycott/,,,Partial count based on video,,,,
Centennial,"12445 E. Caley Ave., an Immigration and Customs Enforcement field office",CO,US,2018-08-02,na,20,,20,,,general protestors,Protesting ICE and immigrant family separation,1,protest,8,0,0,0,1,1,https://kdvr.com/2018/08/02/protesters-block-entrance-to-denver-area-ice-office-over-separation-of-families/,https://www.denverpost.com/2018/08/02/colorado-ice-protest-blockade-swat-arrests/,https://denver.cbslocal.com/video/3910795-protesters-gather-outside-ice-field-office-in-centennial/,civil dis,Partial count based on video,,,
Charles Town,Old Charles Town Library,WV,US,2018-08-02,na,15,,15,,,general protestors,Protesting plans for Rockwool facility,1,protest,0,0,0,0,1,1,http://www.journal-news.net/news/local-news/2018/08/citizens-protest-rockwool-at-jcc-meeting/,,,,,,,
Chicago,Lake Shore Drive,IL,US,2018-08-02,about 400,400,,400,,,general protestors,demand more government action against gun violence,0,march,0,0,0,0,1,1,https://www.usatoday.com/story/news/2018/08/02/chicago-protest-rahm-emanuel-wrigley-field-lake-shore-drive/890869002/,https://eu.usatoday.com/story/news/nation/2018/09/02/chicago-murders-protesters-hope-shut-down-ohare-airport/1180561002/,,,,,,
Duluth,Office of Rep. Rick Nolan,MN,US,2018-08-02,a dozen or more,12,,12,,,Take Action Minnesota; general protestors,calling for resignation of Rep. Rick Nolan,0,rally; protest,,,,,1,1,http://www.duluthnewstribune.com/news/government-and-politics/4480769-activists-march-call-nolan-resign,,,,,,,
Jackson,Presidential Hills Park,MS,US,2018-08-02,,,,,,,March For Our Lives,support gun control,1,rally,0,0,0,0,1,1,http://www.wlbt.com/story/38803086/march-for-our-lives-tour-makes-a-stop-in-jackson,,,,,,,
Louisville,Muhammad Ali Center,KY,US,2018-08-02,na,25,,25,,,Grandmothers,protesting family separation,1,protest,,,,,1,1,http://www.wdrb.com/story/38802370/traveling-grandmothers-stop-in-louisville-to-protest-us-immigration-policy,,,Partial count based on video,,,,
Merrifield,ICE field office,VA,US,2018-08-02,,,,,,,Metro DC Democratic Socialists of America,Protesting ICE and immigrant family separation,1,protest,2,0,0,0,1,1,https://twitter.com/mdc_dsa/status/1025009503186640896,,,civil dis; number arrested uncertain,,,,
New York,23 Wall Street,NY,US,2018-08-02,FB: 52,52,,52,,,Rise and Resist,"Abolish ICE Abolish ICE & ""Profiteers"" (banks,etc)",1,protest,,,,,1,1,https://www.facebook.com/events/277669842992207/,,,,,,,
New York,City Councilman Ydanis Rodriguez's office,NY,US,2018-08-02,several,4,,4,,,general protestors,protesting a rezoning proposal for inwood,0,protest,1,0,0,0,1,1,https://www.amny.com/news/inwood-rezoning-protest-1.20275205,,,,,,,
Niceville,Raider Arena - Northwest Florida State,FL,US,2018-08-02,nearly 1000,1000,,1000,,,general protestors,rally for congressional candidate Matt Gaetz,2,rally,0,0,0,0,1,1,http://www.nwfdailynews.com/news/20180803/gaetz-rally-leaves-okaloosa-gop-leader-with-hurt-feelings,,,,,,,
Rapid City,West Blvd & Omaha St,SD,US,2018-08-02,FB: 10,10,,10,,,Northern Heartland Circumcision Protests; Bloodstained Men & Their Friends,protesting circumcisions,0,protest,,,,,1,1,https://www.facebook.com/events/227563957671038/,,,,,,,
San Francisco,Chinese for Affirmative Action office,CA,US,2018-08-02,,,,,,,Chinese for Affirmative Action; general protestors,opposing inclusion of citizenship question on census,1,rally,,,,,1,1,http://www.sfexaminer.com/chiu-breed-call-san-franciscans-oppose-census-citizenship-question/,,,,,,,
Spokane,Spokane County Courthouse,WA,US,2018-08-02,dozens,24,,24,,,coalition of organizations,protesting white supremacy,1,rally,0,0,0,0,1,1,https://www.kxly.com/news/spokane-county-gop-chair-apologizes-for-hosting-controversial-speaker-as-groups-organize-protest/775745261,https://www.krem.com/article/news/local/spokane-county/dozens-gather-for-rally-against-white-nationalism-at-spokane-co-courthouse/293-579963067,,,,,,
St. Petersburg,Williams Park,FL,US,2018-08-02,about 200,200,,200,,,Democratic politicians,rallying for better health care policy; pro-Democratic Party,1,rally,0,0,0,0,1,1,http://www.tampabay.com/florida-politics/buzz/2018/08/07/democrats-hold-rally-to-spotlight-health-care-which-they-hope-will-be-a-key-2018-issue/,,,,,,,
Terre Haute,Root Hall to Crisis Pregnancy Center,ID,US,2018-08-02,,,,,,,general protestors,rally for better sexual education in schools,0,march; rally,,,,,1,1,http://www.wthitv.com/content/news/We-cant-really-ignore-these-issues-any-longer-because-its-grown-so-out-of-control-Local-teen-plans-to-raise-awareness-through-peaceful-protest-489697091.html,,,,,,,
Wilkes-Barre ,inside Mohegan Sun Arena ,PA,US,2018-08-02,"more than 10,000",10000,,10000,,,Trump campaign,"for Lou Barletta for U.S. Senate, for President Trump",2,rally,0,0,0,0,1,1,https://www.washingtonpost.com/politics/in-pennsylvania-trump-tries-to-rally-supporters-behind-gop-senate-candidate/2018/08/02/260175bc-9662-11e8-810c-5fa705927d54_story.html?utm_term=.9839727f877f,https://web.archive.org/web/20180803042435/https://www.standardspeaker.com/news/trump-barletta-speak-at-arena-rally-1.2369076,,feat. President Trump,,,,
Wilkes-Barre ,along Highland Park Boulevard; outside Mohegan Sun Arena ,PA,US,2018-08-02,dozens; several hundred,24,,300,,,general protestors,against Trump visit and Trump policies,1,protest,1,0,0,0,0,1,https://wnep.com/2018/08/02/president-trumps-visit-garners-protesters-in-luzerne-county/?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5b63f79a9ac564000750696f&utm_medium=trueAnthem&utm_source=facebook,https://www.republicanherald.com/news/woman-placed-in-handcuffs-at-trump-protest-1.2369298,,civil dis,,,,
Anderson,across from Madison County Government and Courts office,IN,US,2018-08-03,na,8,,8,,,general protestors,protesting CPS after toddler deaths,0,protest,0,0,0,0,1,1,https://www.wishtv.com/news/crime-watch-8/anderson-dcs-protest-after-deaths-of-2-toddlers/1345431248,,,Partial count estimated from video,,,,
