CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Cincinnati,U.S. Bank Arena,Hamilton,OH,US,8/1/2019,"approaching 20,000",20000,,20000,,,Trump administration,for President Trump,2,rally,,,,,1,1,https://twitter.com/JenniferJJacobs/status/1157017675077472259,https://www.pbs.org/newshour/politics/watch-live-trump-holds-campaign-rally-in-cincinnati-ohio,https://www.cincinnati.com/picture-gallery/news/2019/08/01/president-donald-trump-rally-cincinnati-2019/1890479001/,feat. President Trump,https://www.wbur.org/hereandnow/2019/08/02/president-trump-rally-cincinnati,,
Cincinnati,U.S. Bank Arena,Hamilton,OH,US,8/1/2019,,,,,,,general protestors,"against President Trump, against racism, for immigrants rights, for reproductive rights",1,counter-protest,,,,,0,1,https://www.pbs.org/newshour/politics/watch-live-trump-holds-campaign-rally-in-cincinnati-ohio,https://www.cincinnati.com/picture-gallery/news/2019/08/01/president-donald-trump-rally-cincinnati-2019/1890479001/,,,,,
Cincinnati,National Underground Railroad Freedom Center,Hamilton,OH,US,8/1/2019,,,,,,,general protestors,"against President Trump, against racism",1,protest,,,,,0,1,https://www.pbs.org/newshour/politics/watch-live-trump-holds-campaign-rally-in-cincinnati-ohio,,,,,,
Milwaukee,outside ICE building,Milwaukee,WI,US,8/1/2019,,,,,,,Never Again Action,against government crackdown and detention policy at border; anti-ICE,1,protest,,,,,,1,https://twitter.com/NeverAgainActn/status/1156935969263837185,,,,,,
San Francisco,outside Speaker Pelosi's office; San Francisco Federal Building,San Francisco,CA,US,8/1/2019,,,,,,,Vigil for Democracy,calling for removal of corrupt criminals from all three branches of US government and immediate lawmaking to protect lives and liberty.,0,vigil,,,,,,1,https://www.facebook.com/events/san-francisco-federal-building/vigil-for-democracy-at-speaker-pelosis-sf-office/985722828427772/,,,"every day from Noon - 2PM PST during the August congressional recess (July 29 - September 8, 2019",,,
Atlanta,AT&T MIdtown Center,,GA,US,8/3/2019,hundreds,200,,200,,,Communication Workers of America,for fair contract for AT&T employees,0,rally,0,0,0,0,1,1,https://www.ajc.com/news/southeast-workers-rally-atlanta-amid-contract-talks-with/ngQnrbHuWyrVObdyaSlJ3N/,,,,,,
El Paso,near border fence,El Paso,TX,US,8/3/2019,,,,,,,general protestors,against gun violence,0,vigil,,,,,,1,https://www.pbs.org/newshour/nation/sister-el-paso-shooting-victim-25-gave-her-life-for-son,,,,,,
El Paso,at El Paso High School,El Paso,TX,US,8/3/2019,,,,,,,general protestors,against gun violence,0,vigil,,,,,,1,https://www.pbs.org/newshour/nation/sister-el-paso-shooting-victim-25-gave-her-life-for-son,,,,,,
Washington,steps of US Capitol,,DC,US,8/3/2019,some 2000,2000,,2000,,,general protestors,against gun violence; for gun reform,1,protest,,,,,,1,https://twitter.com/nicksuplina/status/1157850958350757888,https://www.kentucky.com/news/nation-world/article233542197.html,,,,,
Milwaukee,,Milwaukee,WI,US,8/3/2019,,,,,,,general protestors,against violence,0,protest,,,,,,1,https://thehill.com/blogs/blog-briefing-room/news/456070-driver-plows-through-crowd-gathered-at-anti-violence-rally-in?__twitter_impression=true&__twitter_impression=true&__twitter_impression=true&fbclid=IwAR0ovO_3LRPXYK8exk2eYoz4jNzlc0M0Pp9wWVz-Sce5Usc1Zhhucbn1cig,,,,,,
San Jose,at  Latino College Preparatory Academy,Santa Clara,CA,US,8/3/2019,about 60,60,,60,,,family of Keyla Salazar,against violence,0,vigil,0,0,0,0,1,1,https://www.latimes.com/california/story/2019-08-04/memorial-for-13-year-old-girl-killed-in-gilroy-interrupted-by-el-paso-massacre-news,,,,,,
