CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,TearGas,CountLove,AdHoc,Source4,Source5,Source6,Source7,Source8,Source9,,,,,,,,
Albany,Boys and Girls Club,,NY,US,2020-08-01,,,,,,,Elevate 518,in honor of Black women killed by police,1,march,0,0,0,0,1,1,,https://www.news10.com/news/local-news/albany-black-women-matter-march-set-for-saturday/,,,,,1,,,,,,,,,,,,,,,
Albany,New York State Capitol,,NY,US,2020-08-01,hundreds,200,,200,,,Liberty Bell Alliance,Back the Blue,2,rally,0,0,0,0,1,1,20200801-albany-backtheblue,https://www.timesunion.com/news/article/Pro-police-message-at-Albany-rally-with-a-few-15451493.php,https://www.wamc.org/new-york-news/2020-08-01/tense-moments-but-no-major-violence-at-back-the-blue-rally-in-albany,https://dailygazette.com/2020/08/01/troopers-intervene-when-albany-rally-got-tense/,"verbal confrontations and scuffles with counter-protesters; pepper spray deployed, not clear by which side",0,1,1,https://cbs6albany.com/news/local/hundreds-gather-on-capitol-steps-for-back-the-blue-rally,,,,,,,,,,,,,
Albany,New York State Capitol,,NY,US,2020-08-01,,,,,,,general protesters,"against Back the Blue rally, Black Lives Matter",1,counter-protest,0,0,0,0,0,1,20200801-albany-backtheblue,https://www.wamc.org/new-york-news/2020-08-01/tense-moments-but-no-major-violence-at-back-the-blue-rally-in-albany,https://dailygazette.com/2020/08/01/troopers-intervene-when-albany-rally-got-tense/,https://cbs6albany.com/news/local/hundreds-gather-on-capitol-steps-for-back-the-blue-rally,"verbal confrontations and scuffles with protesters; pepper spray deployed, not clear by which side",0,1,1,,,,,,,,,,,,,,
Alexandria,Church St and Harrison St,,IN,US,2020-08-01,about a dozen,12,,12,,,It's Up There,"for police reform, for racial justice, Black Lives Matter",1,protest,0,0,0,0,1,1,20200801-alexandria-blm,https://www.heraldbulletin.com/news/local_news/alexandria-racial-justice-march-greeted-by-counter-protesters/article_653df820-d447-11ea-93ff-afee458f6b79.html,https://www.heraldbulletin.com/multimedia/alexandria-protest-halts-traffic/video_339715ea-341f-5bcb-a8b1-066be8d60945.html,,verbal clashes with counter-protesters,0,1,1,,,,,,,,,,,,,,
Alexandria,Church St and Harrison St,,IN,US,2020-08-01,count video,30,,40,,,general protesters,"against Black Lives Matter, Confederate flag, Thin Blue Line, for President Trump",2,counter-protest,0,0,0,0,1,1,20200801-alexandria-blm,https://www.heraldbulletin.com/news/local_news/alexandria-racial-justice-march-greeted-by-counter-protesters/article_653df820-d447-11ea-93ff-afee458f6b79.html,https://www.heraldbulletin.com/multimedia/alexandria-protest-halts-traffic/video_339715ea-341f-5bcb-a8b1-066be8d60945.html,,some in tactical gear or openly carrying firearms; verbal clashes with protesters,0,1,1,,,,,,,,,,,,,,
Andover Township,Hillside Park,,NJ,US,2020-08-01,roughly 100,100,,100,,,general protesters,"against racism, against police violence",1,rally,0,0,0,0,1,1,,https://www.njherald.com/story/news/2020/08/01/andover-blm-rally-called-for-social-justice/113403930/,https://www.njherald.com/story/news/2020/07/30/andover-blm-rally-will-be-held-on-land-once-owned-by-nazi-sympathizers/113408780/,https://www.northjersey.com/story/news/2020/07/31/andover-blm-rally-held-land-once-owned-nazi-sympathizers/5555597002/,,,1,1,,,,,,,,,,,,,,
Ann Arbor,Ann Arbor Federal Building,,MI,US,2020-08-01,about a dozen,12,,12,,,communtiy members,"against President Donald Trump, against election delay",1,protest,0,0,0,0,1,1,,https://www.michigandaily.com/section/ann-arbor/activists-protest-downtown-time-presidential-election-usps-funding,,,,0,1,,,,,,,,,,,,,,,
Annapolis,State Circle & Francis St,,MA,US,2020-08-01,about 25,25,,25,,,Our Sisters Keeper,"for justice for Vanesa Guillen, against sexual harassment in the military",0,protest,0,0,0,0,1,0,,https://www.capitalgazette.com/news/ac-cn-military-sexual-violence-protest-20200801-z3ctxuhdj5bexptwhf2xtxf5zi-story.html,,,,,1,,,,,,,,,,,,,,,
Appleton,College Ave & Morrison St,,WI,US,2020-08-01,,,,,,,general protesters,against abortion rights,2,protest,,,,,1,1,,https://www.postcrescent.com/story/news/local/2020/07/31/free-speech-protects-abortion-protesters-appleton-farm-market/5525459002/,,,,,1,,,,,,,,,,,,,,,
Atlanta,Piedmond Park,,GA,US,2020-08-01,,,,,,,general demonstrators,"for unity, for racial justice, Black Lives Matter",1,demonstration,,,,,1,1,,https://www.wsbtv.com/news/local/atlanta/inspired-by-rep-john-lewis-demonstrators-gather-good-trouble-piedmont-park/P5Q64YKUPJERHPPX5E4LHI5VZQ/,,,,,,,,,,,,,,,,,,,,
Augusta,Columbia Rd,,GA,US,2020-08-01,,,,,,,general protesters,"for justice for Vanesa Guillen, against sexual harassment in the military",0,protest,0,0,0,0,1,1,,https://www.wrdw.com/2020/08/03/local-protesters-show-support-of-slain-fort-hood-soldier/,,,,0,1,,,,,,,,,,,,,,,
Austin,Congress Ave and E 4th St; Austin Police Department,,TX,US,2020-08-01,,,,,,,general protesters,"for justice for Garrett Foster, Black Lives Matter",1,protest; march,35,0,0,0,1,1,20200801-austin-blm,https://www.fox7austin.com/news/hundreds-of-apd-officers-dps-troopers-clash-with-protesters-in-austin-saturday-night,https://www.texastribune.org/2020/08/02/austin-protest-garrett-foster/,https://www.fox10phoenix.com/news/apd-believe-protesters-plan-to-scale-buildings-as-demonst-continue-throughout-the-city,Protest Enemies of the People; some protesters carried weapons; police aggressively confronted crowd; kettling with bikes; pepper spray; protesters blocked street,1,1,1,https://www.kvue.com/article/news/local/protests/austin-protests-police-dps-troopers-increasing/269-1f15b131-142e-4407-b2bc-387189b0372f,,,,,,,,,,,,,
Austin,Congress Ave and E 4th St,,TX,US,2020-08-01,,,,,,,Boogaloo Boys; Texas Security Force III%; Proud Boys,against Black Lives Matter protesters,2,counter-protest,0,0,0,0,0,1,20200801-austin-blm,https://www.fox7austin.com/news/hundreds-of-apd-officers-dps-troopers-clash-with-protesters-in-austin-saturday-night,https://www.kvue.com/article/news/local/protests/austin-protests-police-dps-troopers-increasing/269-1f15b131-142e-4407-b2bc-387189b0372f,,openly carried firearms; tactical gear,0,1,,,,,,,,,,,,,,,
Austin,UT Tower; home of Austin City Council Member Kathy Tovo,,TX,US,2020-08-01,hundreds,200,,200,,,general protesters,"for defunding police, for amplifying Black voices",1,rally; march,0,0,0,0,0,1,,https://www.texastribune.org/2020/08/02/austin-protest-garrett-foster/,https://www.fox7austin.com/news/hundreds-of-apd-officers-dps-troopers-clash-with-protesters-in-austin-saturday-night,,March to Amplify Black Voices; turned away people who showed up with visible weapons,0,1,,,,,,,,,,,,,,,
New York,"Bowne Park, Bayside, Queens",,NY,US,2020-08-01,more than 50,50,,50,,,Warriors in the Garden,Black Lives Matter; against systemic racism,1,march,0,0,0,0,1,1,,https://qns.com/2020/08/live-updates-black-lives-matter-protest-kicks-off-in-bayside/,,,,,,,,,,,,,,,,,,,,
Berea,Chestnut St to Berea City Hall,,KY,US,2020-08-01,hundreds,200,,200,,,community members,Back the Blue; pro law enforcement,0,march,,,,,1,1,,https://www.richmondregister.com/news/hundreds-attend-berea-backs-the-blue-march/article_356458d4-fc85-5c48-b162-cf039faaf679.html,,,,,,,,,,,,,,,,,,,,
Beverly Hills,Beverly Gardens Park,,CA,US,2020-08-01,,,,,,,general protesters,"for President Trump, for freedom, against coronavirus masks",2,rally,,,,,1,1,,https://beverlyhillscourier.com/2020/10/29/bhpd-chief-addresses-mask-enforcement-at-rallies/,,,Beverly Hills Freedom Rally,,,1,,,,,,,,,,,,,,
Biloxi,Biloxi Lighthouse,,MS,US,2020-08-01,,,,,,,general protesters,calling for a delay to the start of the school year amid the covid pandemic,0,rally,0,0,0,0,1,1,,https://www.sunherald.com/news/coronavirus/article244648497.html,,,,,,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-08-01,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,1,,,,,,,,,,,,,,
Bonner,Bonner County Courthouse,Bonner,ID,US,2020-08-01,,,,,,,Back the Bonner Blue,"in support of local law enforcement, against hatred of police",2,rally,,,,,1,1,,https://bonnercountydailybee.com/news/2020/jul/31/local-group-plans-back-the-bonner-blue-rally-7/,,,,,,,,,,,,,,,,,,,,
Brookfield,Square Mall,,WI,US,2020-08-01,count video,60,,80,,,general protesters,"against state coronavirus mask mandate, for freedom, recall Governor Evers, for patriotism, for President Trump, for police",2,protest,0,0,0,0,1,1,,https://www.wisn.com/article/coronavirus-dozens-protest-wisconsin-s-face-mask-mandate/33489860,,,,,,,,,,,,,,,,,,,,
Cambridge,Cambridge City Hall,,MA,US,2020-08-01,hundreds,200,,200,,,general protestors,"justice for Eurie Stamps, Black Lives Matter",1,protest,,,,,1,1,,https://whdh.com/news/hundreds-protest-at-cambridge-city-hall-for-framingham-man-killed-by-police/,,,,,,,,,,,,,,,,,,,,
