date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-08-01,Bangor,ME,Bangor Waterfront,,count pic,125,175,Wabanaki Tribes,,"for sovereignty for the Wabanaki Tribes, for indigenous peoples' rights",0,rally,,,,,,,,,,,,https://www.wabi.tv/2021/08/01/wabanaki-tribes-community-gather-solidarity-rally/,https://www.newscentermaine.com/article/news/local/wabanaki-community-members-hold-rally-fighting-for-river-rights/97-5176576b-1ce2-4c9c-b05d-d021c826f413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Belmont,MA,Waverley Square,,,,,Community Organized for Solidarity,,"Black Lives Matter, stop Asian hate, white supremacy is terror",1,demonstration,,,,,,,,,,,,https://www.instagram.com/p/CTDSDrBH5ci/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Brookwood,AL,Warror Met Coal Inc.,,,,,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://twitter.com/TheRealNews/status/1413205492806012929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Cambridge,MA,Mayor Danehy Park,Let Trans Athletes Play,dozens,24,24,Massachusetts Commission on LGBTQ Youth; Cambridge LGBTQ+ Commission; Fenway Health; GLSEN Massachusetts,elected officials,"in support of transgender youth, against state legislation barring transgender youth from school sports",1,rally,,,,,,,,,,,,https://www.bostonglobe.com/2021/08/01/metro/day-sports-camaraderie-cambridge-park-protests-exclusion-transgender-athletes/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Charleston,SC,Marion Square,,about two dozen,24,24,,,in solidarity with protesters in Cuba,0,rally,,,,,,,,,,,,https://www.live5news.com/2021/08/01/group-calls-changes-cuba/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Charlotte,NC,"Freedom Park; Atrium Health Carolinas Medical Center, 1000 Blythe Blvd",,"hundreds; approximately 1,000; thousands",200,2000,Healthcare Heroes for Freedom,healthcare workers; supporters,"against mandatory COVID-19 vaccinations for employees of Atrium Health Carolinas Medical Center, my body my choice, Fauci lied, I am not your lab rat",2,march,,,,,,,,,,somebody in the crowd had a sign with a swastika,,https://www.wbtv.com/2021/08/01/healthcare-workers-supporters-march-atrium-health-protest-employer-mandated-vaccinations/,https://www.wsoctv.com/news/local/hundreds-gather-freedom-park-protest-atrium-healths-employee-vaccine-mandate/3RFAH5QTVRGQJMLRQVH6TFGT2A/,https://www.cbs17.com/news/north-carolina-news/protest-held-in-charlotte-over-mandatory-vaccine-for-health-care-workers-in-nc/,https://www.instagram.com/p/CSDr0WoHxfR/,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Columbus,OH,City Hall Plaza,,about 300,300,300,Mothers of Murdered Children; Moms Demand Action; Motherful; Sister Soldiers,elected officials,against gun violence,0,rally,,,,,,,,,,,,https://myfox28columbus.com/news/local/advocates-say-our-future-is-dying-and-push-for-change-at-anti-violence-rally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Cumberland,MD,Cumberland City Hall,Back the Blue Rally,,,,Allegany County Republican Women's Club,elected officials,in support of police,2,rally,participated in rally,,,,,,,,,,,https://www.times-news.com/news/citizens-show-support-for-police-at-back-the-blue-rally/article_60180a20-f304-11eb-85d3-370c514ba364.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Danbury,CT,"Holiday Inn Express & Suites, 89 Mill Plain Rd",Arise USA The Resurrection Tour,,,,Constitutional Sheriff & Peace Officer's Association; Earth Intelligence Network,,"for constitutional freedom, for health freedom, for Christian faith, for patriotism, for sovereign citizenship, against coronavirus mandates and vaccines",2,rally,,,,,,,,,,,,https://ariseusa.com/about/,https://bigbatusa.org/2021/07/27/location-65-bridgeport-ct-1-august/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Darlington,SC,,,,,,,,against criminal violence,0,rally,,,,,,,,,,,,https://www.wbtw.com/home/darlington-residents-rally-against-violence-donate-school-supplies/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,Fort Smith,AR,"Mercy Hospital Fort Smith, 7301 Rogers Ave",,,,,,,"against mandatory COVID-19 vaccinations for employees of Mercy Hospital group, for choice",2,protest,,,,,,,,,,,,https://www.winknews.com/2021/08/01/dozens-protest-nch-vaccination-mandate/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
