City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),protest,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Ann Arbor ,University of Michigan; Palmer Commons,MI ,US ,2017-12-01,FB:81,81,,81,,,general protestors; lecturers,Protest in effort to bargain for more benefits; labor protest,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1781731205470038/,,,
Austin,Westin Hotel,TX,US ,2017-12-01,Photo: dozens,24,,24,,,general protestors,Protesting conference on how to maximize profit in trailer parks,0,protest ,0,0,0,0,1,1,http://www.mystatesman.com/news/local/housing-advocates-protest-boot-camp-maximize-trailer-park-profits/c7xW9YnAhbaO2Q0SICgYcI/,,,
Charlottesville ,University of Virginia; Rotunda ,VA,US ,2017-12-01,,,,,,,Students ,March against sexual assault,0,march ,0,0,0,0,1,1,http://www.nbc29.com/story/36974867/uva-students-host-march-against-sexual-assault,,,
Des Moines,Smith Federal Building,IA,US ,2017-12-01,about 50,50,,50,,,general protestors ,Protesting Trump's decision to end DACA; rallying for immigrants,1,protest ,0,0,0,0,1,1,https://www.desmoinesregister.com/story/news/2017/12/01/protesters-gather-outside-neal-smith-federal-building-support-clean-dream-act-daca/913321001/,,,
Erie,State St.,PA,US,2017-12-01,FB: 6,6,,6,,,Keystone Progressive Erie,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/481325138927541/,,,
Los Angeles,LAPD HQ,CA,US,2017-12-01,FB: 123,123,,123,,,White People 4 Black Lives,Protesting police brutality,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/825466764328717/,,,
Louisville,Galt House Hotel,KY,US ,2017-12-01,,,,,,,Bernie Sanders; general public,Rally against the Republican tax reform ,1,rally,0,0,0,0,1,1,https://www.courier-journal.com/story/news/2017/11/28/bernie-sanders-louisville-rally-december-1/902384001/,"http://www.wdrb.com/story/36944059/us-sen-bernie-sanders-scheduled-to-hold-rally-in-louisville-on-friday-dec-1
",http://www.wdrb.com/story/36972262/senator-bernie-sanders-to-speak-at-a-protecting-working-families-tour-rally-in-louisville-tonight,
Milwaukee,Federal Courthouse,WI,US ,2017-12-01,,,,,,,general protestors; senior citizens ,Protesting GOP tax plan,1,protest ,0,0,0,0,1,1,http://www.wisn.com/article/senior-citizens-hold-tax-plan-protest-at-federal-courthouse-1512160535/14000427,,,
Norman,University of Oklahoma; South Oval,OK,US,2017-12-01,,,,,,,general protestors,Protesting Slavery in Libya,0,protest,0,0,0,0,1,1,http://www.oudaily.com/news/ou-students-to-march-against-slavery-on-the-south-oval/article_c75d2f06-d64a-11e7-9218-170e98579fd9.html,http://www.oudaily.com/gallery/ou-students-protest-slavery-in-libya-photos/collection_0584fb2c-d6d9-11e7-85f3-6bd193c724b9.html#10,,
Red Bank,Downtown,NJ,US ,2017-12-01,more than 200,200,,200,,,general protestors,Protesting Trump's decision to end DACA; rallying for immigrants,1,protest ,0,0,0,0,1,1,http://www.app.com/story/news/local/western-monmouth-county/2017/12/01/red-bank-awaken-community-rally-supports-immigrants-without-legal-status/910730001/,https://www.facebook.com/events/1399750793470987/,,
Storrs,University of Connecticut; Fairfield Way ,CT,US ,2017-12-01,about 200,200,,200,,,Students; general protestors,"""#Itsokaytobeyou""; protesting university inaction regarding right-wing speaker",0,march,0,0,0,0,1,1,http://www.courant.com/breaking-news/hc-br-uconn-march-for-action-20171201-story.html,https://www.facebook.com/events/393221087799260/,http://dailycampus.com/stories/2017/12/1/students-march-for-action-after-tuesdays-events-and-lackluster-response-from-administration,
Storrs,University of Connecticut; Fairfield Way ,CT,US,2017-12-01,,,,,,,Partners in Health Engage,Rallying against HIV/AIDS,0,rally,0,0,0,0,0,1,http://dailycampus.com/stories/2017/12/4/die-in-takes-over-fairfield-way-to-raise-awareness-for-hiv-and-aids,,,
