CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Tucson,Davis-Monthan Air Force Base,Pima,AZ,US,2018-12-01,Roughly 100,100,,100,,,general protestors,protest troops; in support of refugees,1,Protest,0,0,0,0,1,1,https://www.kgun9.com/people-gather-to-protest-troops-at-davis-monthan,,,
Huntington Station,,Suffolk,NY,US,2018-12-01,Roughly 60,60,,60,,,Families Belong Together,Stop the Tears Protest,0,protest,0,0,0,0,1,1,https://www.newsday.com/long-island/suffolk/migrant-rally-huntington-station-1.24118062,,,
Portland,Zoo,Multnomah,OR,US,2018-12-01,FB: 46,46,,46,,,"Care2, Free the Oregon Zoo Elephants, Out to Pasture Sanctuary, Portland Animal Save",protest elephant mistreatment and breeding in captivity,0,vigil;protest,0,0,0,0,1,1,https://katu.com/news/local/animal-rights-activists-plan-rally-outside-oregon-zoo-over-lily-the-elephants-death,https://www.kgw.com/article/news/local/animal/animal-rights-activists-hold-vigil-protest-at-oregon-zoo-following-lilys-death/283-619537470,https://www.facebook.com/events/340212233432765/,
Detroit,Brightmoor Homes,Wayne,MI,US,2018-12-01,more than 25,25,,25,,,residents of Brightmoor Homes,protest evictions/foreclosures and poor conditions,0,protest,0,0,0,0,1,1,https://www.detroitnews.com/story/news/local/detroit-city/2018/12/01/brightmoor-residents-evict-management-staff/2164358002/,,,
Chapel Hill ,UNC,Orange,NC,US,2018-12-02,several hundred,300,,300,,,general protestors,protesting return of Confederdate statue,1,protest,2,0,0,0,1,1,https://www.newsobserver.com/news/local/article222618400.html,,,not civil dis
Raleigh,United Daughters of the Confederacy headquarters house,Wake ,NC,US,2018-12-02,a handful,,,,,, Hillsborough Progressives Taking Action,"protesting of white supremacy, follow up to protests regarding return of ""Silent Sam"" statue at UNC",1,protest,0,0,0,0,0,1,https://www.dailytarheel.com/article/2018/12/udc-protest-1202,,,
Phoenix,Arizona State Capitol,Maricopa,AZ,US,2018-12-02,more than 100,100,,120,,,general protestors,Stop the Tears Protest,1,protest,1,0,1,0,1,1,https://www.azcentral.com/story/news/politics/immigration/2018/12/02/protesters-rally-support-migrant-caravan-arizona-capitol-families-belong-together-patriot-movement/2186332002/,https://www.azfamily.com/news/man-taken-into-custody-during-immigration-rally-near-state-captiol/article_67f57592-f691-11e8-b997-4fc4efd1443a.html,,
Harrisburg,outside state Capitol building,Dauphin,PA,US,2018-12-02,more than 50,50,,50,,,Harrisburg Rising,against white supremacy,1,rally,0,0,0,0,1,1,https://www.pennlive.com/news/2018/12/pa_unite_against_white_suprema.html,,,
Fort Lauderdale,outside downtown federal courthouse,Broward,FL,US,2018-12-02,na,30,,30,,,general protestors,rallying for asylum rights; pro-immigration,1,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2018/12/3/south-florida-rallies-refugees-mexico-border,,,
Seattle,west Seattle,King,WA,US,2018-12-02,at least 200,200,,200,,,Hate Free Delridge,rallying against anti-semitism,0,rally,0,0,0,0,1,1,https://www.kiro7.com/news/local/neighbors-host-demonstration-after-finding-anti-semitic-messages-in-west-seattle/882068257?utm_source=homestream&utm_medium=site_navigation&utm_campaign=homestream_click,https://westseattle.timebanks.org/news/1403-update-on-no-to-anti-semitism---dec-2nd-sunday-west-seattle-junction,,
Columbus,Powell and Liberty Township,Franklin,OH,US,2018-12-02,,7,,10,,,general protestors,rallying against merging of local EMS with county EMS,0,rally,0,0,0,0,1,1,https://abc6onyourside.com/news/local/several-rally-against-proposal-to-merge-two-ems-departments,,,
