CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,,,,,,,
Albany,Albany Medical Center,,NY,US,2020-12-01,about 100,100,,100,,,New York State Nurses Association,for safer working conditions and higher pay and benefits for nurses during coronavirus pandemic,0,strike; picket,0,0,0,0,1,1,,,,https://www.politico.com/states/new-york/city-hall/story/2020/11/30/new-yorks-largest-nurses-union-rolls-the-dice-on-albany-strike-1338711,https://www.timesunion.com/news/article/Albany-Med-nurses-on-verge-of-strike-15765304.php,https://wnyt.com/capital-region-comeback/albany-med-nurses-to-rally-for-ppe-tuesday-coronavirus-pandemic-albany-county-/5938582/,https://www.beckershospitalreview.com/hr/albany-medical-center-nurses-strike.html,https://www.timesunion.com/news/article/Albany-Med-nurses-strike-CEO-calls-it-15765304.php?IPID=Times-Union-HP-CP-Spotlight,https://www.timesunion.com/news/article/Albany-Med-nurses-strike-over-contract-safety-15765304.php?IPID=Times-Union-HP-CP-Spotlight,,,,,,,,,,,,,
Albany,New York State Capitol,,NY,US,2020-12-01,,,,,,,general protesters,for faster progress against AIDS in New York,0,caravan,0,0,0,0,0,1,,,,https://www.news10.com/news/on-world-aids-day-protest-held-outside-of-the-capitol/,,,,,,,,,,,,,,,,,,
Bozeman,home of Gallatin City-County Health Officer Matt Kelley,,MT,US,2020-12-01,,,,,,,general protesters,against county mandates in response to coronavirus pandemic,2,protest,0,0,0,0,1,1,,,,https://www.bozemandailychronicle.com/coronavirus/our-county-officials-are-being-harassed-supporters-rally-for-gallatin-county-health-officer/article_4a6dee5c-be57-5335-ae6e-90bec12902ef.html,,,,,,,,,,,,,,,,,,
Chesterfield,Satchmo's Bar and Grill,,MO,US,2020-12-01,count pic,14,,14,,,general protesters,against St. Louis County Executive Sam Page's latest COVID-19 restrictions on restaurants and bars,2,protest,0,0,0,0,1,1,,,,https://www.stltoday.com/news/local/govt-and-politics/restaurateurs-lawmakers-rally-to-restrict-pages-power-over-pandemic-response/collection_44763b17-9fa7-57de-9bc4-2e1e75499bab.html#1,,,,,,,,,,,,,,,,,,
Germantown,Alt Bauer Park; toward home of Wauwatosa Police Chief Barry Weber,,WI,US,2020-12-01,,,,,,,The People's Revolution,"Black Lives Matter, for police accountability, for removal of Wauwatosa Police Chief Barry Weber",1,protest,1,0,0,0,1,1,20201201-germantown-blm,verbal clashes with counter-protesters; one arrested for pushing counter-protester to ground,,https://www.cbs58.com/news/protesters-gather-outside-wauwatosa-police-chiefs-home-in-germantown,https://www.tmj4.com/news/local-news/police-attempt-to-disperse-protesters-in-germantown-tuesday-night,https://www.jsonline.com/story/communities/northwest/news/germantown/2020/12/02/protester-germantown-woman-arrested-after-fight-during-protest/3796258001/,https://www.youtube.com/watch?v=WV1GIb51w_0&t=1s,https://www.cbs58.com/news/protesters-gather-outside-wauwatosa-police-chiefs-home-in-germantown,,,,,,,,,,,,,,
Germantown,Council Bluffs Dr & Pilgrim Rd,,WI,US,2020-12-01,,,,,,,general protesters,"against Black Lives Matter protesters, All Lives Matter",2,counter-protest,1,0,0,0,0,1,20201201-germantown-blm,verbal clashes with protesters; one arrested for disorderly conduct,,https://www.tmj4.com/news/local-news/police-attempt-to-disperse-protesters-in-germantown-tuesday-night,https://www.jsonline.com/story/communities/northwest/news/germantown/2020/12/02/protester-germantown-woman-arrested-after-fight-during-protest/3796258001/,https://www.youtube.com/watch?v=WV1GIb51w_0&t=1s,,,,,,,,,,,,,,,,
Hackensack,Bergen County Jail,,NJ,US,2020-12-01,,,,,,,Ridgewood for Black Liberation,"for release of ICE detainees during coronavirus pandemic, for abolishing carceral systems, against racism",0,protest,0,0,0,0,1,1,,,,https://www.radio.com/wcbs880/news/local/demonstrators-support-ice-detainees-on-hunger-strike-in-nj,,,,,,,,,,,,,,,,,,
Hoboken,Malibu Diner,,NJ,US,2020-12-01,about 30,30,,30,,,Abolish ICE NY/NJ Coalition,"for release of ICE detainees during coronavirus pandemic, for abolishing ICE, against local ICE detention facility",1,protest,0,0,0,0,1,1,,,,https://www.nj.com/hudson/2020/12/protest-at-freeholders-fundraiser-shows-that-hudson-county-progressives-arent-going-away-anytime-soon.html,https://twitter.com/protest_nyc/status/1333917399888896005,https://www.njspotlight.com/2020/12/hudson-county-correctional-facility-jail-ice-contract-house-immigrant-detainees-protest-essex-bergen/,https://www.nj.com/hudson/2020/12/2-protesters-file-complaints-against-hudson-county-freeholder-after-alleged-shove-at-his-fundraiser.html,,,,,,,,,,,,,,,
Irmo,,,SC,US,2020-12-01,,,,,,,teachers,"for hybrid school schedule during coronavirus pandemic, against fully reopening schools",0,sickout,0,0,0,0,1,1,,,,https://www.postandcourier.com/columbia/news/lexington-richland-5-schools-reduce-in-person-class-days-after-walkout-protests/article_a5078f80-34b3-11eb-adb7-df682c9b551a.html,,,,,,,,,,,,,,,,,,
Itasca,Forest View Rehabilitation & Nursing Center,,IL,US,2020-12-01,count pic,25,,25,,,SEIU HCII,"for higher wages for certified nursing assistants at Infinity Healthcare, for hazard pay and more PPE during coronavirus pandemic",0,strike; picket,0,0,0,0,1,1,,,,https://twitter.com/SEIULocal1/status/1333819020668264462,,,,,,,,,,,,,,,,,,
