CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Montclair,Montclair State University,Essex,NJ,US,2019-09-10,,,,,,,Young Americans for Liberty,"for freedom of speech at Montclair State University, for Second Amendment rights",2,protest; demonstration ,0,0,0,0,1,1,https://www.nj.com/essex/2020/01/nj-university-violated-1st-amendment-by-shutting-down-gun-rights-demonstration-lawsuit-alleges.html,,,,
Cleveland ,City Hall ,Cuyahoga,OH,US,2020-01-01,,,,,,,Cleveland Association of Rescue Employees,for mental health benefits for emergency services workers,0,demonstration,0,0,0,0,1,1,https://www.wkyc.com/article/news/local/cleveland/cleveland-ems-workers-plan-to-protest-at-city-hall/95-cbd565b5-c979-40e5-b7d4-52b3769e9c7f,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2020-01-01,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,
Phoenix,7th Street and Bell Road,Maricopa,AZ,US,2020-01-01,,,,,,,Red Means Stop Traffic Safety Alliance,against decision to end city's red light camera program,0,protest,0,0,0,0,1,1,https://www.12news.com/article/news/local/valley/red-light-camera-protest/75-7d006d53-459f-4f94-8da9-c624f275fbfc,https://kjzz.org/content/1376296/community-members-protest-deactivation-phoenix-red-light-cameras,,,
Rochester,Lyell Avenue,Monroe,NY,US,2020-01-01,,,,,,,general protesters,against criminal violence,0,protest; march,0,0,0,0,1,1,https://www.democratandchronicle.com/story/news/2019/12/31/new-years-day-anti-violence-march-planned-lyell-avenue/2781956001/,,,,
West Palm Beach,Southern Boulevard ,Palm Beach,FL,US,2020-01-01,,,,,,,general protestors,for President Trump,2,rally,0,0,0,0,1,1,https://cbs12.com/news/local/president-trump-golfs-pro-vaping-demonstrators-protest-on-new-years-day,,,,
West Palm Beach,Southern Boulevard ,Palm Beach,FL,US,2020-01-01,,,,,,,general protestors,against proposed ban on vaping,0,protest,0,0,0,0,0,1,https://cbs12.com/news/local/president-trump-golfs-pro-vaping-demonstrators-protest-on-new-years-day,,,,
Aurora,Southeast Aurora Tollgate,Arapahoe,CO,US,2020-01-02,,,,,,,general protesters,Against ICE,1,protest,0,0,0,0,1,1,https://sentinelcolorado.com/news/metro/aurora-drops-picketing-ordinance-change-targeting-september-geo-warden-protest/,,,,
Cambridge,train tracks,Middlesex,MA,US,2020-01-02,dozens,24,,24,,,Climate Disobedience Center,"against coal, for action against climate change",1,protest,4,0,0,0,1,1,https://insideclimatenews.org/news/04012020/coal-train-blockade-climate-protest-new-england-power-plant-merrimack-350-massachusetts-new-hampshire,https://www.bostonglobe.com/2020/01/03/metro/four-arrested-after-climate-activists-block-railroad-tracks-with-scaffold-town-harvard/,,,
East Cleveland,,Cuyahoga,OH,US,2020-01-02,,,,,,,general protestors,"support of ODOT replacing traffic signals, for safer roads",0,rally,0,0,0,0,1,1,https://fox8.com/2020/01/02/community-members-hold-protest-candlelight-vigil-after-36-year-old-mother-struck-killed-while-crossing-east-cleveland-road/,,,,
