date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2022-01-01,Ann Arbor,MI,"President's House, University of Michigan, 815 South University",,,,,,survivors; students,in support of survivors of sexual assault by Robert Anderson and others at University of Michigan,0,demonstration,,encamped outside university president's house,,,,,,,,,,https://www.npr.org/2021/10/15/1046519748/former-michigan-player-opens-up-about-the-sexual-abuse-behind-his-sit-in-protest?ft=nprml&f=1046519748,https://www.clickondetroit.com/all-about-ann-arbor/2021/10/22/university-of-michigan-president-addresses-protest-outside-his-home-for-first-time/,https://www.michigandaily.com/news/24-hours-with-the-robert-anderson-survivor-protesters-outside-schlissels-house/,https://www.mlive.com/news/ann-arbor/2021/12/prominent-survivor-of-late-university-of-michigan-doctors-sex-abuse-has-thyroid-cancer.html,https://www.michigandaily.com/news/administration/jon-vaughn-reveals-cancer-diagnosis-says-it-will-not-impact-protest-or-regent-campaign/,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Augusta,ME,Maine State House,,,,,,,"for free and fair elections, against voting machines and mass mail-in ballots",2,rally,,,,,,,,,,every Saturday,,https://t.me/freedomgroupnewengland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Bethlehem,PA,"ABARTA Coca-Cola Beverages, 2150 Industrial Dr",,,,,Teamsters Local 773,,"for a fair contract for workers at Coca-Cola distribution center, for higher pay, against planned transition from pension to 401K plan for retirement benefits, against cuts to health care benefits",0,strike; picket,,,,,,,,,,,,https://www.wfmz.com/news/area/lehighvalley/workers-strike-at-coca-cola-distribution-center-in-bethlehem/article_395454b4-5756-11ec-ae19-b7e31cb13e5d.html,https://www.mcall.com/news/breaking/mc-nws-coca-cola-bottling-workers-strike-20211207-xaflsp3zgzflfe6swrykh5jwsy-story.html,https://www.wsws.org/en/articles/2021/12/11/accb-d11.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Boston,MA,Massachusetts State House,,,,,,,"for free and fair elections, against voting machines and mass mail-in ballots",2,rally,,,,,,,,,,every Saturday,,https://t.me/freedomgroupnewengland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Boynton Beach,FL,"Chevron, 217 N Federal Hwy; US-1",Bikes Up for SJ,"hundreds; about 1,000; over 1,000",200,1000,National Action Network,family members; friends; strangers,"for justice for Stanley Davis Jr., against police violence, Black Lives Matter, he was just a baby",1,protest; caravan,directed traffic on nearby streets,caravanned on dirt bikes and bikes and other vehicles,,,,,,,,,,https://twitter.com/fla_ylf/status/1477061590180675589,https://www.palmbeachpost.com/story/news/local/2022/01/01/boynton-beach-rally-honors-stanley-davis-jr-after-fatal-dirt-bike-crash/9063678002/,https://twitter.com/MiamiTBS/status/1477447098027102209,https://twitter.com/katikokal/status/1477357771838443522,https://www.nbcmiami.com/on-air/as-seen-on/protesters-in-boynton-beach-call-for-justice-for-13-year-old-dirt-bike-rider/2652607/,https://www.sun-sentinel.com/local/palm-beach/fl-sp-stanley-davis-jr-protest-boynton-beach-pg-20220101-b3rukdwigfhl5dpjiz5hoj2mmy-photogallery.html,https://www.palmbeachpost.com/story/news/local/boynton/2022/01/01/boynton-rally-teen-who-died-dirt-bike-traffic-stop-closes-us-1/9067060002/,https://cbs12.com/newsletter-daily/rally-held-to-remember-teen-killed-in-dirt-bike-crash-boyton-beach-traffic-stop-stanley-davis,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Brookwood,AL,Warror Met Coal Inc.,,,,,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://twitter.com/TheRealNews/status/1413205492806012929,https://twitter.com/GrimKim/status/1443950077450588167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Chula Vista,CA,"Republic Services, 881 Energy Way",,,,,Teamsters Local 542,,for higher pay for Republic Services sanitation workers,0,strike,,,,,,,,,,,,https://www.sandiegouniontribune.com/business/story/2021-12-17/250-trash-and-collection-workers-in-san-diego-go-on-strike?_amp=true,https://teamster.org/2021/12/republic-services-sanitation-workers-in-san-diego-authorize-strike-creating-potential-holiday-labor-dispute/,https://twitter.com/shaunmartinez/status/1473002910359252992,https://www.10news.com/news/local-news/sanitation-workers-continue-strike-into-new-year,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Concord,NH,New Hampshire State House,Freedom Rally,count pic,40,60,,,"for freedom, for patriotism, for decertifying the 2020 presidential election results, for free and fair elections, against coronavirus mask and vaccination mandates, against social media censorship, against school board injustice, fuck Biden",2,rally,,,,,,,,,,every Saturday,,https://t.me/freedomgroupnewengland/240,https://t.me/freedomgroupnewengland/272,https://www.instagram.com/p/CYMnw25Oe39/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Hartford,CT,Connecticut State Capitol,,,,,,,"for free and fair elections, against voting machines and mass mail-in ballots",2,rally,,,,,,,,,,every Saturday,,https://t.me/freedomgroupnewengland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Huntington,WV,Huntington Special Metals Corporation,,,,,United Steelworkers Local 40,metal workers,for higher pay and against increase in out-of-pocket cost of health insurance for employees of Huntington Special Metals Corporation,0,strike; picket,,,,,,,,,,,,https://www.wsws.org/en/articles/2021/10/07/wvir-o07.html,https://wchstv.com/news/local/no-progress-made-with-special-metals-negotiations-strike-now-set-to-last-through-holidays,https://www.wsaz.com/2021/12/24/strike-special-metals-continuing-through-holidays/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Jackson,MS,"Jackson Women's Health, 2903 N State St",,,,,,,against abortion,2,protest,,verbally accost and confront patients arriving at clinic,,,,,,,,"daily since forever, but only started recording in CCC on 2021-12-01",,https://www.insider.com/abortion-protests-mississippi-clinic-says-protestors-hold-guns-yell-2021-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Lawrenceville,NJ,"Shred-It, 649 Whitehead Rd",,,,,Teamsters Local 469,,"against unfair labor practices at Shred-It, for higher pay for drivers and helpers",0,strike; picket,,,,,,,,,,,,https://www.instagram.com/p/CXv74K0svtK/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Manchester,NH,"Hobby Lobby, 1525 S Willow St; New Hampshire State House, Concord, NH",Rolling Freedom Rally,,,,NH Patriot Hub,,"for freedom, for patriotism",2,caravan,,,,,,,,,,to State House to join rally there,,https://www.instagram.com/p/CYIN_XLNDBK/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Montpelier,VT,Vermont State Capitol,,,,,,,"for free and fair elections, against voting machines and mass mail-in ballots",2,rally,,,,,,,,,,every Saturday,,https://t.me/freedomgroupnewengland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,New York,NY,"Carl Schurz Park, Manhattan",,,,,Upper East Side for Black Lives Matter,,"against racism, against police violence",1,vigil; march,,,,,,,,,,every Saturday,,https://www.instagram.com/p/CUgDSgGF5Fr/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,New York,NY,"McCarren Park, Brooklyn",,,,,,,"against racism, against police violence",1,vigil,,,,,,,,,,,,https://www.instagram.com/p/CRzHs47D8fG/?utm_source=ig_web_copy_link,https://www.instagram.com/p/CRzHs47D8fG/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,New York,NY,"Times Square, Manhattan",,,,,ClimbitJustice,,"for Indigenous peoples' rights, Land Back",0,banner drop,,,,,,,,,,,,https://twitter.com/ClimbitJ/status/1477272090248204291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,New York,NY,"United Metro Energy Corp., 500 Kingsland Ave, Brooklyn",,,,,Teamsters Local 553,,for higher pay and better health benefits for United Metro Energy workers,0,strike; picket,,,,,,,,,,,,https://inthesetimes.com/article/united-metro-energy-labor-politics-unions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Newark,NJ,12 Springfield Ave,Justice for Carl Dorsey Rally and March,,,,People's Organization for Progress,,"for justice for Carl Dorsey, against police brutality, for police accountability, against racism",1,march; rally,,,,,,,,,,,,https://www.blackstarnews.com/us-politics/justice/newark-protest-march-against-police-killing-to-be-held-saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Plymouth,NH,"McDonald's, 11 Ridge View Ln",Flag Wave,,,,,,"for patriotism, for Donald Trump",2,demonstration,,,,,,,,,,every Saturday,,https://nhpatriothub.org/events-calendar/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,Providence,RI,Rhode Island State Capitol,,,,,,,"for free and fair elections, against voting machines and mass mail-in ballots",2,rally,,,,,,,,,,every Saturday,,https://t.me/freedomgroupnewengland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
