CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Atlanta,Atlanta City Detention Center,GA,US,2018-07-01,dozens,24,,24,,,Families Belong Together,against jailing and separating immigrant children from their families,1,protest,1,0,0,0,1,1,https://act.moveon.org/event/families-belong-together/19832/signup/?&source=&s=,https://www.ajc.com/news/breaking-news/thousands-atlanta-rally-against-immigration-policy/55do7EkTYXZIYC3z1WvZ4I/,https://www.ajc.com/news/breaking-news/arrested-during-immigration-policy-protest-outside-atlanta-city-jail/l6lbFj9CaWrxtFgrFSEyhL/,Continuation of FBT protest one day earlier. Included today because of one arrest.,
Birmingham,Jesus Real Ministry,AL,US,2018-07-01,na,12,,12,,,general protestors,Calling for an end to violence,0,rally,0,0,0,0,1,1,https://www.cbs42.com/news/local/group-rallies-for-god-not-guns-in-birmingham/1277877001,,,,
Charlotte,U.S. Department of Homeland Security,NC,US,2018-07-01,,,,,,,general protesters,"for abolishing ICE, against border wall, for anarchism",1,occupation,0,0,0,0,0,1,https://clclt.com/charlotte/occupy-ice-protests/Slideshow/10421434,https://itsgoingdown.org/charlotee-anti-ice-anarchist-report-end-encampment/,,nine-day encampment in front of building,
Minneapolis,outside Fourth Precinct,MN,US,2018-07-01,na,60,,60,,,general protestors,Protesting the police killing of Thurman Blevins,0,protest,0,0,0,0,1,1,http://www.startribune.com/60-protesters-seek-justice-for-thurman-blevins/487070301/,,,,
New Orleans,from Veteran Affairs Hospital to the Libertarian National Convention,LA,US,2018-07-01,na,30,,30,,,veterans; general protestors,Calling attention to veteran suicides; calling for an end to the war on drugs,0,march,0,0,0,0,1,1,https://www.youtube.com/watch?v=NRVXbTxNwss,,,count estimated from video,
Pittsburgh,Penn Ave and Highland Ave,PA,US,2018-07-01,FB: 406,406,,406,,,general protestors,"for justice for Antwon Rose Jr., against police violence, against racism",1,rally,0,0,0,0,1,1,https://www.facebook.com/events/229225554546118/,https://twitter.com/PGHCityPaper/status/1013473000627240962,,,
Portland,through downtown Portland to Portland State University,OR,US,2018-07-01,more than 100,100,,100,,,general protestors,Protesting officers who shot and killed Jason Washington near campus,0,protest; march,0,0,0,0,1,1,http://www.kptv.com/story/38552478/psu-students-hold-rally-march-in-response-to-deadly-shooting-near-campus,https://www.cbsnews.com/news/portland-state-university-protests-after-police-shoot-kill-jason-washington/,https://www.theroot.com/portland-state-university-campus-police-shoot-and-kill-1827317986,,
San Francisco,Immigration and Customs Enforcement,CA,US,2018-07-01,about 20; nearly 40,20,,40,,,general protestors,protesting ICE,1,protest,0,0,0,0,1,1,https://sanfrancisco.cbslocal.com/2018/07/09/occupy-ice-protest-encampment-cleared/,,,Ran from 07-01-2018 to 07-09-2018; arrests took place on 07-09-2018,
Sheboygan,Paradigm Coffee and Music shop,WI,US,2018-07-01,about 50,50,,50,,,general protestors,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.jsonline.com/story/news/2018/06/30/immigrants-rights-marchers-rally-shorewood-milwaukee-next/747964002/,https://www.sheboyganpress.com/story/news/2018/07/01/sheboygan-holds-keep-families-together-rally/734530002/,,,
Snow Hill,John Walter Smith Memorial Park,MD,US,2018-07-01,two dozen,24,,24,,,Lower Shore Progressive Caucus,against jailing and separating immigrant children from their families,1,protest,0,0,0,0,1,1,https://www.delmarvanow.com/story/news/local/maryland/2018/07/01/immigration-customs-enforcement-tensions-high-ice-protest-worcester-jail/749430002/,,,,
