City,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Brownsville,Hope Park,Cameron,TX,US,2019-07-01,count pic,37,,37,,,general protestors,against government crackdown and detention policy at border; anti-ICE,1,vigil,0,0,0,0,1,1,https://twitter.com/caroltx26/status/1145695435522301952,https://www.npr.org/2019/07/01/737535965/border-community-remembers-a-father-and-daughter-who-drowned-crossing-the-rio-gr?t=1587127655854,,,,
Baltimore ,Wyman Park ,NA,MD,US,2019-07-01,about 150 ,150,,150,,,general protestors ,against legislation allowing Johns Hopkins University to create an armed private police force,0,rally ,0,0,0,0,1,1,https://baltimorebrew.com/2019/07/02/johns-hopkins-police-force-plan-protested-as-bill-takes-effect/,,,,,
Baltimore ,City Hall ,NA,MD,US,2019-07-01,,,,,,,"customers, advocacy groups ",water rates going up by 10% as the Board of Public Works approved the request for it,0,protest,0,0,0,0,0,1,https://www.wbaltv.com/article/protest-water-rate-hike-in-baltimore/28250248,,,,,
El Paso,outside detention facility,El Paso,TX,US,2019-07-01,,,,,,,general protestors,pro-detention camps; pro-Trump,2,protest,,,,,1,1,https://twitter.com/KatzOnEarth/status/1145773879849365512,,,,,
Indianapolis ,Statehouse ,Marion,IN ,US,2019-07-01,more than 50,50,,50,,,Hoosier Action,"protest changes to Indiana’s Medicaid requirements that they say will create more obstacles to health care, cost people their health insurance and profit private companies",0,protest,0,0,0,0,1,1,https://www.washtimesherald.com/news/hoosiers-protest-work-requirement-for-health-insurance/article_d96bd50a-21e9-579f-9d2d-d09c8a2846d2.html,,,,,
Jacksonville,Times Union Center of the Performing Arts,Duval,FL ,US,2019-07-01,dozens,24,,24,,,"Northside Coalition, Jacksonville Community Action","equal opportunities in Jacksonville, starting with the city’s budget",0,protest,0,0,0,0,1,1,https://www.actionnewsjax.com/news/local/anti-violence-protesters-gather-during-mayor-sheriff-inauguration/963020289,,,,,
New York,Brownsville; Brooklyn,Kings,NY,US,2019-07-01,count pic,29,,29,,,general protestors,protest cyclist death; improve safety for cyclists,0,vigil,,,,,1,1,https://twitter.com/BPEricAdams/status/1145822476246630404,https://twitter.com/BPEricAdams/status/1145822476246630404,,,,
Philadelphia,Hahnemann University Hospital ,Philadelphia,PA,US,2019-07-01,several hundred,200,,200,,,Nurses,to save the Hahnemann University Hospital ,0,rally,0,0,0,0,1,1,https://6abc.com/health/hundreds-rally-to-save-hahnemann-univ-hospital/5375145/,,,,,
Seattle ,Westlake Park ,King ,WA,US,2019-07-01,,,,,,,Motorcyclists ,"create awareness for the missing and murdered indigenous women,",0,rally ,0,0,0,0,1,1,https://www.king5.com/article/news/local/motorcyclist-ride-to-raise-awareness-about-missing-and-murdered-indigenous-women/281-124d8dc5-0c78-402b-9953-d209ae33dcdf,,,,,
South Bend ,County-City Building,St. Joseph,IN ,US,2019-07-01,about 40,40,,40,,,general protestors ,"against abuse, killing and racism in ID ",0,church service ,0,0,0,0,1,1,https://www.wndu.com/content/news/South-Bend-dubbed-a-sick-city--512068511.html,,,,,
