CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,Source1,Source2,Source3,Source4,Source5,Source6,
Ashland,Memorial Park; streets of Ashland; Highway 13 to Enbridge Bunker,,WI,US,2020-07-01,,,,,,,water protectors,"against recloation of Enbridge Line 5 Pipeline; in support of water, clean air, clean resources, clean food, self-sustainability, and move toward green energy, for indigenous peoples' rights",1,protest,0,0,0,0,1,1,,,https://kbjr6.com/2020/07/01/protesters-march-in-ashland-opposing-line-5-relocation/,,,,,,
Boulevard,,,CA,US,2020-07-01,about 100,100,,100,,,members of the Kumeyaay Tribe,"against construction of border wall, against desecration of burial ground, for indigenous peoples' rights",1,march,,,,,1,1,,,https://www.cbs8.com/article/news/local/kumeyaay-nation-protest-halts-east-county-border-wall-construction-again/509-20988e9a-0ab7-49b2-915a-ef0100eed8fc,,,,,,
Brentwood,Bank of America Financial Center ,,CA,US,2020-07-01,,,,,,,fired employees of Terranea Resort,against firing of staff and salary cuts at Terreana Resort during coronavirus pandemic,0,caravan; protest,0,0,0,0,1,1,,,https://www.dailybreeze.com/2020/07/01/fired-terranea-resort-workers-stage-protest-car-caravan/,,,,,,
Eugene,Lane County Jail,,OR,US,2020-07-01,about 150,150,,150,,,general protesters,show solidarity with inmates; seek release of inmates due to Covid,0,protest,1,0,1,1,1,1,,,https://www.registerguard.com/story/news/2020/07/02/one-arrested-in-protest-turned-riot-for-solidarity-with-lane-county-jail-detainees/42054183/,,,,,,
Holyoke,Providence Behavioral Health Hospital,,MA,US,2020-07-01,,,,,,,Nurses Association,against closure of inpatient beds in psychiatric hospital,0,memorial; protest,0,0,0,0,1,1,,,https://www.wwlp.com/news/local-news/hampden-county/mna-protest-closure-of-inpatient-beds-at-providence-behavioral-health-hospital-in-holyoke/,,,,,,
Los Angeles,Consulate General of Israel,Los Angeles,CA,US,2020-07-01,about 150,150,,150,,,general protesters,against Israeli annexation of the West Bank,0,protest,0,0,0,0,1,1,20200701-la-israel,,https://forward.com/fast-forward/450019/tensions-flare-at-la-anti-annexation-rally/,,,,,,
Los Angeles,Consulate General of Israel,Los Angeles,CA,US,2020-07-01,at least 50,50,,50,,,general protesters,in support of Israel,0,counter-protest,0,0,0,0,0,1,20200701-la-israel,,https://forward.com/fast-forward/450019/tensions-flare-at-la-anti-annexation-rally/,,,,,,
Marysville,Health and Human Services Department,,CA,US,2020-07-01,count pic,7,,7,,,Yuba County Employees Association,in support of essential workers during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,https://www.appeal-democrat.com/news/employee-association-rallies-for-essential-workers/article_9bf5bab4-bc15-11ea-98f6-bbd5dff945e9.html,,,,,,
Montclair,Town Hall,Essex,NJ,US,2020-07-01,,,,,,,Montclair League of Women Voters; NAACP,"for voting rights, for democracy",1,protest,0,0,0,0,1,1,,,https://www.montclairlocal.news/2020/07/01/league-naacp-demonstration-illustrates-the-importance-of-having-your-vote-counted/,https://www.northjersey.com/picture-gallery/news/essex/montclair/2020/07/01/montclair-swears-new-mayor-activists-rally-uncounted-votes/5357318002/,,,,,
New Brunswick ,Lincoln Annex School,,NJ,US,2020-07-01,count pic,40,,40,,,general protesters,against planned sale of school,0,rally; march,0,0,0,0,1,1,,,https://www.mycentraljersey.com/picture-gallery/news/local/2020/07/03/new-brunswick-nj-activists-rally-save-lincoln-annex-school/5372252002/,,,,,,
New York,Brooklyn; outside Sen. Schumer home,Kings,NY,US,2020-07-01,,,,,,,IfNotNow,against Israeli occupation and annexation of Palestine,0,protest,,,,,1,1,,,https://www.ifnotnowmovement.org/press-release-wake-up-chuck-and-nancy,,,,,,
New York,Brooklyn; Bay Ridge to Barclays Center,Kings,NY,US,2020-07-01,300; several thousand,300,,3000,,,general protesters,against Israeli occupation and annexation of Palestine,0,protest,0,0,0,0,0,1,20200701-nyc-israel,,https://twitter.com/protest_nyc/status/1278422096595554304,https://www.flickr.com/photos/joegaza/50067497176/in/album-72157714939064997/,,,,,
New York,Brooklyn; Bay Ridge,Kings,NY,US,2020-07-01,,,,,,,general protesters,"in support of Israel, for President Trump",2,counter-protest,0,0,0,0,0,1,20200701-nyc-israel,,https://twitter.com/protest_nyc/status/1278422096595554304,,,,,,
Osprey,Hoosier Bar,,FL,US,2020-07-01,about 25 carloads of barkeeps,50,,100,,,bar owners,protesting new shutdown of bars due to coronavirus pandemic,0,protest,0,0,0,0,1,1,,,https://www.yoursun.com/venice/that-s-what-s-closing-us-a-tweet-bar-owners-protest-new-shutdown/article_0d8ce348-bc9b-11ea-8441-775f1b4aef38.html,,,,,,
Paterson,City Hall,,NJ,US,2020-07-01,several dozen,36,,36,,,general protesters,against inaugaration of elected officials; against voter fraud,0,protest,0,0,0,0,1,1,,,https://www.northjersey.com/story/news/paterson-press/2020/07/01/paterson-nj-council-inauguration-met-protest-over-election-fraud/5358424002/,,,,,,
