CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Anchorage,,AK,US,2017-06-01,dozens,24,24,24,26,22,general protesters,Protesting unsafe working conditions at hotel ,0,protest,0,0,0,0,1,1,http://www.ktva.com/employees-protest-unsafe-working-conditions-anchorage-hilton-311/,,,,
Augusta,State House,ME,US,2017-06-01,Around 50,50,50,50,55,45,YES on 5,opposing efforts to repeal ranked-choice voting in Maine,0,rally,,,,,1,1,http://mainepublic.org/post/amid-threat-ranked-choice-voting-supporters-rally-maine-state-house#stream/0,,,,
Bentonville ,Bentonville Welfare Office,AR,US,2017-06-01,,4,4,4,4,4,Making Change at Walmart,against Walmart wages and employee policies,0,protest,0,0,0,0,1,1,http://www.ozarksfirst.com/news/employees-of-walmart-protest-company-policies/729718723,,,Count from picture,
Idaho Falls,Melaleuca Events Center,ID,US,2017-06-01,dozens,24,24,24,26,22,general protesters,Labrador gubernatorial rally,0,rally,0,0,0,0,1,1,https://www.eastidahonews.com/2017/06/labrador-holds-gubernatorial-campaign-rally-idaho-falls/,http://www.kpvi.com/news/local_news/fourth-candidate-announces-their-running-for-governor/article_70334d22-4721-11e7-b612-db4bcaf7388d.html,,,
Jacksonville ,Hemming Park,FL,US,2017-06-01,,,,,,,general protesters,"anti war, anti US airstrikes on Syria",1,rally,5,0,0,0,1,1,http://www.firstcoastnews.com/news/local/hemming-five-protesters-enter-plea-deal/445293355,http://www.firstcoastnews.com/news/crime/three-arrested-in-hemming-park-protest-enter-pleas/445107991,,,
Juneau,outside the Moose Lodge,AK,US,2017-06-01,,3,3,3,3,3,general protesters,"against US withdrawal from Paris Agreement, climate change",1,protest,0,0,0,0,1,1,http://juneauempire.com/news/2017-06-01/juneau-protesters-speak-out-paris-agreement,,,,
Miami,Museum Park,FL,US,2017-06-01,two dozen people,24,24,24,26,22,local environmentalists (mostly members of Sierra Club),"Protest Trump withdrawal from Paris accords, climate change",1,rally,0,0,0,0,1,1,http://www.miamiherald.com/news/local/community/miami-dade/article153951614.html,,,,
Minneapolis,federal courthouse in downtown Minneapolis (4th Street and 4th Avenue).,MN,US,2017-06-01,About 100,100,100,100,110,90,Resist from Day One Coalition,anti-Trump,1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2017/5/30/twin-cites-protest-demand-trump-out-now,https://www.facebook.com/events/128986614334655/,http://www.fightbacknews.org/2017/6/2/minneapolis-protest-demands-trump-out-now,,
New York,Brooklyn; Bed-Stuy; 631 Hancock St.,NY,US,2017-06-01,,,,,,,general protesters,"against predatory investors in Bushwick and Bed-Stuy, real estate, construction, economic development",0,protest,0,,,,1,1,https://patch.com/new-york/bed-stuy/protest-outside-historic-bed-stuy-brownstone-painted-black-neighbor,,,,
New York,City Hall Steps,NY,US,2017-06-01,Around 75,75,75,75,83,68,Waterfront Alliance,"for shared, resilient and accessible NY-NJ Harbor, economy",0,rally,0,,,,1,1,http://waterfrontalliance.org/2017/05/26/june-1-rally-for-our-waterfronts/,https://www.brooklyneagle.com/articles/2017/6/1/your-hood-safe-new-harbor-scorecard-measures-risk-waterfront-dangers,Onsite eyewitness for estimate of attendees,,
New York,Foley Square,NY,US,2017-06-01,More than 400,400,400,400,440,360,NYRenews,"against Trump's withdrawal from Paris Accord, climate change",1,rally,0,,,,1,1,http://www.nbcnewyork.com/news/local/NYC-President-Trump-Protest-WTC-Green-Climate-Change-Global-Paris-Agreement-425826564.html,,,,
New York,Trump Tower,NY,US,2017-06-01,100 Muslims and 100 non-Muslim allies,200,200,200,220,180,New York State Immigrant Action Fund and MPower Change ,Against Trump's Islamophobic rhetoric; for solidarity with Muslim community ,1,Protest,0,0,0,0,1,1,http://www.timesofisrael.com/muslims-in-ramadan-protest-outside-new-yorks-trump-tower/,http://www.huffingtonpost.com/entry/trump-tower-iftar_us_5931c835e4b02478cb9b8402,,,
Portland,Congress Square Park,ME,US,2017-06-01,,,,,,,"Mainers for Accountable Leadership, the Maine AFL-CIO and the Maine People's Alliance",Against GOP's AHCA and Medicaid cuts,1,rally,,,,,1,1,http://mainepublic.org/post/protesters-urge-maines-us-senators-reject-gop-health-bill-medicaid-cuts#stream/0,,,,
San Diego,Downtown Federal Building on Front Street and then marched down Front and along Broadway,CA,US,2017-06-01,hundreds ,200,200,200,220,180,San Diego 350,"Against pullout from Paris Accord, climate change",1,protest,,,,,1,1,http://www.cbs8.com/story/35570742/mayor-protesters-denounce-trumps-paris-climate-accord-exit,,,,
Syracuse,outside James M. Hanley Federal Building,NY,US,2017-06-01,dozens,24,24,24,26,22,general protesters,"protesting decision to leave Paris agreement, climate change",1,protest,0,0,0,0,1,1,http://cnycentral.com/news/local/some-cnyers-rally-in-protest-of-decision-to-leave-paris-climate-accord,,,,
Syracuse,,NY,US,2017-06-01,dozens,24,24,24,26,22,general protesters,"Oppose Trump's withdrawal from Paris Accord, climate change",1,rally,,,,,1,1,http://cnycentral.com/news/local/some-cnyers-rally-in-protest-of-decision-to-leave-paris-climate-accord,,,,
Troy,,NY,US,2017-06-01,about two-dozen,24,24,24,26,22,"Troy Area Labor Council AFL-CIO and including ICE-FREE Capital District, the Albany chapter of the Democratic Socialists of America and Citizen Action of New York ",Support Troy being a sanctuary city,1,protest,0,0,0,0,1,1,http://www.troyrecord.com/article/TR/20170602/NEWS/170609958,,,,
Troy,,NY,US,2017-06-01,about a half-dozen,6,6,6,7,5,general protesters,Oppose Troy being a sanctuary city,2,counter-protest,,,,,1,1,http://www.troyrecord.com/article/TR/20170602/NEWS/170609958,,,,
Washington,Outside White House,DC,US,2017-06-01,one hundred to two hundred,100,145,200,110,180,general protesters,protesting Trump's immigration policy,1,protest,20,0,0,0,1,1,http://wtop.com/local/2017/06/20_arrested_immigration_protest_white_house/slide/1/,,,,
Washington,White House,DC,US,2017-06-01,hundreds,200,200,200,220,180,350 DC,support Paris climate treaty; oppose US withdrawal,1,protest,,,,,1,1,http://thehill.com/policy/energy-environment/335871-pro-paris-agreement-protest-planned-outside-the-white-house,https://www.facebook.com/events/321801258240585/?,,,
Buffalo,Carl Paladino's office in the Ellicott Square Building ,NY,US,2017-06-02,dozens,24,24,24,26,22,"Showing Up for Racial Justice (SURJ) Buffalo, Open Buffalo, and Push Buffalo",drawing attention to the impact of gentrification; economy; housing ,0,,,,,,1,1,http://wivb.com/2017/06/02/protesters-picket-carl-paladinos-downtown-office/,,,,
Carson ,,CA,US,2017-06-02,several dozen,24,24,24,26,22,Carson and Wilmington residents,protesting Tesoro's refinery merger,1,protest,0,0,0,0,1,1,http://www.dailybreeze.com/business/20170602/tesoro-expansion-protest-interrupts-meeting-of-regional-air-pollution-regulators,,,,
Chicago,The Loop; Trump Tower Chicago,IL,US,2017-06-02,several hundred,,,,,,Food and Water Watch,protest Trump pullout from Paris accords; call on Bruce Rauner to comply with Paris accords commitments; climate change ,1,protest,0,0,0,0,1,1,http://chicago.cbslocal.com/2017/06/02/protesters-blast-trump-pullout-of-paris-accord/,,,,
Conway,,SC,US,2017-06-02,,10,10,10,11,9,Moms Demand Action for Gun Sense in America,Against gun violence; for stricter local ordinances on firing guns,0,rally,0,0,0,0,1,1,http://www.wfxg.com/story/35577003/volunteers-demonstrate-at-gun-violence-awareness-day-event-in-conway,http://wbtw.com/2017/06/02/people-wear-orange-to-rally-against-gun-violence/,,Count from picture,
Durham,Durham Police HQ,NC,US,2017-06-02,dozens,24,24,24,26,22,Moms Demand Action for Gun Sense in America,Against gun violence,0,rally,0,0,0,0,1,1,http://wncn.com/2017/06/02/dozens-wear-orange-in-durham-for-national-gun-violence-awareness-day/,,,,
