CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Source4,Misc.,
Florence,Downtown/Wilson Park,Lauderdale  ,AL,US,2019-06-01,,,,,,,Emily Grissom,Civil Rights; For women's rights; For abortion rights,1,march,,,,,1,1,https://www.timesdaily.com/news/local/women-s-march-saturday-in-downtown-florence/article_1b2dae76-6495-5865-97e7-e13c535d437b.html,,,,,
Fall River,Fall River Public Library,,MA,US,2019-06-01,,,,,,,Massachusetts Family Institute,"against Drag Queen Storytime at Fall River Public Library, for Christian values",2,protest,0,0,0,0,1,1,https://whdh.com/news/drag-queen-storytime-in-fall-river-goes-on-despite-controversy/,https://www.youtube.com/watch?v=QUcYCtzQls0,https://www.heraldnews.com/story/news/2019/05/29/christian-group-trying-to-stop/5035147007/,,feat. Miss Naomi Chomsky,
Fall River,Fall River Public Library,,MA,US,2019-06-01,,,,,,,general protesters,"in support of Drag Queen Storytime at Fall River Public Library, against hate",1,counter-protest,0,0,0,0,0,1,https://whdh.com/news/drag-queen-storytime-in-fall-river-goes-on-despite-controversy/,https://www.youtube.com/watch?v=QUcYCtzQls0,https://www.heraldnews.com/story/news/2019/05/29/christian-group-trying-to-stop/5035147007/,,,
Goshen,Courthouse,Elkhart,IN,US,2019-06-01,,,,,,,General Protesters,Civil Rights; For abortion rights,1,rally,0,0,0,0,1,1,https://www.goshennews.com/news/local_news/abortion-rights-supporters-rally-at-elkhart- -courthouse/article_24e20521-3fff-57c6-852a-eafd04d0a703.html,,,,,
Las Vegas,Downtown/city hall,Clark  ,NV,US,2019-06-01,,,,,,,General protesters,Civil Rights; For abortion rights,1,march,0,0,0,0,1,1,http://news3lv.com/news/local/marchers-adorned-in-red-march-against-restrictive-reproductive-rights,,,,,
Liberty,North Main St,Sullivan,NY,US,2019-06-01,,,,,,,Rural and Migrant Ministry and Justice for Farmworkers Campaign,For worker rights; Other,0,rally,0,0,0,0,1,1,https://midhudsonnews.com/2019/06/02/backers-of-farmworkers-rights-bill-rally-in-liberty/,,,,,
Medford,Pear Blossom Park and Hawthorne Park,Jackson ,OR,US,2019-06-01,dozens,24,,24,,,General protesters,Environment; Against hazardous conditions; Air,1,rally; march,0,0,0,0,1,1,https://www.kdrv.com/content/news/Group-rallies-and-marches-against-smoky-summers-510720141.html,,,,,
Media,Second Baptist Church of Media to Delaware County Courthouse,,PA,US,2019-06-01,125-150,125,,150,,,Delco United,"against gun violence, for sensible gun laws",1,rally; march,0,0,0,0,1,1,https://www.facebook.com/delcounited/videos/306667140239586/,web form,,,,
Minneapolis,Children's Theater Company,Hennepin  ,MN,US,2019-06-01,N/A,30,,30,,,Plaintiff's in case/general protesters,Other; Against child abuse,0,protest,0,0,0,0,1,1,http://www.startribune.com/children-s-theatre-protesters-describe-a-long-trail-of-damage/510715902/,,,,,
Montgomery,Downtown/Wilson Park,Montgomery  ,AL,US,2019-06-01,,,,,,,Emily Grissom,Civil Rights; For abortion rights,1,march,,,,,1,1,https://www.timesdaily.com/news/local/women-s-march-saturday-in-downtown-florence/article_1b2dae76-6495-5865-97e7-e13c535d437b.html,,,,,
New York,Harlem; Manhattan,New York  ,NY,US,2019-06-01,,,,,,,National Action Network,Other; Against violence,0,march,0,0,0,0,1,1,https://pix11.com/2019/06/01/harlem-march-highlights-gun-violence-against-minorities/,,,,,
New York,"College Point, Queens",Queens ,NY,US,2019-06-01,hundreds,200,,200,,,General Protestors,Against homeless housing plan; Against Mayor De Blasio,2,protest,0,0,0,0,1,1,https://qns.com/story/2019/06/04/its-time-for-him-to-go-at-latest-rally-college-point-residents-call-for-mayor-to-quit-over-shelter-plan/,,,,,
Norristown,Norristown Police Dept,Montgomery  ,PA,US,2019-06-01,,,,,,,General protesters ,For greater accountability; Police; Civil Rights,1,protest,0,0,0,0,1,1,https://philadelphia.cbslocal.com/2019/06/01/saint-francis-assisi-carnival-brawl-teenager-charged/,,,,,
Richland,Howard Amon Park,Benton,WA,US,2019-06-01,,,,,,,Patriot Prayers,Civil Rights; For white supremacy,2,rally,0,0,0,0,1,1,http://keprtv.com/news/local/common-ground-protesters-rally-goers-have-a-nice-chat,,,,,
Richland,Howard Amon Park,Benton,WA,US,2019-06-01,,,,,,,General Protesters,Civil Rights; Against white supremacy; For racial justice; Counter protest,1,counter protest,0,0,0,0,0,1,http://keprtv.com/news/local/common-ground-protesters-rally-goers-have-a-nice-chat,,,,,
Saginaw,Genease,St Louis  ,MI,US,2019-06-01,,,,,,,General protesters,Other; Against violence,1,march,0,0,0,0,1,1,http://nbc25news.com/news/local/community-holds-march-to-stop-the-violence,,,,,
Southington,Southington Historical Society,Hartford,CT,US,2019-06-01,about a dozen ,12,,12,,,General Protesters,For local services; Healthcare,0,rally,0,0,0,0,1,1,http://www.myrecordjournal.com/News/Southington/Southington-News/Bradley-Hospital-supporters-hold-rally.html,,,,,
Valdosta,Courthouse,Lowndes  ,GA,US,2019-06-01,dozens,24,,24,,,General protesters,Civil Rights; For abortion rights,1,march,,,,,1,1,https://www.valdostadailytimes.com/news/local_news/prowomen-rally-speaks-out-against-heartbeat-law/image_4c012bb7-89da-5528-9f45-cd6c7a2a4588.htmlhttps://www.valdostadailytimes.com/news/local_news/prowomen-rally-coming-to-valdosta/article_cac3a210-dd2f-5acf-b078-380dc48deeb6.html,,,,,
