CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Austin,W Hotel,Travis,TX,US,2020-03-01,,,,,,,Take Back Austin,"against mayor's response to homelessness, for recalling Mayor Adler",0,protest,0,0,0,0,1,1,https://www.kvue.com/article/news/local/austin-mayor-homeless-protest-land-development-code-city-council/269-24e7cb79-2987-4467-8b68-512c12537708,,,,
Bossier City,Bossier Church of Christ,Bossier,LA,US,2020-03-01,more than two dozen,24,,24,,,LGBTQ activists,opposed to LGBTQ discrimination,1,protest,0,0,0,0,1,1,https://www.arklatexhomepage.com/news/local-news/anto-gay-sign-in-pastors-yard-sparks-protest-outside-bossier-city-church/,,,,
Minneapolis,St. Louis Park High School,Hennepin,MN,US,2020-03-01,,,,,,,Klobuchar campaign,for Amy Klobuchar for president,1,rally,0,0,0,0,1,1,https://apnews.com/356d8c827e339c0471ed063c1d6a69a6,,,,
Minneapolis,St. Louis Park High School,Hennepin,MN,US,2020-03-01,dozens,24,,24,,,general protestors,"against Amy Klobuchar for president, Black Lives Matter",1,counter-protest,0,0,0,0,1,1,https://apnews.com/356d8c827e339c0471ed063c1d6a69a6,,,,
New York,Clinton Park Stables,New York,NY,US,2020-03-01,,,,,,,NYCLASS; animal rights advocates,"against carriage horses, against animal cruelty",0,protest,0,0,0,0,1,1,https://www.pix11.com/news/local-news/manhattan/central-park-carriage-horse-collapse-euthanization-sparks-protest,,,,
Philadelphia,outside Constitution Health Plaza,Philadelphia,PA,US,2020-03-01,hundreds,200,,200,,,Stand Up South Philly; Take Our Streets Back,against plan to open supervised drug injection site in Philadelphia,0,protest,0,0,0,0,1,1,https://philadelphia.cbslocal.com/2020/03/01/safe-injection-site-safehouse-stand-up-south-philly-rally/,,,,
Seattle,Cal Anderson Park,King,WA,US,2020-03-01,,,,,,,Tax Amazon,for higher taxes on Amazon and other big businesses,1,protest,0,0,0,0,1,1,https://www.capitolhillseattle.com/event/tax-amazon-march-on-march-1/,,,,
Selma,Edmund Pettus Bridge,Dallas,AL,US,2020-03-01,thousands,2000,,2000,,,general protesters,"in commemoration of Bloody Sunday, for civil rights and racial justice",1,march; rally,0,0,0,0,1,1,https://www.selmatimesjournal.com/2020/03/03/presidential-hopefuls-attend-services-march-during-annual-jubilee/,,,,
Auburndale,Office of Rep. Josie Tomkow,Polk,FL,US,2020-03-02,about 25,25,,25,,,AFL-CIO; Polk Education Association; other labor unions,anti-HB1 bill on public-sector union membership,0,protest,0,0,0,0,1,1,https://www.theledger.com/news/20200303/fight-over-hb-1-polk-union-demonstrators-call-bill-unnecessary,,,,
Belmont,Notre Dame de Namur University,San Mateo,CA,US,2020-03-02,about 100,100,,100,,,students and professors,against closure of Notre Dame de Namur University,0,protest,0,0,0,0,1,1,https://www.sfchronicle.com/bayarea/article/Students-at-Notre-Dame-de-Namur-protest-to-save-15099919.php,,,,
Bettendorf,Bettendorf Middle School to Bettendorf High School,Scott,IA,US,2020-03-02,about 30,30,,30,,,school district parents,against school district administration's handling of bullying and violence,0,protest,0,0,0,0,1,1,https://qctimes.com/news/local/rick-s-six-coronavirus-in-illinois-parents-protest-at-school/article_0768b698-5c8f-11ea-bf91-27484e70053e.html,,,,
Charlotte,Bojangles Coliseum,,NC,US,2020-03-02,thousands,2000,,2000,,,Trump campaign,for President Trump,2,rally,0,0,0,0,1,1,https://www.cbsnews.com/news/trump-holds-maga-rally-charlotte-north-carolina-watch-live-stream-today-03-02-2020/,https://abc11.com/trump-rally-charlotte-north-carolina-time-bojangles-coliseum-capacity/5979732/,https://www.wsoctv.com/news/local/president-trump-speak-bojangles-coliseum-day-before-super-tuesday/5B4ZZJFCZRHU3LPF4OKUZOJVGY/,feat. President Trump,https://www.wect.com/2020/03/03/president-trump-holds-keep-america-great-rally-charlotte-nc/
Charlottesville,City Hall,Charlottesville,VA,US,2020-03-02,about two dozen,24,,24,,,firefighters; police,for more funds and hiring for police and firefighters,0,protest,0,0,0,0,1,1,https://www.dailyprogress.com/news/local/charlottesville-firefighters-police-community-members-rally-for-more-funds/article_1fafe8d1-8500-5899-a4ea-3f1a55161db4.html,,,,
Cleveland,Cuyahoga County Juvenile Justice Center,Cuyahoga,OH,US,2020-03-02,,,,,,,Justice Center workers,seek better juvenile detention conditions,0,protest,0,0,0,0,1,1,https://www.wkyc.com/article/news/local/cleveland/protest-cuyahoga-county-juvenile-justice-center/95-eb79fa69-1c6f-4fc2-b75d-0c17151e5611,,,,
Des Moines,State Capitol rotunda,Des Moines,IA,US,2020-03-02,approximately 150,150,,150,,,Republican legislators,against abortion rights,2,rally,0,0,0,0,1,1,https://www.desmoinesregister.com/story/news/politics/2020/03/02/iowa-legislature-anti-abortion-amendment-applauded-activists-iowa-capitol-rally/4905664002/,,,,
Des Moines,State Capitol rotunda,Des Moines,IA,US,2020-03-02,count pic,4,,4,,,general protestors,for abortion rights,1,protest,0,0,0,0,0,1,https://www.desmoinesregister.com/story/news/politics/2020/03/02/iowa-legislature-anti-abortion-amendment-applauded-activists-iowa-capitol-rally/4905664002/,,,,
Joliet,Larkin Ave and Jefferson St,Will,IL,US,2020-03-02,about seven,7,,7,,,Trump supporters,for President Trump,2,rally,0,0,0,0,1,1,https://www.theherald-news.com/lists/2020/03/02/089035aefd424ad895a4a81dd096ab26/index.xml?page=5,,,,
Los Angeles,"Fowler Amphitheater, UCLA campus",Los Angeles,CA,US,2020-03-02,more than 100,100,,100,,,UCLA students,against dismissal of teacher's assistant,0,march,0,0,0,0,1,1,https://dailybruin.com/2020/03/02/ucla-graduate-students-to-stage-protest-in-support-of-recently-fired-ucsc-tas/,,,,
