CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4
Albany,State Capitol,Albany,NY,US,2020-05-01,100,100,,100,,,general protestors,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.amny.com/manhattan/cops-chase-away-handful-of-city-hall-protesters-against-pandemic-pause/,https://www.timesunion.com/news/article/Outside-protesters-chanted-inside-Cuomo-15240347.php,,,
Alhambra,Alhambra Hospital Medical Center,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Anaheim,"Anaheim Global Medical Center, Inc",Orange,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Anaheim,West Anaheim Medical Center,Orange,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Ann Arbor,Whole Foods to USPS office,Washtenaw,MI,US,2020-05-01,,,,,,,A2 After Bernie,support essential workers during coronavirus pandemic,1,car protest,0,0,0,0,1,1,,https://www.mlive.com/news/ann-arbor/2020/05/ann-arbor-group-rallies-for-grocery-store-postal-workers.html,,,,
Ann Arbor,,Washtenaw,MI,US,2020-05-01,approximately 100,100,,100,,,general protesters,against the exploitation of undocumented immigrants in essential businesses during the COVID-19 pandemic,1,protest; caravan ,0,0,0,0,1,1,,https://www.michigandaily.com/section/news-briefs/protest,,,,
Antioch,Sutter Delta Medical Center,Contra Costa,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Arcadia,Methodist Hospital of Southern California,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Asheville,Mission Hospital,Buncombe,NC,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Atlanta,outside a Target,Fulton,GA,US,2020-05-01,,,,,,,Target gig employees; other gig employees,protest dangerous work conditions during coronavirus pandemic,1,car protest,0,0,0,0,1,1,,https://www.washingtonpost.com/technology/2020/05/01/amazon-instacart-workers-strike/,,,,
Augusta,Charlie Norwood VA Augusta,Richmond,GA,US,2020-05-01,count pic,10,,10,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,0,0,0,0,1,1,,https://www.nationalnursesunited.org/may-day-events,https://www.augustachronicle.com/news/20200501/augusta-va-nurses-protest-reusing-n95-masks-pay,https://www.augustachronicle.com/news/20200430/augusta-va-nurses-plan-friday-rally-to-demand-better-covid-19-protections,,
Austin,I-35,Travis,TX,US,2020-05-01,over 30,30,,30,,,tenants,seek rent freeze due to coronavirus pandemic,0,car protest,15,0,0,0,1,1,,https://www.kvue.com/article/news/local/blocking-obstructing-interstate-highway-35-arrests/269-123a4f9c-05a5-42db-a402-112af7021b5f,,,blocked a major highway,
Bakersfield,City Hall,Kern,CA,US,2020-05-01,dozens,24,,24,,,general protestors,protest shutdown due to Covid 19,2,protest,0,0,0,0,1,1,,https://www.kget.com/news/local-news/group-demands-county-to-reopen-churches-businesses-at-bakersfield-city-hall-rally/,,,,
Baldwin Park,Kindred- Baldwin Park,Los Angeles,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Berkeley,Alta Bates Medical Center,Alameda,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Bethel,Sunday River Brewing,Oxford,ME,US,2020-05-01,150 people or more,150,,150,,,restaurant owner and supporters,protest restaurant shutdown due to Covid-19,2,protest,0,0,0,0,1,1,,https://www.pressherald.com/2020/05/05/our-view-maine-should-not-follow-demonstrators/#,,,,
Bluffton,along US 278,Beaufort,SC,US,2020-05-01,eight vehicles and about a dozen people,20,,20,,,Trump supporters,for President Trump,2,protest,0,0,0,0,1,1,,https://www.islandpacket.com/news/politics-government/article242434011.html,,,,
Boston,post office on Summer St to Boston Convention and Exhibition Center,Suffolk,MA,US,2020-05-01,hundreds,200,,200,,,general protestors,support essential workers during coronavirus pandemic,0,car protest,0,0,0,0,1,1,,https://whdh.com/news/essential-workers-demand-safer-conditions-in-may-day-protests/,,,,
Bradenton,Blake Medical Center,Manatee,FL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,https://www.abcactionnews.com/news/region-pinellas/essential-workers-to-protest-working-conditions-during-covid-19-on-international-workers-day,,,
Brattleboro,,Windham,VT,US,2020-05-01,,,,,,,union organizers; general protestors,support essential workers during coronavirus pandemic,0,car protest,0,0,0,0,1,1,,https://www.wcax.com/content/news/Vermont-May-Day-rallies-Friday-to-support-essential-workers-570109901.html,,,,
Brooksville,Oak Hill Hospital,Hernando,FL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Buffalo,Rath Building,Erie,NY,US,2020-05-01,about 70 to 80...another three dozen,106,,116,,,general protestors,protest shutdown due to Covid 19,2,protest; car protest,0,0,0,0,1,1,,https://buffalonews.com/2020/05/01/hospitalizations-havent-dropped-but-protests-call-for-erie-county-to-open/,,,,
Burlingame,Mills Peninsula Medical Center,San Mateo,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Carmichael,Mercy San Juan Medical Center,Sacramento,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Castro Valley,Eden Medical Center,Alameda,CA,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Charlotte,Mecklenburg County Detention Center,Mecklenburg,NC,US,2020-05-01,,,,,,,Decarcerate Mecklenburg,"against excessive policing and arrests, for decarceration during COVID-19 pandemic",1,protest,0,0,0,0,1,1,,https://www.charlotteobserver.com/news/coronavirus/article242447661.html,,,,
Charlotte,Trade and Tryon Streets ,Mecklenburg,NC,US,2020-05-01,15 on foot and a few dozen cars,50,,50,,,Reopen Meck,protest stay-at-home orders due to Covid-19,2,car protest; protest,0,0,0,0,1,1,,https://www.charlotteobserver.com/news/politics-government/article242411616.html,https://www.charlotteobserver.com/news/coronavirus/article242315296.html,,,
Chester,Maximus Call Center,Chesterfield,VA,US,2020-05-01,,,,,,,call center employees,protest dangerous work conditions during coronavirus pandemic,1,protest,0,0,0,0,1,1,,https://www.nbc12.com/2020/05/01/maximus-call-center-workers-holds-social-distancing-protest/,,,,
Chicago,Cermak Health Services,Cook,IL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,1,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Chicago,JH Stroger Jr Hosp,Cook,IL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
Chicago,Provident Hospital,Cook,IL,US,2020-05-01,,,,,,,National Nurses United,protest lack of personal protective equipment for nurses during coronavirus pandemic,1,protest,,,,,0,1,,https://www.nationalnursesunited.org/may-day-events,,,,
