CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Baton Rouge,,East Baton Rouge Parish ,LA,US,2019-11-01,count pic,4,,4,,,Survivors Network of those Abused by Priests,for an official investigation into abuse by Catholic priests,0,protest,0,0,0,0,1,1,https://www.kplctv.com/2019/11/02/advocates-rally-change-statute-limitations-laws-victims-sexual-abuse-investigation-into-abuse-by-catholic-priests/,,,,
Boston,Statehouse,Suffolk ,MA,US,2019-11-01,,,,,,,Fore River Residents Against Compressor Station,against compressor station ,0,protest,0,0,0,0,1,1,https://www.wwlp.com/news/state-politics/natural-gas-protesters-urge-governor-baker-to-take-action/,,,,
Chico,Children's Park,Butte,CA,US,2019-11-01,,,,,,,Sunrise Movement,against PG&E,0,protest,0,0,0,0,1,1,http://www.chicoer.com/sunrise-movement-protest-of-pge-stirs-anger,,,,
Honolulu,Mayor Kirk Cadwell's office,Honolulu,HI,US,2019-11-01,about 30,30,,30,,,general protesters,against development of more wind turbines; claim their concerns have not been addressed,0,protest,0,0,0,0,1,1,https://www.westhawaiitoday.com/2019/11/04/hawaii-news/kahuku-wind-project-opponents-take-demonstration-to-honolulu-mayors-office/,,,,
Los Angeles,city hall,Los Angeles,CA,US,2019-11-01,hundreds; some 3000,200,,3000,,,general protestors,protest inaction on climate change,1,rally,0,0,0,0,1,1,https://www.latimes.com/california/story/2019-11-01/greta-thunberg-youth-climate-strike-planned-for-friday,https://twitter.com/TomOsborne1850/status/1190985526393765890,,,
Midland,The H Hotel,Midland,MI,US,2019-11-01,,,,,,,ABC Truth,against unsafe and unaccredited training program in local high schools,0,protest,0,0,0,0,1,1,https://www.ourmidland.com/news/article/Here-s-why-protesters-were-at-the-H-Hotel-on-14802805.php,,,,
New York,Brooklyn,Kings,NY,US,2019-11-01,close to a thousand,1000,,100,,,general protesters,against police,0,protest,0,0,0,0,1,1,https://www.foxnews.com/politics/brooklyn-anti-cop-protest-turns-violent-blocks-traffic-dont-let-these-pigs-touch-us,,,,
New York,Brooklyn; One Metrotech Center,Kings,NY,US,2019-11-01,hundreds; around 1000,200,,1000,,,general protestors,protest transit policing; against racism,0,protest,0,0,0,0,0,1,https://twitter.com/avitale/status/1190385031560040449,https://twitter.com/nyclawgrrrl/status/1190439955161591809,https://www.city-journal.org/brooklyn-anti-cop-protests-fare-evasion,,
New York,Brooklyn; outside Whole Foods,Kings,NY,US,2019-11-01,,,,,,,general protestors,against Amazon cooperation with ICE,1,protest,,,,,1,1,https://twitter.com/JFREJNYC/status/1190376873563435009,,,,
Passaic,,Passaic,NJ,US,2019-11-01,,,,,,,general protesters,against new Dundee Island park on sacred ground,0,protest,0,0,0,0,1,1,https://www.northjersey.com/story/news/2019/11/02/passaic-nj-dundee-island-park-sacred-ground-lenape-protest/4123376002/,,,,
Philadelphia,City Hall,Philadelphia,PA,US,2019-11-01,na,60,,60,,,general protesters,demanding restoration of a full and functioning DACA system ,1,march; rally,0,0,0,0,1,1,https://www.inquirer.com/news/daca-deferred-action-trump-home-is-here-philly-supreme-court-20191101.html,,,,
Sacramento,Christian Brothers High School,Sacramento,CA,US,2019-11-01,,,,,,,general protesters,for the reinstatement of former Christian Brothers High School principal,0,protest,0,0,0,0,1,1,https://www.abc10.com/article/news/education/protesters-continue-to-fight-for-former-christian-brothers-principal-chris-orr/103-bc9cfb00-0832-48fb-b146-a889af5c0d13,,,,
Sacramento,State Capitol,Sacramento,CA,US,2019-11-01,,,,,,,general protesters,against deportation of Tith Ton and others,1,protest,0,0,0,0,1,1,https://www.nbcnews.com/news/asian-america/advocates-rally-around-former-cambodian-refugee-who-faces-deportation-n1075426,,,,
Secaucus,High Tech High School,Hudson ,NJ,US,2019-11-01,dozens,24,,24,,,general protesters,against the proposed termination of performing arts teacher,0,sit-in; protest,0,0,0,0,1,1,https://www.nj.com/education/2019/11/high-tech-performing-arts-students-threatened-with-arrest-during-peaceful-protest.html,,,,
Tupelo,BancorpSouth Arena,Lee,MS,US,2019-11-01,"about 10,000",10000,,10000,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,https://www.djournal.com/news/trump-rally-brings-supporters-protesters-to-tupelo/article_2c5b5b5b-31ed-5666-9749-aef18fba3479.html,https://www.cbsnews.com/news/trump-rally-mississippi-today-maga-2020-campaign-impeach-bancorpsouth-arena-live-stream-updates-2019-11-01/,,feat. President Trump,
Tupelo,Fairpark,Lee,MS,US,2019-11-01,a few dozen,36,,36,,,general protesters,against Trump's e-cigarette flavor ban ,1,protest,0,0,0,0,1,1,https://www.djournal.com/news/trump-rally-brings-supporters-protesters-to-tupelo/article_2c5b5b5b-31ed-5666-9749-aef18fba3479.html,,,,
Washington,inside capitol,DC,DC,US,2019-11-01,arrested,46,,46,,,general protestors,protest inaction on climate change,1,protest,46,0,0,0,1,1,https://twitter.com/frankthorp/status/1190350208972083207,,,celebrities; civil dis,
Washington DC,U.S. Capitol,DC,DC,US,2019-11-01,count video,200,,300,,,general protestors,want Green New Deal,1,protest,0,0,0,0,1,1,https://www.fox5dc.com/news/jane-fonda-spends-night-in-jail-following-arrest-at-climate-change-protest-in-dc,,,,
Arcadia,,Los Angeles,CA,US,2019-11-02,about fifty,50,,50,,,general protesters,against horse racing,0,protest,0,0,0,0,1,1,https://losangeles.cbslocal.com/2019/11/02/santa-anita-hosts-breeders-cup-amid-protests-over-horse-deaths/,,,,
Austin,,Travis,TX,US,2019-11-02,,,,,,,general protesters,support death row inmate Rodney Reed,0,protest,0,0,0,0,1,1,https://www.fox7austin.com/news/rodney-reed-supporters-rally-at-texas-capital,,,,
Billerica,Town Common,Middlesex,MA,US,2019-11-02,,,,,,,general protesters,against rising taxes and development of large residential complexes,0,protest,0,0,0,0,1,1,http://www.lowellsun.com/billerica-residents-rally-say-enough-is-enough,,,,
Columbus,,Franklin ,OH,US,2019-11-02,,,,,,,The Black Queer and Intersectional Collective,for awareness about the challenges faced by black trans women,1,protest,0,0,0,0,1,1,https://www.nbc4i.com/news/local-news/north-high-street-closed-due-to-protest/,,,,
Greenville,Hunt County Criminal Justice Center,Hunt,TX,US,2019-11-02,,,,,,,general protesters,in support of Brandon Ray Gonzales,0,protest,,,,,1,1,https://www.heraldbanner.com/news/sheriff-hoping-for-peaceful-protest-saturday-night/article_450fc92a-fcfc-11e9-954f-53e71367c538.html,Future.,,,
New Orleans,,Orleans Parish ,LA,US,2019-11-02,,,,,,,Greater New Orleans Housing Alliance,for affordable housing,0,march; rally,,,,,1,1,https://www.theadvocate.com/gambit/new_orleans/news/the_latest/article_34c5fc72-fcbd-11e9-821d-1b79a67f262e.html,Future.,,,
New Paltz,New Paltz Peace Park,Ulster,NY,US,2019-11-02,,,,,,,general protesters,against white supremacy ,1,march; rally,,,,,1,1,https://www.dailyfreeman.com/news/local-news/new-paltz-march-in-support-of-diversity-is-planned-nov/article_43630e2a-fcca-11e9-8db7-e791040cb931.html,Future.,,,
New York,Glendale; Queens,Queens,NY,US,2019-11-02,hundreds,200,,200,,,general protesters,against building of homeless shelter,0,protest,0,0,0,0,1,1,https://www.amny.com/queens/opponents-of-queens-homeless-shelter-float-conspiracy-theory-at-protest/,,,,
New York,Madison Square Garden; Manhattan,New York,NY,US,2019-11-02,hundreds,200,,200,,,general protesters,against President Donald Trump,1,protest,0,0,0,0,1,1,https://abc11.com/politics/headlock-him-up-hundreds-protest-trump-outside-ufc-fight-at-msg/5667518/,,,,
New York,outside Madison Square Garden; Manhattan,New York,NY,US,2019-11-02,hundreds,200,,200,,,general protestors,protesting Trump's viait,1,protest,0,0,0,0,1,1,https://www.yahoo.com/news/headlock-him-hundreds-protest-president-132846776.html?.tsrc=fauxdal,,,,
Santa Cruz,,Santa Cruz,CA,US,2019-11-02,,,,,,,general protesters,for replacement of PG&E,0,protest,0,0,0,0,1,1,https://www.ksbw.com/article/frustrated-customers-rally-for-a-new-utility-provider-in-california/29675809,,,,
Sarasota,Palmer Boulevard and Apex Road,Sarasotta,FL,US,2019-11-02,,,,,,,general protesters,in support of keeping Celery Fields as they are,0,rally,,,,,1,1,https://www.mysuncoast.com/2019/11/01/organizers-plan-last-stand-celery-hill-protest-saturday-morning/,Future.,,,
West Lebanon,Hannaford,Grafton ,NH,US,2019-11-02,about 50,50,,50,,,general protesters,for fair labor conditions for farmworkers; support immigrants,1,protest,0,0,0,0,1,1,https://www.vnews.com/About-50-gather-to-demand-Hannaford-in-West-Leb-support-milk-with-dignity-effort-29973649,,,,
Youngstown,,Mahoning,OH,US,2019-11-02,,,,,,,general protesters,against the closing of Fire Station #7 in Youngstown,0,march; rally,,,,,1,1,http://www.wfmj.com/story/41257018/march-and-rally-to-oppose-closing-youngstown-fire-station,Future.,,,
Brattleboro,Pliny Park,Windham ,VT,US,2019-11-03,nearly 100,100,,100,,,general protesters,against President Donald Trump,1,protest,0,0,0,0,1,1,"https://www.reformer.com/stories/locals-rally-to-support-trump-impeachment,589191",,,,
Bridgeport,,Fairfield,CT,US,2019-11-03,,,,,,,The Survivors Network of those Abused by Priests,against priest abuse; against sexual assault,0,rally,,,,,1,1,https://www.theday.com/article/20191031/NWS01/191039885,Future.,,,
Hartford,,Hartford ,CT,US,2019-11-03,,,,,,,The Survivors Network of those Abused by Priests,against priest abuse; against sexual assault,0,rally,,,,,1,1,https://www.theday.com/article/20191031/NWS01/191039885,Future.,,,
Huntsville,Madison County Courthouse,Madison ,AL,US,2019-11-03,,,,,,,general protesters,for more police transparency,0,rally,0,0,0,0,1,1,https://whnt.com/2019/11/03/activists-hold-rally-outside-madison-county-courthouse/,,,,
Kansas City,inside the Paseo Baptist Curch,Jackson,MO,US,2019-11-03,count video,50,,50,,,general protesters,rally in support of keeping a street named Dr. MLK Jr Blvd,1,rally,0,0,0,0,1,1,https://www.kansascity.com/article236990619.html,,,,
Kansas City,inside the Paseo Baptist Curch,Jackson,MO,US,2019-11-03,count video,16,,16,,,Save the Paseo,"protest against the name change being kept, want the original name back",0,counter-protest,0,0,0,0,0,1,https://www.kansascity.com/article236990619.html,,,,
