CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,,,,,,,,
Adams Township,"Cranberry, PA; Seven Fields, PA",,PA,US,2020-11-01,,,,,,,general protesters,for Joe Biden,1,caravan,0,0,0,0,1,1,,Ridin with Biden,,https://pittsburgh.cbslocal.com/2020/11/02/biden-trump-rally-car-cruise-butler-fayette-county/,,,,,,,,,,,,,,,,,,
Aiken,H. Odell Weeks Activity Center,,SC,US,2020-11-01,,,,,,,general protesters,"for Lindsay Graham for U.S. Senate, for President Trump",2,rally,0,0,0,0,1,1,,,,https://www.postandcourier.com/aikenstandard/news/local/lindsey-graham-talks-trump-amy-coney-barrett-at-aiken-rally/article_1b4b3808-1c96-11eb-b0aa-d7328a2a827d.html,https://www.postandcourier.com/aikenstandard/news/local/lindsey-graham-talks-trump-amy-coney-barrett-at-aiken-rally/article_1b4b3808-1c96-11eb-b0aa-d7328a2a827d.html,,,,,,,,,,,,,,,,,
Albion,,,NY,US,2020-11-01,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,,,https://www.thedailynewsonline.com/top_story/albion-and-warsaw-rallies-aim-to-energize-gop-base/article_b55179e1-a146-5ac9-948a-b26758c49e5e.html,,,,,,,,,,,,,,,,,,
Albuquerque,Archdiocese of Santa Fe,,NM,US,2020-11-01,,,,,,,Catholics,against cancellation of mass and closure of Catholic parishes due to coronavirus pandemic,0,protest,0,0,0,0,1,1,,,,https://www.krqe.com/news/protests/catholics-protest-archbishops-decision-to-suspend-in-person-mass/,,,,,,,,,,,,,,,,,,
Albuquerque,Second Judicial District Court,,NM,US,2020-11-01,,,,,,,Red Cloaks,"against confirmation of Amy Coney Barrett to U.S. Supreme Court, for women's rights, for reproductive rights",1,demonstration,0,0,0,0,0,1,,,,https://www.krqe.com/news/protests/new-mexico-group-joins-national-protest-against-amy-coney-barrett-confirmation/,,,,,,,,,,,,,,,,,,
Alexandria,Preston Rd and Valley Dr; home of DHS Secretary Chad Wolf,,VA,US,2020-11-01,,,,,,,Grassroots Alexandria,"for abolishing ICE, for defunding police, against human rights violations by U.S. Department of Homeland Security",1,rally; march,,,,,1,1,,,,https://twitter.com/gra_alexandria/status/1322005666362515458,,,,,,,,,,,,,,,,,,
Allentown,,,PA,US,2020-11-01,,,,,,,general protesters,for Joe Biden,1,rally,0,0,0,0,1,1,,,,https://www.wfmz.com/news/election/supporters-hold-biden-trump-rallies-in-eastern-pa/article_005356ee-1cf9-11eb-869e-e78c5e1d1ac3.html,,,,,,,,,,,,,,,,,,
Atlanta,Piedmont Park,,GA,US,2020-11-01,,,,,,,Refuse Fascism ATL; Refuse Fascism,"against President Trump, against fascism",1,protest,,,,,1,1,,,,https://www.facebook.com/events/2748551672087040/?event_time_id=2749482691993938,,,,,,,,,,,,,,,,,,
Austin,Burger Stadium; Austin Police Department,,TX,US,2020-11-01,,,,,,,general protesters,"for recall of mayor, in support of police",2,march,,,,,1,1,,,,https://www.kvue.com/article/news/local/protests/austin-mayor-adler-recall-protest/269-5705a7e0-e506-4f61-a0c7-ac3dd121d41a,,,,,,,,,,,,,,,,,,
Bakersfield,,,CA,US,2020-11-01,,,,,,,general protesters,"Black Lives Matter, for defunding police",1,protest,0,0,0,0,1,1,20201101-bakersfield-blm,,,https://www.kvpr.org/post/aclu-says-bakersfield-police-demonstrated-biased-policing-rally-0#stream/0,,,,,,,,,,,,,,,,,,
