CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,S1,S2
Arlington,Reagan National Airport ,VA,US,2018-10-01,hundreds ,200,,200,,,general protestors ,for sexual assault survivors; against Sen. McConnell support of Kavanaugh ,1,protest,0,0,0,0,1,1,https://www.reuters.com/article/us-usa-court-kavanaugh-protests/emboldened-protesters-step-up-effort-to-block-kavanaugh-confirmation-idUSKCN1MB3ZC?il=0,,,,,
Azusa ,Azusa Pacific University ,CA,US,2018-10-01,around 200,200,,200,,,student protestors ,protesting the college's anti-LGBTQ relationship policy,1,protest,0,0,0,0,1,1,https://www.pasadenastarnews.com/2018/10/01/azusa-pacific-university-students-protest-after-reinstatement-of-lgbtq-relationship-ban/,,,,,
Bay City ,Center Avenue ,MI,US,2018-10-01,,,,,,,general protestors ,marching to raise awareness about domestic violence ,1,march,0,0,0,0,1,1,https://nbc25news.com/news/local/bay-city-march-marks-beginning-of-domestic-violence-awareness-month,,,,,
Boston,Outside City Hall,MA,US,2018-10-01,hundreds,200,,200,,,general protestors ,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://www.bostonherald.com/2018/10/01/walsh-pressley-ocasio-cortez-join-protesters-at-flake-event-at-city-hall/,https://www.telegram.com/news/20181001/kavanaugh-opponents-at-boston-rally-see-election-consequences,https://www.bostonglobe.com/metro/2018/10/01/city-hall-plaza-protest-calls-sen-flake-reject-kavanaugh-for-supreme-court/xPzjW6IIq40Lc9QwAdH0lN/story.html,,,
Bryan ,Sanderson Farms plant,TX,US,2018-10-01,dozens ,24,,24,,,general protestors ,protesting unsafe and unfair working conditions,0,protest,0,0,0,0,1,1,https://www.kbtx.com/content/news/Activists-protest-for-Sanderson-Farms-workers-claiming-inhuman-working-conditions-at-Bryan-plant-494839951.html,,,,,
Charleston,inside US Sen. Joe Manchin campaign office,WV,US,2018-10-01,na,17,,17,,,general protestors,protest against Judge Brett Kavanaugh’s Supreme Court confirmation,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/news/nationworld/politics/ct-brett-kavanaugh-protest-joe-manchin-20181002-story.html,https://krcrtv.com/news/nation-world/women-protest-at-sen-manchins-charleston-campaign-office-urging-no-vote-on-kavanaugh,https://www.gofundme.com/vote-with-wv-women,9 cited for trespassing; protest may have started October 1,1,
Chicago ,Federal Plaza ,IL,US,2018-10-01,,,,,,,general protestors ,Trump administration’s Affordable Clean Energy proposal,1,protest,0,0,0,0,1,1,https://chicago.suntimes.com/news/environmental-protection-advocates-rally-against-affordable-energy-proposal/,,,,,
Chicago ,Hyatt Regency,IL,US,2018-10-01,,,,,,,hotel workers,protesting the way the hotel treats their workers ,0,protest;stike,0,0,0,0,1,1,https://chicago.suntimes.com/business/hotel-workers-rally-downtown-hyatt-regency-jb-pritzker-unions/,,,The workers on currently on entering the 4th week of their strike ,,
Durham ,North Carolina Central University,NC,US,2018-10-01,,,,,,,student protestors ,protesting the shooting and killing of DeAndre Ballard,1,protest,0,0,0,0,1,1,https://abc11.com/nccu-students-protest-killing-of-fellow-student-/4383940/,,,,,
Johnson City,Freedom Hall,TN,US,2018-10-01,na,9000,,9500,,,Trump administration,pro-Trump,2,rally,0,0,0,0,1,1,https://www.washingtonpost.com/politics/2018/11/19/president-trumps-crowd-size-estimates-increasingly-unbelievable/?noredirect=on&utm_term=.51e3c14ab10c,https://www.johnsoncitypress.com/Politics/2018/10/01/WATCH-LIVE-Trump-rally-with-Marsha-Blackburn.html?ci=alert&lp=1,https://www.commercialappeal.com/story/news/politics/elections/2018/10/01/trump-rally-marsha-blackburn-johnson-city-tennessee/1412293002/,feat. President Trump,,
Johnson City,Outside Freedom Hall,TN,US,2018-10-01,300,300,,300,,,general protestors ,counter-protest; anti-Trump ,1,protest,0,0,0,0,0,1,https://www.tennessean.com/story/news/politics/2018/10/01/maga-fans-line-up-early-johnson-city-event-trump-rally-live-blog/1446495002/,,,,,
Kent ,University of Ohio ,OH,US,2018-10-01,about 50,50,,50,,,general protestors ,pro-gun; supporting 2nd amendment right,2,rally,0,0,0,0,1,1,http://www.theintelligencer.net/wire/?category=10121&ID=76985,,,,,
Kent ,University of Ohio ,OH,US,2018-10-01,about 100,100,,100,,,general protestors ,counter-protest; anti-gun,1,protest,4,0,0,0,0,1,http://www.theintelligencer.net/wire/?category=10121&ID=76985,,,,,
Manchester ,St. Anselm College,NH,US,2018-10-01,dozens ,24,,24,,,general protestors ,protesting Sen. Flake speech; for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://wgme.com/news/local/protesters-rally-before-sen-jeff-flake-speaks-in-new-hampshire,http://www.nashuatelegraph.com/news/local-news/2018/10/01/u-s-sen-jeff-flake-at-rally-in-manchester/,,,,
New York,Flatiron Public Plaza,NY,US,2018-10-01,FB: 1400,1400,,1400,,,general protestors,for sexual assault survivors; against Kavanaugh confirmation,1,protest,,,,,1,1,https://www.facebook.com/events/248425645869370/,,,,,
Petaluma,Sonoma County Sheriff's office,CA,US,2018-10-01,,,,,,,Direct Action Everywhere,pro animal-rights,0,protest,0,0,0,0,1,1,https://www.sonomanews.com/business/8802928-181/animal-rights-protesters-rattle-petaluma-poultry?sba=AAS,,,,,
Sheridan ,Sheridan to the Dalles ,OR,US,2018-10-01,4 dozen ,48,,48,,,Rural Organizing Project ,seven-day rally to call attention to immigration detentions and opposed a ballot measure that would repeal Oregon's sanctuary law.,1,rally;march,0,0,0,0,1,1,https://pamplinmedia.com/fgnt/36-news/407856-306788-seven-day-march-rallies-focus-on-immigration-ballot-measure,,,projected end date: Oct. 6th ,,
Washington,Catholic University,DC,US,2018-10-01,more than 100,100,,100,,,general protestors,protesting Dean who tweeted insensitively about one of Kavanaugh accusers,1,protest,0,0,0,0,1,1,https://www.washingtonpost.com/education/2018/10/01/catholic-u-students-protest-dean-who-disparaged-kavanaugh-accuser/?utm_term=.203b658dc4a4&wpisrc=nl_highered&wpmm=1,https://www.npr.org/2018/10/02/653560525/dean-at-catholic-university-suspended-for-tweet-about-kavanaugh-accuser,,,5,
Worcester ,Outside City Hall,MA,US,2018-10-01,more than 30,30,,30,,,Worcester Socialist Alternative,for sexual assault survivors; against Kavanaugh confirmation,1,protest,0,0,0,0,1,1,https://www.masslive.com/news/worcester/index.ssf/2018/10/rally_in_worcester_aims_to_blo.html,,,,,
