CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,,
Berkeley,Sproul Plaza ,Alameda,CA,US,2019-09-01,NA,3,,3,,,general protesters,Pro- speaker; Anti- Marxism,2,rally,0,0,0,0,1,1,https://www.dailycal.org/2019/09/02/anti-fascist-protesters-march-against-no-marxism-in-america-rally/,,,,,,
Berkeley,Sproul Plaza; People's Park,Alameda,CA,US,2019-09-01,about 70,70,,70,,,general protesters,Anti- fascism; against public speaker,1,protest; march,0,0,0,0,1,1,https://www.dailycal.org/2019/09/02/anti-fascist-protesters-march-against-no-marxism-in-america-rally/,,,,,,
Odessa,the quad at the University of Texas of the Permian Basin,Ector,TX,US,2019-09-01,hundreds,200,,200,,,general protesters,against gun violence,0,vigil,0,0,0,0,1,1,https://abcnews.go.com/US/odessa-texas-gathers-vigil-victims-names-emerge-mass/story?id=65334729&cid=social_twitter_abcnp,https://video.foxnews.com/v/6082539865001/#sp=show-clips,,,,,
Portland,,Multnomah,OR,US,2019-09-02,thousands,2000,,2000,,,Kaiser Permanente workers,For better compensation,0,protest,0,0,0,0,1,1,https://www.mercurynews.com/2019/08/29/kaiser-workers-to-protest-on-labor-day-as-strike-nears/,,,,,,
Oakland,,Alameda,CA,US,2019-09-02,thousands,2000,,2000,,,Kaiser Permanente workers,For better compensation,0,protest,0,0,0,0,1,1,https://www.mercurynews.com/2019/08/29/kaiser-workers-to-protest-on-labor-day-as-strike-nears/,,,,,,
Sacramento,,Sacramento,CA,US,2019-09-02,thousands,2000,,2000,,,Kaiser Permanente workers,For better compensation,0,protest,0,0,0,0,1,1,https://www.mercurynews.com/2019/08/29/kaiser-workers-to-protest-on-labor-day-as-strike-nears/,,,,,,
Los Angeles,,Los Angeles,CA,US,2019-09-02,thousands,2000,,2000,,,Kaiser Permanente workers,For better compensation,0,protest,0,0,0,0,1,1,https://www.mercurynews.com/2019/08/29/kaiser-workers-to-protest-on-labor-day-as-strike-nears/,,,,,,
Denver,,Denver,CO,US,2019-09-02,thousands,2000,,2000,,,Kaiser Permanente workers,For better compensation,0,protest,0,0,0,0,1,1,https://www.mercurynews.com/2019/08/29/kaiser-workers-to-protest-on-labor-day-as-strike-nears/,,,,,,
Portland,Kelley Point Park,Multnomah,OR,US,2019-09-02,NA,30,,30,,,Mosquito Fleet,Environment; against fossil fuels,0,protest,0,0,0,0,1,1,https://www.kptv.com/news/kayaktivists-at-kelley-point-park-rally-against-planned-pipeline-expansion/article_5d5aa2c2-cdd9-11e9-a9fb-c3197c2eb472.html,https://www.columbian.com/news/2019/sep/02/kayakers-paddle-to-port-of-vancouver-to-protest-oil-pipeline/,,,,,
Hagåtña,Adelup,Guam,GU,US,2019-09-02,hundreds,200,,200,,,general protesters ,Against colonization,0,protest; march,0,0,0,0,1,1,https://www.guampdn.com/story/news/2019/09/02/hundreds-march-chamoru-self-determination/2189704001/,,,,,,
