CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,AdHoc,CountLove,Source1,Source2,Source3,Misc.,TearGas,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,Source13,Source14,Source15,Source16,Source17
Abilene,Rose Park,,TX,US,2020-09-01,,,,,,,general protesters,"against racism, against police violence, for justice for Jacob Blake",1,demonstration,0,0,0,0,1,1,20200901-abiline-jacobblake,1,,https://www.reporternews.com/story/news/local/2021/01/03/abilene-joins-national-protest-proclaiming-black-lives-matter/4053072001/,,,invited counter-protesters to join them,,,,,,,,,,,,,,,
Abilene,Rose Park,,TX,US,2020-09-01,,,,,,,general protesters,All Lives Matter,2,counter-protest,0,0,0,0,0,1,20200901-abiline-jacobblake,1,,https://www.reporternews.com/story/news/local/2021/01/03/abilene-joins-national-protest-proclaiming-black-lives-matter/4053072001/,,,shouted at protesters; some joined protesters,,,,,,,,,,,,,,,
Atlanta,office of U.S. Senator David Perdue,,GA,US,2020-09-01,,,,,,,Association of Flight Attendants Union,in support of payroll support extension for flight attendants amid coronavirus pandemic,0,march,0,0,0,0,1,1,,,1,https://www.11alive.com/article/travel/flight-attendants-aviation-workers-rally-atlanta/85-82cd9be4-309d-406d-b094-0c542953b447,,,,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-09-01,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,1,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,,,,,,,,,,,,,
Bozeman,Wilson Science and Technology School,,MT,US,2020-09-01,more than 100,100,,100,,,"parents, students, teachers",against school district's learning model during coronavirus pandemic,1,protest,0,0,0,0,1,1,,,1,https://www.kbzk.com/news/local-news/bozeman-parents-students-and-teachers-protest-trustee-vote-to-remain-in-blended-model-until-a-later-date,https://missoulacurrent.com/montana-today/2020/09/bozeman-blended-model/,https://www.kbzk.com/news/local-news/bozeman-parents-students-and-teachers-protest-trustee-vote-to-remain-in-blended-model-until-a-later-date,,0,,,,,,,,,,,,,,
Buffalo,Hertel Ave,,NY,US,2020-09-01,75-100,75,,100,,,general protesters,Black Lives Matter,1,protest,0,0,0,0,1,1,,,1,https://buffalonews.com/news/local/protesters-resume-north-buffalo-march-that-was-interrupted-friday/article_6991307a-eca4-11ea-bc47-ef91009621a8.html,https://buffalonews.com/multimedia/watch-now-buffalo-police-form-line-on-hertel-avenue-between-protesters-and-bar-patrons/video_dd767934-47e5-5f47-97a6-a1398514620e.html,,,0,,,,,,,,,,,,,,
Burlington,Battery Park; Burlington City Hall,,VT,US,2020-09-01,"more than 500; more than 1,000",500,,1000,,,general protesters,"against racism, against police violence, for police reform",1,occupation; march,0,0,0,0,1,1,,1,1,https://www.wcax.com/2020/09/02/burlington-protests-continue-police-say-demands-wont-be-met/,https://vtdigger.org/2020/09/10/protesters-say-they-wont-give-in-can-burlington-remove-these-cops/,https://vtdigger.org/2020/09/02/turnout-massive-on-8th-night-of-protest-demanding-firing-of-3-burlington-cops/,Camping out until the end of September,0,https://vtdigger.org/2020/09/02/burlington-police-union-tells-protesters-sacking-cops-would-be-gross-violation/,https://www.mychamplainvalley.com/news/hundreds-gather-outside-burlington-city-hall-in-the-largest-of-eight-consecutive-days-of-protest/,https://vtdigger.org/2020/09/02/turnout-massive-on-8th-night-of-protest-demanding-firing-of-3-burlington-cops/,Valley News - Burlington protesters calling for officers’ firing end encampment (vnews.com),https://vtdigger.org/2020/09/30/media-groups-condemn-burlington-protesters-burning-newspapers/,,,,,,,,,
Chicago,home of University of Chicago Provost Ka Yee Lee,,IL,US,2020-09-01,,,,,,,Care Not Cops,"for disbanding University of Chicago police, against racism, for creation of ethnic studies department",1,occupation,0,0,0,0,1,1,,1,,https://www.chicagomaroon.com/article/2020/9/2/carenotcops-stage-multi-day-occupation-outside-pro/,https://www.thecollegefix.com/anti-police-u-chicago-activists-allegedly-target-provost-with-anti-asian-graffiti/,,,,,,,,,,,,,,,,,
Dallas,Spring Valley Rd,,TX,US,2020-09-01,ten,10,,10,,,general protesters,for eviction moratorium during COVID-19 pandemic,0,demonstration,,,,,1,1,,1,,https://www.dallasobserver.com/news/dallas-demonstration-for-more-help-for-unemployed-draws-tiny-group-11939637,,,,,,,,,,,,,,,,,,
Denton,Caroline County Board of Education,,MD,US,2020-09-01,,,,,,,general protesters,against layoffs of workers by Caroline County Public Schools,0,protest,0,0,0,0,1,1,,,1,https://www.myeasternshoremd.com/kent_county_news/news/regional/caroline-county-educators-protest-layoffs/article_2afaa48f-2a10-539f-93a0-285c63a8907c.html,https://www.stardem.com/news/local_news/caroline-county-education-association-plans-drive-thru-protest-of-layoffs/article_0657443e-79ab-5c6f-bab1-ba359fd4ac42.html,,,,,,,,,,,,,,,,,
Denver,Denver East High School,,CO,US,2020-09-01,about 75,75,,75,,,students,against sexual assault at East High School,0,protest,0,0,0,0,1,1,,,1,https://kdvr.com/news/east-high-students-walk-out-in-protest-of-denver-police-investigation/,,,,0,,,,,,,,,,,,,,
Detroit,Detroit Public Safety Headquarters,,MI,US,2020-09-01,,,,,,,Detroit Will Breathe,"against racism, against police brutality, for defunding police, for police reform, for carceral reform, against criminalization of homelessness, for immigrants' rights, for disabled peoples' rights, for moratorium on evictions and foreclosures and against utility shutoffs during coronavirus pandemic",1,march,0,0,0,0,1,1,,1,,https://detroitwillbreathe.info/events.html,,,,,,,,,,,,,,,,,,
Detroit,Spirit of Detroit,,MI,US,2020-09-01,about 20,20,,20,,,Detroit Action,for cancelling rent and mortgages and extending eviction moratorium and unemployment benefits during coronavirus pandemic,0,protest,0,0,0,0,0,1,,,1,https://www.fox17online.com/news/group-rallying-for-cancellation-of-rent-mortgages-extension-of-eviction-moratorium-in-detroit,https://www.freep.com/story/news/local/michigan/detroit/2020/09/01/coronavirus-financial-aid-housing-rights/3448720001/,,,,,,,,,,,,,,,,,
El Cerrito,El Cerrito Plaza BART,,CA,US,2020-09-01,,,,,,,general protesters,antiracism; against police brutality,1,caravan,,,,,1,1,,1,,https://sf.funcheap.com/justice-peace-caravan-support-black-lives-matter-2/,,,,,,,,,,,,,,,,,,
Exeter,Kuharchik Construction,,PA,US,2020-09-01,,,,,,,general protesters,for President Trump,2,rally,0,0,0,0,1,,,,1,https://www.imago-images.com/st/0103806768,https://www.c-span.org/video/?475295-1/vice-president-pence-hosts-workers-trump-event-exeter-pa,,feat. Mike Pence,0,,,,,,,,,,,,,,
Kenosha,Civic Center Park,,WI,US,2020-09-01,few hundred,300,,300,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,,,1,https://chicago.suntimes.com/politics/2020/9/1/21417689/donald-trump-kenosha-wisconsin-jacob-blake-black-lives-matter,https://www.kenoshanews.com/news/local/police-intervene-to-defuse-clash-between-far-right-demonstrators-and-blm-group/article_e1aeaea8-416c-55bf-904d-f9e4176e2ce5.html,https://abcnews.go.com/US/wireStory/latest-trump-hell-national-guard-kenosha-72751579,,0,https://www.kenoshanews.com/news/local/police-intervene-to-defuse-clash-between-far-right-demonstrators-and-blm-group/article_e1aeaea8-416c-55bf-904d-f9e4176e2ce5.html,https://www.cbs58.com/news/pres-trumps-visit-to-kenosha-draws-supporters-and-protesters,https://www.wisn.com/article/anti-trump-protesters-face-presidents-supporters-in-kenosha/33865989#,https://www.kenoshanews.com/news/local/pro-trump-anti-trump-protesters-exchange-words-at-civic-center-park/article_13f50025-d9f8-558c-a9ab-069fe4033182.html,,,,,,,,,,
Kenosha,40th St and 28th Ave,,WI,US,2020-09-01,,,,,,,general protesters,"against racism, against police violence",1,rally,,,,,0,1,,1,1,https://twitter.com/FightFor15WI/status/1300840900441104384,https://www.kenoshanews.com/news/local/police-intervene-to-defuse-clash-between-far-right-demonstrators-and-blm-group/article_e1aeaea8-416c-55bf-904d-f9e4176e2ce5.html,https://www.cbs58.com/news/justice-for-jacob-blake-rally-held-in-kenosha-to-counter-pres-trump-visit,#JusticeForJacob,,https://www.channel3000.com/jacob-blakes-family-holds-justice-for-jacob-rally/,,,,,,,,,,,,,
Kenosha,City of Kenosha Municipal Building,,WI,US,2020-09-01,,,,,,,Refuse Fascism Chicago; Degenerate Artists Against Fascism; #NoMore; Black Lives Matter Lake County Illinois,"for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,0,1,,1,1,https://www.facebook.com/events/936438776864639/,https://www.kenoshanews.com/news/local/police-intervene-to-defuse-clash-between-far-right-demonstrators-and-blm-group/article_e1aeaea8-416c-55bf-904d-f9e4176e2ce5.html,https://www.cbs58.com/news/pres-trumps-visit-to-kenosha-draws-supporters-and-protesters,,,,,,,,,,,,,,,,
Key West,Key West City Hall,,FL,US,2020-09-01,about 100,100,,100,,,general protesters,against coronavirus mask mandates,2,protest,0,0,0,0,1,1,,,1,https://www.miamiherald.com/news/local/community/florida-keys/article245423820.html,,,,0,,,,,,,,,,,,,,
Largo,Largo Medical Center,,FL,US,2020-09-01,count pic,7,,7,,,nurses,against staff shortages and lack of PPE for nurses amid coronavirus pandemic,0,protest,0,0,0,0,1,1,,,1,https://www.floridaphoenix.com/blog/nurses-protest-over-short-staffing-reusing-face-masks-at-fl-hospitals-amid-covid-19/,,,Nurses are being told to reuse N95 Respiratory Masks,0,,,,,,,,,,,,,,
Las Vegas,4250 E. Bonzana Road,,NV,US,2020-09-01,20 cars,20,,20,,,general protesters,"for federal financial relief and eviction moratorium during coronavirus pandemic, in support of Heroes Act",0,car caravan,0,0,0,0,1,1,,,1,https://www.reviewjournal.com/local/local-las-vegas/car-caravan-protest-meant-to-spur-next-federal-relief-package-2109310/,,,"signs on cars said: ""Mitch Better Have My Money"", ""Relief is Due""",,,,,,,,,,,,,,,
Leavenworth,,,KS,US,2020-09-01,,,,,,,hospitality workers; Colorado Springs Democratic Socialists of America (DSA),for extension of temporary unemployment insurance during coronavirus pandemic,0,rally,0,0,0,0,1,1,,,1,https://www.csindy.com/news/hospitality-workers-rally-for-assistance/article_bd0a6ff0-f22b-11ea-aed2-efbb94bd67a0.html,,,,0,,,,,,,,,,,,,,
Leesburg,Loudon County Government Center,,VA,US,2020-09-01,roughly 100,100,,100,,,Virginia Constitutional Conservatives,for Second Amendment rights,2,rally,,,,,1,1,,1,,https://www.facebook.com/events/932800373907418/,https://www.loudountimes.com/news/loudoun-county-supervisors-advance-local-regulations-related-to-firearms/article_5119af6e-ed2f-11ea-82d0-774661d56531.html,,,,,,,,,,,,,,,,,
Morrison,Bandimere Speedway,,CO,US,2020-09-01,thousands,2000,,2000,,,general protesters,"against state coronavirus mask mandate, against Governor Jared Polis, for President Trump, against tyranny, for patriotism, for freedom, WWG1WGA",2,rally,0,0,0,0,1,1,20200901-morrison-covid,,1,https://kdvr.com/news/coronavirus/bandimere-rally-feared-super-spreader-event/,https://www.thedenverchannel.com/news/local-news/bandimere-speedway-draws-thousands-to-political-rally-in-defiance-of-jefferson-county-orders,https://gazette.com/news/local/thousands-gather-at-bandimere-speedway-for-covid-chaos-rally/article_141bb8a0-ed20-11ea-8782-2b0074c73724.html,,0,https://www.koaa.com/news/local-news/jeffco-health-department-mum-on-stop-the-covid-chaos-rally-which-drew-thousands-to-bandimere,,,,,,,,,,,,,
Morrison,Bandimere Speedway,,CO,US,2020-09-01,count video,1,,1,,,general protesters,"in support of state coronavirus mask mandate, for Governor Jared Polis, Black Lives Matter",1,counter-protest,0,0,0,0,0,1,20200901-morrison-covid,1,,https://kdvr.com/news/coronavirus/bandimere-rally-feared-super-spreader-event/,,,stood nearby with signs,0,,,,,,,,,,,,,,
New York,Brooklyn,,NY,US,2020-09-01,count pic,15,,,,,teachers; parents; children,against reopening public schools during COVID-19 pandemic,0,protest,,,,,1,1,,1,,https://gothamist.com/news/teachers-will-ask-judge-block-person-learning-nyc-public-schools,,,,,,,,,,,,,,,,,,
New York,Brooklyn,,NY,US,2020-09-01,,,,,,,"tenants, homeless New Yorkers",against housing evicitons amid coronavirus pandemic,0,march,0,0,0,0,0,1,,,1,https://pix11.com/news/coronavirus/tenants-march-as-calls-for-rent-protections-intensify/,,,,,,,,,,,,,,,,,,
New York,"Carl Schurz Park, Manhattan",,NY,US,2020-09-01,,,,,,,Upper East Side for Black Lives Matter,"against racism, against police brutality",1,vigil; march,,,,,0,1,,1,,https://www.instagram.com/p/CEl4o7iDy4X/,,,,,,,,,,,,,,,,,,
New York,"McCarren Park, Brooklyn",,NY,US,2020-09-01,,,,,,,general protesters,"against racism, against police brutality",1,vigil,,,,,0,1,,1,,https://www.bkreader.com/2020/11/02/heres-what-happens-at-the-nightly-anti-racist-gathering-in-mccarren-park/,https://www.instagram.com/p/CEnXMvGlO_M/,,,,,,,,,,,,,,,,,
Omaha,,,NE,US,2020-09-01,about 200,200,,200,,,student-athletes,against shutdown of Omaha public schools athletic programs due to coronavirus pandemic,0,protest,0,0,0,0,1,1,,,1,https://www.ketv.com/article/let-us-play-ops-students-rally-ask-officials-to-reconsider-letting-fall-athletics-continue/33865594#,,,,0,,,,,,,,,,,,,,
Portland,Alberta Park,,OR,US,2020-09-01,,,,,,,general protesters,"against racism, against police violence",1,protest,0,0,0,0,1,1,,1,,https://www.kgw.com/article/news/local/protests/protesters-to-march-from-woodstock-park/283-c238e2ac-789d-473a-aa47-eade498333ac,,,Crowd met but decided not to march due to small numbers.,,,,,,,,,,,,,,,
Portsmouth,,,VA,US,2020-09-01,,,,,,,general protesters,in support of state senator charged with encouraging protesters to damage a Confederate monument,1,rally,0,0,0,0,1,1,,,1,https://www.cbs19news.com/story/42582003/exvirginia-gov-lieutenant-gov-join-rally-for-sen-lucas,https://www.pilotonline.com/cities/portsmouth/vp-nw-portsmouth19-20200902-yptslkxow5gnfclqboqkcocrcu-photogallery.html,https://wtop.com/virginia/2020/09/ex-virginia-gov-lieutenant-gov-join-rally-for-sen-lucas/,,0,https://www.wtvr.com/news/virginia-politics/ex-virginia-gov-lieutenant-gov-join-rally-for-sen-lucas,https://www.whsv.com/2020/09/02/ex-viginia-gov-lieutenant-gov-join-rally-for-sen-lucas/,,,,,,,,,,,,
Providence,Federal Hill; Classical High School; Providence Police Department,,RI,US,2020-09-01,more than 40,40,,40,,,general protesters,"Black Lives Matter, defund the police",1,protest,0,0,0,0,1,1,,,1,https://www.providencejournal.com/story/news/coronavirus/2020/09/02/anti-police-protesters-march-on-federal-hill/42495039/,,,,0,,,,,,,,,,,,,,
Richmond,Richmond City Justice Center,,VA,US,2020-09-01,dozens,24,,24,,,general protesters,"in protest of recent COVID-19 outbreak at county jail, for better protections against COVID-19 for inmates",1,protest,11,0,0,0,1,1,,,1,https://www.wtvr.com/news/local-news/arrests-made-during-protest-of-covid-19-outbreak-conditions-at-richmond-jail,https://www.wtvr.com/news/local-news/deputy-chief-addresses-clash-with-protesters-officer-did-what-he-had-to-do,,,0,,,,,,,,,,,,,,
Sacramento,Sacramento County Jail,,CA,US,2020-09-01,,,,,,,general protesters,"in solidarity with arrested protesters, Black Lives Matter",1,rally,,,,,1,1,,,1,https://www.kcra.com/article/group-rallies-outside-sacramento-county-jail-after-protesters-arrested/33866952#,,,,,,,,,,,,,,,,,,
