date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-09-01,Albany,NY,New York State Capitol,,more than a dozen,12,12,Clean Slate New York Coalition; People's Campaign for Parole Justice,lawmakers; advocates,"for parole reform, for passage of state Clean Slate and Elder Parole and Fair and Timely Parole legislation, for extension of eviction moratorium during coronavirus pandemic, against housing discrimination against formerly incarcerated people",1,rally,,,,,,,,,,,,https://cbs6albany.com/news/local/rally-at-capitol-urges-passage-of-clean-slate-parole-justice-bills,https://www.nny360.com/top_stories/advocates-rally-in-albany-for-parole-reform-bills/article_a0360efb-7352-51c2-9202-33bf3e366f2d.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Arlington,TX,University of Texas at Arlington,,50,50,50,Progressive Student Union,students,"against state legislation limiting abortion rights, against SB 8, for women's rights",1,rally,,,,,,,,,,,,http://www.fightbacknews.org/2021/9/5/texas-students-rally-women-s-rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Atlanta,GA,Georgia State Capitol,Freedom Rally,,,,,,"for freedom, for patriotism",2,rally,,,,,,,,,,,,https://twitter.com/afainatl/status/1425312368796520448,https://twitter.com/afainatl/status/1433142699704651778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Aurora,CO,"Mondelez International/Nabisco Foods, 17775 E 30th Ave",,,,,BCTGM Local 26,workers,"for a fair contract for Nabisco Bakery workers, against unfair labor practices, against outsourcing jobs to Mexico",0,strike; picket,,,,,,,,,,,,https://www.vice.com/en/article/qj8akd/were-tired-of-getting-treated-like-trash-nabisco-workers-are-striking-for-normal-hours,https://www.instagram.com/p/CS1z3XNrVtc/?utm_source=ig_web_copy_link,https://twitter.com/Dignity4_ALL/status/1428893492558790657,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Austin,TX,Texas State Capitol,Bans Off Our Bodies,around 100,100,100,Austin Students for a Democratic Society; Feminist Action Project; ACLU of Texas; Texas Freedom Network; Planned Parenthood Texas Votes,elected officials,"for abortion rights, for women's rights, against SB 8, against Texas abortion ban, abortion is healthcare",1,rally; march,,entered capitol building,,,,,,,,,,https://www.fox7austin.com/news/pro-choice-advocates-protest-abortion-law-at-texas-capitol,https://spectrumlocalnews.com/tx/south-texas-el-paso/news/2021/09/02/texans-protest-as-state-s-6-week-abortion-ban-goes-into-effect,https://twitter.com/TFN/status/1433172951268999180,https://www.aclutx.org/en/bans-off-our-bodies,https://twitter.com/PPTXVotes/status/1433111779618480130,https://twitter.com/ACLUTx/status/1433169925451960326,http://www.fightbacknews.org/2021/9/2/austin-protests-texas-governor-s-attack-women,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Big Bear Lake,CA,"BVUSD District Office, 42271 Moonridge Rd",Mask-Choice Rally,,,,Let Them Breathe,,against coronavirus mask mandate in schools,2,rally,,,,,,,,,,,,https://www.instagram.com/p/CS12cUVHOyj/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Boise,ID,Planned Parenthood - Boise Health Center,Contending for Life Tour,,,,The Church at Planned Parenthood,,"against abortion, for Christian values",2,rally,,,,,,,,,,,,https://twitter.com/CVAgainstFash/status/1428457040356204551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Brookwood,AL,Warror Met Coal Inc.,,,,,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://twitter.com/TheRealNews/status/1413205492806012929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Chicago,IL,Chicago City Hall,,,,,Collaborative for Community Wellness,elected officials,"against police responding to mental health crises, treatment not trauma, no policing in social work",1,demonstration,,delivered petitions,,,,,,,,,,https://twitter.com/SSWUChicago/status/1433121038439751681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Chicago,IL,N Michigan Ave and E Delaware Pl,,,,,,,"for federal investment in green energy and climate action and healthcare expansion and infrastructure, for citizenship for undocumented immigrants, for corporate tax reform",1,demonstration,,sat in roadway,,,unspecified,,,,,,,https://twitter.com/mandophotos/status/1433205000340115456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Chicago,IL,"Nabisco Bakery, 7300 S Kedzie Ave",,,,,BCTGM Local 300,workers,"for a fair contract for Nabisco Bakery workers, against unfair labor practices, against outsourcing jobs to Mexico",0,strike; picket,,,,,,,,,,,,https://twitter.com/MorePerfectUS/status/1428459980944990212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
