id,date,url,headline,abstract,lead_paragraph,type_of_material,section_name,blm,black lives matter,police brutality,defund police,blue lives matter,George Floyd,Breonna Taylor,Tyre Nichols,Eric Garner,Ahmaud Arbery,Tamir Rice
d90cffe6-4cc0-5a4c-94b2-5a0314a75367,2023-01-26,https://www.nytimes.com/2023/01/26/us/tyre-nichols-memphis-police.html,Five Officers Charged With Murder in Memphis Police Killing,"As the city awaits video of the fatal encounter with Tyre Nichols, a 29-year-old Black man, a law enforcement official described the footage as “absolutely appalling.”","MEMPHIS — Five Memphis police officers were charged on Thursday with second-degree murder for the death of Tyre Nichols, a 29-year-old Black man, after a traffic stop that escalated into what the authorities have described as a display of staggering brutality.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
df7952f2-c8c7-532a-98ff-f26860dbc59c,2023-01-28,https://www.nytimes.com/2023/01/28/us/tyre-nichols-death-memphis-police.html,"After Tyre Nichols Death, Officials’ Moves Reflect a Shift in Handling Police Violence","With cameras nearly everywhere, and residents wary, the authorities are moving faster and speaking critically when officers are accused of beatings.","CHICAGO — It took 13 months and an order from a judge for the authorities in Chicago to release video showing a police officer firing 16 bullets into Laquan McDonald, a Black teenager, on a busy roadway in 2014.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
e5e52b7b-01d7-5141-9ce9-2b5ed194ce8c,2023-01-26,https://www.nytimes.com/2023/01/26/nyregion/lawyers-sentenced-molotov-police-car.html,"During George Floyd Protests, 2 Lawyers’ Futures Went Up in Flames","Colinford Mattis, who was sentenced Thursday, and Urooj Rahman burned a police car. They lost their licenses to practice law. He may lose his foster children.","Colinford Mattis’s trajectory from a working-class upbringing in East New York to the Ivy League and corporate law abruptly ended at about 1 a.m. on May 30, 2020, when a Molotov cocktail ignited the center console of an empty police car during a Black Lives Matter protest.",News,New York,False,True,False,False,False,True,False,False,False,False,False
ef8c11e7-ab5d-5adb-a76a-def102ec1764,2023-01-24,https://www.nytimes.com/article/tyre-nichols-memphis-police-dead.html,What We Know About Tyre Nichols’s Lethal Encounter With Memphis Police,The union representing Fire Department employees said that the E.M.T.s who responded and were fired did not have sufficient information when they were dispatched.,"Tyre Nichols, a 29-year-old Black man, was beaten by Memphis police officers for roughly three minutes on the evening of Jan. 7, after he was stopped for what the police initially said was reckless driving. The stop escalated into a violent confrontation that ended with Mr. Nichols hospitalized in critical condition. Three days later, he died.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
f757b3eb-d961-5a15-9214-dcdce65a8150,2023-01-28,https://www.nytimes.com/2023/01/28/briefing/memphis-police-tyre-nichols-beating.html,Police Beating in Memphis,Americans once again protested after another recorded instance of police brutality.,"Memphis police officers held down Tyre Nichols, a 29-year-old Black man, and took turns punching and kicking him as he pleaded for them to stop, according to video footage released by officials yesterday. Nichols died in the hospital three days after the Jan. 7 traffic stop.",briefing,Briefing,False,False,False,False,False,False,False,True,False,False,False
febbb193-ceec-53c2-a19e-ac8888cc180d,2023-01-28,https://www.nytimes.com/2023/01/28/us/tyre-nichols-video-reaction-protests.html,Video of Memphis Officers Beating Tyre Nichols Elicits Widespread Horror,"As public officials and others condemned the actions they viewed, initial reactions from protesters around the country were largely peaceful.","MEMPHIS — The release of video footage showing Memphis police officers pummeling, kicking and pepper-spraying Tyre Nichols, a 29-year-old Black man, drew a swift avalanche of reaction from law enforcement officials, lawmakers from both parties, Black Lives Matter activists and many other people across the country.",News,U.S.,False,True,False,False,False,False,False,True,False,False,False
ive/872894eb-01c9-50c5-8934-fb504efa62dd,2023-01-28,https://www.nytimes.com/interactive/2023/01/27/us/tyre-nichols-police-beating-timeline.html,A Timeline of Tyre Nichols’s Lethal Police Encounter,Video footage released by the City of Memphis on Friday shows how Tyre Nichols suffered a severe beating after a traffic stop.,Video footage released by the City of Memphis on Friday shows how Tyre Nichols suffered a severe beating after a traffic stop.,Interactive Feature,U.S.,False,False,False,False,False,False,False,True,False,False,False
8da72e-3a8d-52b6-bcd7-98c67e0ecafd,2023-01-28,https://www.nytimes.com/video/us/100000008746158/memphis-police-tyre-nichols.html,Video Shows Memphis Police Officers Beating Tyre Nichols,"On Jan. 7 Memphis police pulled over Tyre Nichols, a 29-year-old Black man. During the traffic stop, the officers beat Mr. Nichols. Three days later he died.","On Jan. 7 Memphis police pulled over Tyre Nichols, a 29-year-old Black man. During the traffic stop, the officers beat Mr. Nichols. Three days later he died.",Video,U.S.,False,False,False,False,False,False,False,True,False,False,False
08d3d3-001a-5744-a5d3-bc3ca51ae0cc,2023-01-27,https://www.nytimes.com/video/us/100000008744347/tyre-nichols-memphis-police.html,Five Former Officers Face Murder Charges in Memphis Police Killing,"The officers have been indicted on seven felony charges that include the second-degree murder of Tyre Nichols, a 29-year old Black man who died after a confrontation with the police during a traffic stop.","The officers have been indicted on seven felony charges that include the second-degree murder of Tyre Nichols, a 29-year old Black man who died after a confrontation with the police during a traffic stop.",Video,U.S.,False,False,False,False,False,False,False,True,False,False,False
e9e0be-4dd5-5207-9fac-02ec0cf179af,2023-01-27,https://www.nytimes.com/video/us/100000008744722/tyre-nichols-vigil-memphis.html,Mother of Tyre Nichols Calls for Peaceful Protests,"Community members joined RowVaughn Wells, the mother of Tyre Nichols, and Rodney Wells, Mr. Nichols’s stepfather, at a candlelit vigil in Memphis.","Community members joined RowVaughn Wells, the mother of Tyre Nichols, and Rodney Wells, Mr. Nichols’s stepfather, at a candlelit vigil in Memphis.",Video,U.S.,False,False,False,False,False,False,False,True,False,False,False
b3c4a305-eadd-5178-aa25-64e5e4759eed,2023-01-29,https://www.nytimes.com/2023/01/29/opinion/letters/tyre-nichols-memphis-police.html,The Tyre Nichols Video: A Police Beating in Memphis,Reaction to the video of the Memphis police brutally beating a Black man. Also: The Turing test; scientific breakthroughs; big development projects.,To the Editor:,Letter,Opinion,False,False,False,False,False,False,False,True,False,False,False
c19cf898-7071-52f7-baff-eba77628fa88,2023-01-31,https://www.nytimes.com/2023/01/31/opinion/tyre-nichols-police-accountability-democracy.html,The Police Cannot Be a Law Unto Themselves,"Right now, the institution of American policing lies outside any meaningful democratic control.","In 2020, during the weeks of protest and civil unrest that followed the murder of George Floyd at the hands of a Minneapolis police officer, I argued that the problem of police violence and misconduct was a problem of democracy. And this week, in the wake of yet another police killing caught on camera, I think it’s worth saying, again, that the institution of American policing lies outside any meaningful democratic control.",Op-Ed,Opinion,False,False,False,False,False,True,False,False,False,False,False
c3b5edd7-cace-588d-ab03-2fa2f61101cb,2023-01-31,https://www.nytimes.com/2023/01/30/us/politics/tyre-nichols-parents-state-of-the-union.html,Tyre Nichols’s Parents to Attend State of the Union Address,"“It’s important for them to be here in the gallery that night to listen to the president,” said the chairman of the Congressional Black Caucus, who invited them.","WASHINGTON — The parents of Tyre Nichols, a 29-year-old Black man who died after being beaten by police officers in Memphis, will attend President Biden’s State of the Union address next week, the chairman of the Congressional Black Caucus said on Monday.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
c7715648-c4eb-5ec1-8258-915af9cb13c4,2023-01-10,https://www.nytimes.com/2023/01/10/books/review/the-riders-come-out-at-night-ali-winston-darwin-bondgraham.html,"What Oakland, Calif., Tells Us About Why Police Reform Is So Hard","“The Riders Come Out at Night,” by Ali Winston and Darwin BondGraham, is a case study of corruption and reform within a single police department — with implications for all of us.","It’s been more than two years since protesters filled the streets of America’s cities, since we all saw the video of a police officer’s knee on George Floyd’s neck. And yet killings at the hands of law enforcement, by various metrics, continue at a steady pace.",Review,Books,False,False,False,False,False,True,False,False,False,False,False
c9c0642a-2e4b-561e-97b4-09ecdceab5c8,2023-01-29,https://www.nytimes.com/2023/01/29/us/tyre-nichols-video-assault-cops.html,71 Commands in 13 Minutes: Officers Gave Tyre Nichols Impossible Orders,A Times analysis found that officers gave dozens of contradictory and unachievable orders to Mr. Nichols. The punishment was severe — and eventually fatal.,"Police officers unleashed a barrage of commands that were confusing, conflicting and sometimes even impossible to obey, a Times analysis of footage from Tyre Nichols’s fatal traffic stop found. When Mr. Nichols could not comply — and even when he managed to — the officers responded with escalating force.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
ca26e3b5-01a5-5cf3-ba84-dd93c5a62072,2023-01-29,https://www.nytimes.com/2023/01/29/briefing/memphis-nichols-us-israel-asia.html,Your Monday Briefing: The Fallout from a Police Beating,"Also, violence is flaring in Israel and the West Bank.","The release of a video on Friday showing five officers with the Memphis Police Department pummeling and pepper-spraying Tyre Nichols, a 29-year-old Black man, prompted horror and disgust from law enforcement officials, lawmakers and other people across the U.S.",briefing,Briefing,False,False,False,False,False,False,False,True,False,False,False
cae77496-ac93-5b88-b4c5-9b16296b9f29,2023-01-30,https://www.nytimes.com/2023/01/30/us/memphis-officer-suspended-tyre-nichols.html,Two More Memphis Police Officers Are Suspended in Tyre Nichols’s Death,"One officer, Preston Hemphill, used a stun gun that hit Mr. Nichols in the torso, according to a police report on the incident.","MEMPHIS — The Memphis Police Department confirmed on Monday that two additional officers had been taken off duty in connection with the death of Tyre Nichols, saying little except that the two were under investigation as city officials and prosecutors worked to determine who beyond the five officers already charged with second-degree murder should be held responsible.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
cd584ce6-cdcc-5c83-9da5-ca34239754e3,2023-01-28,https://www.nytimes.com/2023/01/27/us/tyre-nichols-rodney-king.html,Video images of Tyre Nichols being beaten draw comparisons to Rodney King’s beating by police officers.,"A camcorder video of L.A.P.D. officers repeatedly striking King in 1991 circulated widely, long before police body camera footage and cellphone video of altercations involving officers became common.","LOS ANGELES — Video images of Memphis police officers beating Tyre Nichols have drawn comparisons to shocking footage of a watershed episode more than three decades ago, in which a group of officers repeatedly struck a Black motorist as he lay on the street.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
d3b29a94-2b30-516b-a579-f63cdba56ec6,2023-01-29,https://www.nytimes.com/2023/01/29/us/emt-tyre-nichols-response-video.html,Video of Tyre Nichols Beating Raises Questions About Medical Response,Two emergency medical technicians who first evaluated Mr. Nichols have been suspended until an investigation is complete.,"MEMPHIS — Tyre Nichols writhed in pain on the pavement after being beaten by Memphis police officers. His back was against a police car, his hands were cuffed and his face was bloody. He was groaning, and he kept falling over.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
d56dc2f6-93d1-5e0b-9647-d1154415fe2f,2023-01-26,https://www.nytimes.com/2023/01/26/us/memphis-police-reforms.html,The Memphis police enacted reform measures in 2020.,The changes came after the high-profile killings of George Floyd and Breonna Taylor by law enforcement officers.,"In 2020, the city of Memphis voted to require the Memphis Police Department to enact policies designed to reduce the use of excessive force by officers. The measures came in the wake of the high-profile killings of George Floyd and Breonna Taylor by law enforcement officers.",News,U.S.,False,False,False,False,False,True,True,False,False,False,False
1588f310-9cd9-53de-944f-62136d2884df,2023-01-28,https://www.nytimes.com/2023/01/27/us/tyre-nichols-video-memphis.html,Tyre Nichols Cried in Anguish. Memphis Officers Kept Hitting.,"Video footage of the fatal encounter included critical moments in which police officers kicked, punched and pepper-sprayed Mr. Nichols, 29, while he screamed.","MEMPHIS — The police officers kicked Tyre Nichols in the head, pepper-sprayed him and hit him repeatedly with a baton, even as he showed no signs of fighting back. At one point, after Mr. Nichols stood up, one officer struck him with at least five forceful blows while another held Mr. Nichols’s hands behind his back.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
284ec42b-70d3-51aa-9a9b-f0b4e63db84a,2023-01-29,https://www.nytimes.com/2023/01/29/opinion/tyre-nichols-police-scorpion.html,Tyre Nichols’s Death Proves Yet Again That ‘Elite’ Police Units Are a Disaster,"They shatter the trust of the community, and the results can be deadly.","The website of the Memphis Police Department includes an entire section called “Reimagine Policing.” The introduction emphasizes that trust is the key to effective law enforcement and proclaims the department’s participation in reform efforts such as President Barack Obama’s 21st Century Policing program, de-escalation training and the “8 Can’t Wait” reforms proposed by the group Campaign Zero.",Op-Ed,Opinion,False,False,False,False,False,False,False,True,False,False,False
2853f673-42c8-5b2e-8e06-aef10ae102eb,2023-01-27,https://www.nytimes.com/2023/01/27/us/tyre-nichols-video-release-time.html,Release of police video is timed with public reaction in mind.,Sometimes body camera footage is made public within hours; other times it takes months. Memphis officials chose a time when businesses would be closed and the charges over Tyre Nichols’s death were already known.,"Bracing for public outrage, the authorities in Memphis have chosen to wait until shortly after 6 p.m. Central time on Friday to release video of the police encounter that resulted in Tyre Nichols’s death.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
2ada4e00-0a48-5a79-9f47-62afb1688798,2023-01-17,https://www.nytimes.com/2023/01/17/opinion/dei-trainings-effective.html,What if Diversity Training Is Doing More Harm Than Good?,It might even make things worse.,"Diversity training has been around for decades, long before the country’s latest round of racial reckoning. But after George Floyd’s murder — as companies faced pressure to demonstrate a commitment to racial justice — interest in the diversity, equity and inclusion (D.E.I.) industry exploded. The American market reached an estimated $3.4 billion in 2020.",Op-Ed,Opinion,False,False,False,False,False,True,False,False,False,False,False
30ad68cd-b0a4-5414-b7ce-a10e2ad61580,2023-01-05,https://www.nytimes.com/2023/01/05/arts/music/vincente-lusitano.html,A Black Composer’s Legacy Flourishes 500 Years After His Birth,"The reputation of Vicente Lusitano, one of the earliest known composers of African descent active in Europe, was thwarted for centuries.","On a day in June 2020, Alice Jones was in her Brooklyn apartment getting ready to attend a Black Lives Matter rally. Dr. Jones, a flutist and composer who serves as an assistant dean and faculty member at the Juilliard School, was adamant about expressing herself as a Black classical musician.",News,Arts,False,True,False,False,False,False,False,False,False,False,False
315cc39a-d32b-5794-b314-046b44f79ea3,2023-01-27,https://www.nytimes.com/2023/01/27/us/tyre-nichols-memphis-sacramento.html,"From Sacramento to Memphis, Tyre Nichols Cut His Own Path","Social media posts show that Mr. Nichols harbored a mistrust of prevailing government and economic systems, yet, a friend says, he also considered trying to change policing from the inside.","Before Tyre Nichols moved to Memphis — before he was brutally beaten on a Saturday night by police officers there — he lived in California, in the Sacramento area, where he hung out with a crowd of skateboarders.",News,U.S.,False,False,False,False,False,False,False,True,False,False,False
3347b00b-799b-59c3-a105-d408d783c403,2023-01-30,https://www.nytimes.com/2023/01/30/learning/the-death-of-tyre-nichols-a-place-for-teenagers-to-respond.html,The Death of Tyre Nichols: A Place for Teenagers to Respond,"We invite you to post your thoughts, emotions, reactions and questions in this moderated forum.","Note to teachers: As always, please preview this to make sure it is appropriate for your students. You can find additional teaching resources on systemic racism, policing, protesting and more at the bottom of this post.",News,The Learning Network,False,False,False,False,False,False,False,True,False,False,False
