id,type,section,date,headline,url,category,standfirst,lead_paragraph,Black Lives Matter,BLM,Police Brutality,George Floyd,Breonna Taylor,Tyrel Nichols,Ahmaud Abery,Blue Lives Matter
painter-amy-sherald-michelle-obama-breonna-taylor-interview,article,artanddesign,2022-10-10,‘everything i do is saying black lives matter’: how artist amy sherald defined an era,https://www.theguardian.com/artanddesign/2022/oct/10/painter-amy-sherald-michelle-obama-breonna-taylor-interview,Arts,"She has painted Michelle Obama and her depiction of Breonna Taylor was called the most important painting of the 21st century. Now, in a new show, Sherald highlights Black subjects who aretrong> trong>centre stage in America’s historical moments","amy sherald just needs 10 minutes. for the artist, a small period of alone time each morning is the goal, but it’s easier said than done. “i try to wake up before everybody and have 10 minutes of quiet,” says sherald, who lives with her partner, kevin pemberton, and her mother. “once [my mom] hears me up, she’s like: ‘hello! it’s amy and mom time,’” sherald says with a laugh.",False,False,False,False,False,False,False,False
leicestershire-commissioner-settled-tribunal-claim-after-closing-own-ethics-committee,article,uk-news,2023-01-20,leicestershire crime commissioner settled tribunal claim after closing own ethics committee,https://www.theguardian.com/uk-news/2023/jan/20/leicestershire-commissioner-settled-tribunal-claim-after-closing-own-ethics-committee,News,Commissioner denies claim committee was closed because it raised concerns about Black Lives Matter comments,"leicestershire’s police and crime commissioner was taken to an employment tribunal by his ethics committee after they alleged he closed down the group because they had raised concerns about comments he made condemning black lives matter, it has been revealed.",False,False,False,False,False,False,False,False
the-killing-of-kenneth-chamberlain-review-tense-reconstruction-of-fatal-police-encounter,article,film,2022-05-04,the killing of kenneth chamberlain review – tense reconstruction of fatal police encounter,https://www.theguardian.com/film/2022/may/04/the-killing-of-kenneth-chamberlain-review-tense-reconstruction-of-fatal-police-encounter,Arts,Simply depicting the events that led to the death of a former marine leaves audiences to draw their own parallels with the killings of George Floyd and Breonna Taylor,"the first word that would pop into your brain to describe this drama, based on actual events, is “timely”. but, tragically, that means little given the regularity with which people die at the hands of us police, either by accident or design. the killing at the centre of director david midell’s almost unbearably tense film  happened in white plains, ny, in 2011. however, as there are only audio recordings, forensic reports and witness statements to document what happened, chamberlain’s death didn’t capture the public imagination in the same way that george floyd’s or breonna taylor’s did in 2020, for example.",False,False,False,False,False,False,False,False
swansea-black-lives-matter-british-blm-group-closes-down-after-police-infiltration-attempt,article,uk-news,2022-02-15,british blm group closes down after police infiltration attempt,https://www.theguardian.com/uk-news/2022/feb/15/swansea-black-lives-matter-british-blm-group-closes-down-after-police-infiltration-attempt,News,Swansea Black Lives Matter says covert police operations and far-right threats made supporters scared to join,a black lives matter group in south wales has closed down after revelations that a covert police unit attempted to recruit one of its members to be an informant.,False,True,False,False,False,False,False,False
black-lives-matter-co-founder-cousin-killed-los-angeles-police,article,us-news,2023-01-12,teacher and cousin of black lives matter founder ‘tased to death’ by lapd,https://www.theguardian.com/us-news/2023/jan/11/black-lives-matter-co-founder-cousin-killed-los-angeles-police,News,"‘He needed help and was killed,’ says Patrisse Cullors, as police are seen repeatedly using stun gun on him after traffic accident","a cousin of black lives matter co-founder patrisse cullors was killed by los angeles police after he got in a traffic accident and officers who showed up repeatedly tased and restrained him in the middle of the street, according to body-camera footage and his family’s account.",True,False,False,False,False,False,False,False
black-men-tyre-nichols-death-not-normal-tayo-bero,article,commentisfree,2023-01-31,i’m tired of watching black men like tyre nichols die. this shouldn’t be normal | tayo bero,https://www.theguardian.com/commentisfree/2023/jan/31/black-men-tyre-nichols-death-not-normal-tayo-bero,Opinion,Viral police brutality videos have become a morbid reminder of the fragility of Black life in America,i’m probably one of the few people who hasn’t seen the video footage of 29-year-old tyre nichols being beaten to death by five memphis police officers.,False,False,False,False,False,False,False,False
black-lives-matter-grassroots-lawsuit-global-foundation,article,world,2022-09-02,black lives matter grassroots chapters sue global foundation over funds,https://www.theguardian.com/world/2022/sep/02/black-lives-matter-grassroots-lawsuit-global-foundation,News,"Coalition sues foundation, alleging mismanagement: ‘The assets that we built are under control of consultants’","a coalition of black lives matter chapters has filed a lawsuit against the blm global network foundation, a non-profit organization that grew out of the protest movement, accusing the foundation of defrauding the local activist groups.",True,False,False,False,False,False,False,False
the-stars-of-top-boy-are-drug-dealers-going-to-black-lives-matter-marches-i-doubt-it,article,tv-and-radio,2022-02-25,the stars of top boy: ‘are drug dealers going to black lives matter marches? i doubt it’,https://www.theguardian.com/tv-and-radio/2022/feb/25/the-stars-of-top-boy-are-drug-dealers-going-to-black-lives-matter-marches-i-doubt-it,Arts,"Britain’s edgiest crime drama is about to return – and this time its scope is bigger than ever. Ashley Walters, Little Simz, Kano and more discuss turning Drake down, the call of Hollywood and not being able to depict BLM","you know a show has made it when it’s prepared to say no to its main backer, especially when that backer is a megastar rapper who is singlehandedly responsible for the show even being on tv. “when we first met drake to talk to him about helping us to revive the series, he said, ‘look, i’d love to be in it!’” says top boy creator ronan bennett, but this offer gave him a problem. “if drake were to appear, it would have been a distraction. it would be hard to maintain top boy’s level of authenticity – so it didn’t happen.”",True,False,False,False,False,False,False,False
africa-centre-turning-point-black-british-cultural-institutions-funding,article,commentisfree,2022-07-01,the africa centre is back. now will britain finally embrace all of its cultural heritage? | jason okundaye,https://www.theguardian.com/commentisfree/2022/jul/01/africa-centre-turning-point-black-british-cultural-institutions-funding,Opinion,The famous centre was forced to uproot itself from Covent Garden. Then came Black Lives Matter. Maybe this time it will be treasured,"when the decision to sell the africa centre’s premises on king street in covent garden, london, was announced in 2011, there was significant pushback, both from british people of african heritage and the international african diaspora.  href=""https://nam12.safelinks.protection.outlook.com/?url=https%3a%2f%2fwww.theguardian.com%2fcommentisfree%2f2011%2fjun%2f03%2fdesmond-tutu-africa-centre-sale&amp;data=05%7c01%7c%7c7c9ad32855de4771d48908da5a997eec%7c84df9e7fe9f640afb435aaaaaaaaaaaa%7c1%7c0%7c637921912549422361%7cunknown%7ctwfpbgzsb3d8eyjwijoimc4wljawmdailcjqijoiv2lumziilcjbtii6ik1hawwilcjxvci6mn0%3d%7c3000%7c%7c%7c&amp;sdata=twzdggtxht5eacrfvt5evbxtepmiczoeocyh8f6wp80%3d&amp;reserved=0"" title=""protected by outlook: https://www.theguardian.com/commentisfree/2011/jun/03/desmond-tutu-africa-centre-sale. click or tap to follow the link."">archbishop desmond tutu wrote in the guardian that he was “distressed to hear that the trustees of the centre had decided to sell the lease of the centre without consulting members of the charity or the wider african diaspora”.",False,False,False,False,False,False,False,False
kelly-goodlett-breonna-taylor-guilty-plea-civil-rights-police,article,us-news,2022-08-23,former detective pleads guilty to civil rights violations in breonna taylor case,https://www.theguardian.com/us-news/2022/aug/23/kelly-goodlett-breonna-taylor-guilty-plea-civil-rights-police,News,Ex-Louisville detective Kelly Goodlett is first conviction in case of Black woman killed by police in her own home in Kentucky,"former louisville detective  kelly goodlett pleaded guilty to a federal charge of conspiracy on tuesday for her role in the infamous police shooting of breonna taylor, a black woman killed in her home, offering the first criminal conviction in a case that ignited nationwide protests over racial justice and police brutality.",False,False,False,False,True,False,False,False
