CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Alexandria,Jones Avenue,Rapides Parish,LA,US,2019-04-01,about two dozen,24,,24,,,general protestors,Education; Against closure/relocation,0,protest,0,0,0,0,1,1,https://www.thetowntalk.com/story/news/2019/04/01/teachers-parents-protest-bid-save-our-smith/3337085002/,,20964,
Atlanta,State Capitol,Fulton,GA,US,2019-04-01,,,,,,,general protestors,Civil Rights; for abortion rights,0,protest,0,0,0,0,1,1,https://www.michigansthumb.com/news/medical/article/Alyssa-Milano-leads-protest-of-Georgia-abortion-13736514.php,,,
Baltimore,North and Hilton; North and Milton,Baltimore,MD,US,2019-04-01,,,,,,,Hands Across Baltimore,Against violence; Other,0,march; rally,0,0,0,0,1,1,http://foxbaltimore.com/news/local/organizers-hold-hands-across-baltimore-anti-violence-community-rally,,20958,
Berkeley,California Hall at UC Berkeley,Alameda,CA,US,2019-04-01,about 30,30,,30,,,general protestors,For disability rights; Civil Rights,0,rally,0,0,0,0,1,1,http://www.dailycal.org/2019/04/01/uc-berkeley-community-rallies-for-proposed-disability-cultural-center/,,20969,
Chicago,Cook County State Attorney Kim Foxx's Office,Cook,IL,US,2019-04-01,several dozen,36,,36,,,Fraternal Order of the Police,For criminal justice; For supporting police,2,protest,0,0,0,0,1,1,https://www.wane.com/news/national-world/rev-jackson-plans-rally-in-support-of-chicago-prosecutor/1891066007,https://www.channel3000.com/news/national-news/dueling-protesters-in-chicago-debate-future-of-prosecutor-kim-foxx/1064857364,20942,
Chicago,Daley Plaza,Cook,IL,US,2019-04-01,,,,,,,general protestors,Civil Rights; for racial justice,0,protest,0,0,0,0,0,1,https://wgntv.com/2019/04/01/competing-rallies-over-jussie-smollett-being-held-today/,,,
Chicago,Chicago Temple,Cook,IL,US,2019-04-01,,,,,,,Jackson's Rainbow/ PUSH Coalition,For racial justice; Civil Rights,0,rally,0,0,0,0,0,1,https://www.wane.com/news/national-world/rev-jackson-plans-rally-in-support-of-chicago-prosecutor/1891066007,,20943,
Cleveland,Progressive Field,Cuyahoga,OH,US,2019-04-01,about 15,15,,15,,,general protestors,Civil Rights; for racial justice,0,protest,0,0,0,0,1,1,https://www.cleveland.com/news/2019/04/watch-chief-wahoo-indians-name-protesters-gather-outside-progressive-field-for-home-opener-2019.html,https://lasvegassun.com/news/2019/mar/23/chief-wahoo-protest-will-go-on-despite-removal-fro/,,
Honolulu,Oahu,Honalulu,HI,US,2019-04-01,,,,,,,general protestors,Other; For homeless residents ,0,rally,0,0,0,0,1,1,https://www.kitv.com/story/40234047/programs-that-depend-on-state-money-to-serve-hawaiis-homeless-rallied-monday,,,
Lexington,University of Kentucky,Fayette,KY,US,2019-04-01,over 100,100,,100,,,University of Kentucky students,Civil Rights; For racial justice; For food security,0,protest,0,0,0,0,1,1,https://www.kentucky.com/latest-news/article228752824.html,,20960,multiday
Louisville,University of Louisville,Jefferson,KY,US,2019-04-01,about 10,10,,10,,,Sunrise Movement,Against congressional representative; Legislative; Environment; Against fossil fuels,1,protest,0,0,0,0,1,1,https://www.courier-journal.com/story/news/politics/2019/04/01/mitch-mcconnell-protested-at-louisville-event-with-tim-kaine/3311304002/,,20951,
Nashville,State House,Davidson,TN,US,2019-04-01,several,3,,3,,,general protestors,Civil Rights; For abortion rights,1,protest,0,0,0,0,1,1,https://www.newschannel5.com/news/activists-pack-state-capitol-to-protest-against-fetal-heartbeat-bill,,20972,
Newburgh,ICE office,Orange,NY,US,2019-04-01,about two dozen,24,,24,,,general protestors,Immigration; For compassionate immigration,1,rally,0,0,0,0,1,1,https://www.dailyfreeman.com/news/local-news/dozens-rally-at-ice-office-for-new-paltz-man-jailed/article_41b881d6-5540-11e9-96c8-93eecb18c3dd.html,,,
Oroville,Southside Oroville,Butte,CA,US,2019-04-01,about 30-40,30,,40,,,general protestors,Other; Against hazardous conditions,0,protest,0,0,0,0,1,1,http://www.orovillemr.com/southside-protesters-want-action-on-blighted-properties,,20966,
