CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6
Austin,Legislative buildings,TX,US,2017-08-01,about 250,250,,250,,,general protestors,Protesting legislature's proposed agenda,0,protest,0,0,0,0,1,1,http://www.kvue.com/news/local/woman-makes-protest-banner-out-of-sari-and-wears-it-into-capitol/461189040,http://www.statesman.com/news/the-capitol-faith-leaders-rally-against-transgender-bathroom-bills/2ThHvtFSLqizYYMbn2re5I/,,,,,
Austin,south steps of state capitol,TX,US,2017-08-01,about 200; about 250,200,,250,,,Texas Impacts,Oppose Texas's anti-transgender bathroom bill,1,rally,0,0,0,0,1,1,http://www.thedailystar.com/cnhi_network/religious-leaders-protest-privacy-legislation-as-deadline-looms/article_d9e71a51-869d-5020-9cfb-37f0d52fe7a7.html,http://www.khou.com/news/politics/religious-groups-protest-at-state-capitol-over-bathroom-bill/461127601,http://www.statesman.com/news/the-capitol-faith-leaders-rally-against-transgender-bathroom-bills/2ThHvtFSLqizYYMbn2re5I/,,,,
Austin,State Capitol,TX,US,2017-08-01,some 320,320,,320,,,First Baptist Church of Austin; Friends Church in College Station; Bering Memorial Methodist Church; Friends Congregational Church; United Church of Christ in College Station ,Oppose Texas's anti-transgender bathroom bill,1,rally,0,0,0,0,1,1,http://www.cleburnetimesreview.com/cnhi_network/religious-leaders-protest-privacy-legislation-as-deadline-looms/article_464ac79c-661f-5128-b5c4-30f841ae57c8.html,http://www.athensreview.com/news/local_news/religious-leaders-protest-privacy-legislation/article_2adbc9a8-77cc-11e7-90c8-fbc6ed60ff51.html,http://www.itemonline.com/news/religious-leaders-protest-bathroom-bill-as-deadline-looms/article_b8ee7c2f-917f-5a6f-9a9a-e4623034e2b2.html,,,,
Chapel Hill,University of North Carolina,NC,US,2017-08-01,,,,,,,general protestors,Protesting litigation ban on UNC law school civil rights center,0,protest,0,0,0,0,1,1,http://www.dailytarheel.com/article/2017/08/center-civil-rights-protest,,,,,,
Cold Spring,Cold Spring Brewing,NY,US,2017-08-01,NA,5,,5,,,Cold Spring Brewing workers,Protesting working conditions,0,protest; walk-out,0,0,0,0,1,1,http://www.sctimes.com/story/news/local/2017/08/01/workers-protest-conditions-cold-spring-brewing/529102001/,,,,,,
Fort Worth,City Hall,TX,US,2017-08-01,about 400,400,,400,,,United Fort Worth,Protesting TX's anti-sanctuary city bill,1,protest,0,0,0,0,1,1,http://www.nbcdfw.com/news/local/Hundreds-Rally-Against-Sanctuary-Cities-Law-in-Fort-Worth-437977683.html,http://www.star-telegram.com/news/local/community/fort-worth/article164890662.html,http://www.star-telegram.com/news/local/community/fort-worth/article164890662.html,,,,
Fort Worth,City Hall,TX,US,2017-08-01,NA,2,,2,,,general protestors,Counter-protest; supporting TX's anti-sanctuary city bill,2,protest,0,0,0,0,1,1,http://www.nbcdfw.com/news/local/Hundreds-Rally-Against-Sanctuary-Cities-Law-in-Fort-Worth-437977683.html,http://www.star-telegram.com/news/local/community/fort-worth/article164890662.html,,,,,
Hendersonville,Outside the Historic Courthouse,NC,US,2017-08-01,about 80,80,,80,,,Progressive Organized Women of Hendersonville,Campaign rally for Democratic candidate Phillip Price,1,rally,0,0,0,0,1,1,http://www.blueridgenow.com/news/20170801/us-house-candidate-price-talks-policy-positions-at-pow-rally,,,,,,
Los Angeles,Pershing Square,CA,US,2017-08-01,,,,,,,general protestors,"Against deportation, detention of LA man",1,protest,0,0,0,0,1,1,http://losangeles.cbslocal.com/2017/08/01/rally-father-of-4-faces-deportation/,,,,,,
Marquette,Intersection of 3rd St. and Mechanic St.,MI,US,2017-08-01,several hundred,200,,200,,,Michigan Nurses Association,Protesting policy of understaffing hospital workers,0,protest,0,0,0,0,1,1,http://www.uppermichiganssource.com/content/news/Nurses-protest-staffing-policies-at-UP-Health-System---Marquette-437972003.html,http://www.mininggazette.com/news/2017/08/nurses-rally-in-marquette/,,,,,
