CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5
Kansas City,outside the Truman,Jackson,MO,US,2019-12-01,about a dozen,12,,12,,,Westboro Baptist Church,anti-LGBTQ,0,protest,0,0,0,0,1,1,https://www.billboard.com/articles/news/pride/8545161/kim-petras-counter-protests-westboro-baptist-church,,,,,
San Diego,Hillcrest,San Diego,CA,US,2019-12-01,,,,,,,general protestors,promote AIDS awareness,0,vigil,,,,,1,1,https://twitter.com/ReporterCassie/status/1201294825326170112,,,,,
San Francisco,outside Moscone Center,San Francisco,CA,US,2019-12-01,,,,,,,general protestors,support clean cars; support climate change action; pro-environment,0,protest,,,,,1,1,https://twitter.com/Laurel_Standley/status/1202408364178673664,,,,,
Terre Haute,Hellman Hall at St. Benedict Catholic Church ,Vigo ,IN ,US,2019-12-01,,,,,,,general protesters,Against death penalty,1,Protest,0,0,0,0,1,1,https://www.tribstar.com/news/local_news/updated-execution-protest-event-set-for-sunday-in-terre-haute/article_d9709b3d-6267-5389-abdc-5afa2e0f5a7e.html,,,,,
Washington,outside White House,DC,DC,US,2019-12-01,,,,,,,general protestors,against Government of Iran; demand prisoner release,0,protest,,,,,1,1,https://twitter.com/OrgIAC/status/1201216490382356480,,,,,
Annapolis,,Anne Arundel ,MD,US,2019-12-02,,,,,,,Fridays for Future,For climate change action ,1,March; rally,0,0,0,0,1,1,https://www.capitalgazette.com/environment/ac-cn-fridays-future-1207-20191205-wofvctn37zbefcxgbyquccqldi-story.html,,,,,
Cambridge,University Hall; Harvard University,Middlesex,MA,US,2019-12-02,roughly 50,50,,50,,,general protestors,protest tenure denial and failure to establish an Ethnic Studies dept.,0,sit-in,0,0,0,0,1,1,https://twitter.com/harvarddiverse/status/1201601836148543493,https://www.thecrimson.com/article/2019/12/3/garcia-pena-tenure-denial-protest/#.XeYPFapnW_M.facebook,,,,
Lorain,Clearview local school buildings,Lorain,OH,US,2019-12-02,,,,,,,Clearview Education Association,For fair settlement with Clearview Education Association's bargaining team ,0,Protest,0,0,0,0,1,1,https://www.morningjournal.com/news/lorain-county/clearview-schools-teachers-protest-lack-of-settlement/article_c1063a5a-1534-11ea-a046-b71d1ee16f6d.html,,,,,
Madison,University of Wisconsin ,Dane,WI,US,2019-12-02,,,,,,,University of Wisconsin students,,0,Protest,0,0,0,0,1,1,https://badgerherald.com/news/2019/12/02/students-protest-removal-of-multicultural-learning-center-house-fellow/,,,,,
Milford ,McDonald's,New Haven ,CT,US,2019-12-02,,,,,,,McDonald's workers; immigrant workers,In support of forming a union ,0,Protest,0,0,0,0,1,1,https://www.wtnh.com/news/connecticut/workers-rally-to-form-union-at-mcdonalds/,,,,,
New York,outside Beacon High School,New York,NY,US,2019-12-02,roughly 300,300,,300,,,students; Teens Take Charge,against segregation; against current admissions policy,0,protest,0,0,0,0,1,1,https://www.nytimes.com/2019/12/02/nyregion/nyc-beacon-high-school-walkout.html,,,,,
New York ,Astoria ,Queens,NY,US,2019-12-02,,,,,,,general protesters,Against Stipulated Fine Program ,0,Rally,0,0,0,0,0,1,https://qns.com/story/2019/12/02/astoria-councilman-rallies-on-cyber-monday-to-argue-that-pre-set-fine-program-for-delivery-trucks-makes-streets-unsafe/,,,,,
New York ,Beacon High School; Manhattan,New York ,NY,US,2019-12-02,more than 300 ,300,,300,,,Beacon High School students,Against racist admissions process at high school ,0,Protest,0,0,0,0,0,1,https://www.nytimes.com/2019/12/02/nyregion/nyc-beacon-high-school-walkout.html,,,,,
Rochester,,Monroe,NY,US,2019-12-02,more than three dozen,36,,36,,,general protesters,"Against ""anti-annoyance"" bill ",0,Protest,0,0,0,0,1,1,https://www.democratandchronicle.com/story/news/2019/12/02/anti-annoyance-law-monroe-county-cheryl-dinolfo-rpd/2587016001/,,,,,
San Bernardino,Amazon center,San Bernardino ,CA,US,2019-12-02,roughly 100,100,,100,,,general protesters,Against Amazon's poor labor practices and negative affects on local air quality,0,Protest,0,0,0,0,1,1,https://www.sbsun.com/2019/12/02/protesters-at-amazons-san-bernardino-center-demand-better-pay-air-quality/,,,,,
Washington,outside US Supreme Court,DC,DC,US,2019-12-02,,,,,,,general protestors; Gays Against Guns,pro-gun control; anti-NRA,1,rally,,,,,1,1,https://www.bradyunited.org/act/nra-supreme-court-new-york-rifle?,https://act.everytown.org/event/scotus-gun-laws-save-lives-rally-brady/29931/signup?,https://demcastusa.com/2019/12/06/gays-against-guns-protest-in-dc/,,,
Boca Raton ,Geo Group's Boca Raton headquarters,Palm Beach,FL,US,2019-12-03,fewer than 10 ,10,,10,,,general protesters,Against the mistreatment of undocumented immigrant detainees,1,Protest,9,0,0,0,1,1,https://www.sun-sentinel.com/local/palm-beach/boca-raton/fl-ne-boca-raton-geo-group-protest-arrest-20191203-oydkoivt3vghreqp2wlisejone-story.html,,,,,
Greenwood,Leflore County Courthouse,Leflore,MS,US,2019-12-03,,,,,,,New Order National Human Rights Organization ,Against the city's decision to reinstate Jeri Bankston to the rank of lieutenant in the police department,0,Protest,0,0,0,0,1,1,https://www.gwcommonwealth.com/news/article_12b4b292-164c-11ea-a744-6fbe24d00fcb.html,,,,,
Long Beach,Cal State Long Beach,Los Angeles,CA,US,2019-12-03,,,,,,,general protesters,Against sexual violence,1,Protest,0,0,0,0,1,1,https://www.latimes.com/entertainment-arts/story/2019-12-10/the-viral-protest-a-rapist-in-your-path-is-catchy-defiant-an-the-anthem-for-2019,,,,,
Los Angeles,Boyle Heights,Los Angeles,CA,US,2019-12-03,count pic,23,,23,,,general protestors,support tenant rights,0,march,,,,,1,1,https://twitter.com/LATenantsUnion/status/1201978231450030081,,,,,
Los Angeles,Outside Los Angeles Police Department headquarters,Los Angeles,CA,US,2019-12-03,,,,,,,Black Lives Matter,Against police violence,0,Rally,0,0,0,0,1,1,https://www.dailynews.com/2019/12/03/presidential-candidate-julian-castro-to-join-black-lives-matter-protest-outside-lapd-hq/,,,,,
New Orleans,In front of the RTA building on Canal Street,New Orleans City,LA,US,2019-12-03,several dozen; more than 100,36,,100,,,Algiers Point residents,Against lack of ferry service,0,Protest,0,0,0,0,1,1,https://www.nola.com/news/article_4617d36a-162b-11ea-913e-13ad79d951ab.html,,,,,
New York ,Herald Square; Manhattan,New York ,NY,US,2019-12-03,,,,,,,general protesters,In support of International Day of Persons with Disabilities ,0,Rally,0,0,0,0,1,1,https://www.pix11.com/news/local-news/riders-rally-for-more-accessible-transit-stations-in-nyc,,,,,
Salt Lake City,State Capitol,Salt Lake,UT,US,2019-12-03,roughly 200 ,200,,200,,,general protesters,Supporting the ratification of the Equal Rights Amendment ,0,Protest,0,0,0,0,1,1,https://www.sltrib.com/news/2019/12/03/lds-church-announces-it/,,,,,
Salt Lake City,State Capitol ,Salt Lake,UT,US,2019-12-03,,,,,,,The Church of Jesus Christ of Latter-day Saints,Against the ratification of the Equal Rights Amendment ,0,Protest,0,0,0,0,1,1,https://www.sltrib.com/news/2019/12/03/lds-church-announces-it/,,,,,
South Burlington,Chittenden County Sheriff Department ,Chittenden,VT,US,2019-12-03,,,,,,,Migrant Justice,Against the detention of a migrant farmworker,1,Protest,0,0,0,0,1,1,https://vtdigger.org/2019/12/02/migrant-justice-plans-protest-over-traffic-stop-leading-to-farmworkers-detention/,,,,,
Tuscon,Arizona Capitol ,Pima,AZ,US,2019-12-03,about 100,100,,100,,,National Organization for Women,Against poor conditions of federal immigration detention centers for women and girls,1,Protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/phoenix/2019/12/09/now-rally-draws-attention-conditions-ice-detention-centers/4360312002/,,,,,
Utica ,City Hall,Oneida,NY,US,2019-12-03,,,,,,,general protesters,For more state funding for education ,0,Rally,0,0,0,0,1,1,https://www.uticaod.com/news/20191203/utica-area-students-advocates-rally-for-education-funding,,,,,
Winnfield,inside Winn Correctional Center,Winn,LA,US,2019-12-03,about 50,50,,50,,,detainees,against being detained; protets treatment of asylum seekers,1,protest,0,0,0,0,1,1,https://www.yahoo.com/news/ice-protest-louisiana-jail-ends-165848223.html?.tsrc=fauxdal,,,use of pepper spray on protestors,,
Cleveland,Cleveland State University courtyard,Cuyahoga,OH,US,2019-12-04,,,,,,,general protestors,against domestic violence and sexual assault,0,protest,,,,,1,1,https://twitter.com/Lil_TK21/status/1198761730353983488,,,,,
Davis,,Yolo,CA,US,2019-12-04,several ,,,,,,registered nurses at UC Davis Health ,Against the system's failure to comply with a Cal/OSHA regulation requiring workplace violence prevention plans,0,Protest,0,0,0,0,1,1,https://www.sacbee.com/latest-news/article238039179.html,,,,,
