date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-12-01,Albany,NY,New York State Capitol,,,,,,farmers; state lawmakers,"against state Wage Board’s pending decision to lower the agricultural overtime threshold to 40 hours, for keeping 60-hour work week cap for farm workers",0,rally; press conference,,letter delivery; presser on staircase inside capitol,,,,,,,,,,https://www.thedailynewsonline.com/top_story/farmers-protest-move-to-slash-ot-hours/article_c6d55da4-47a5-5940-9f62-8dd8065c4f23.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Albuquerque,NM,Tiguex Park,,,,,Overturn Roe; Abortion Free New Mexico,,"for overturning Roe v. Wade, against abortion",2,rally,,,,,,,,,,,,https://patch.com/new-mexico/albuquerque/december-1-rally-albuquerque-urges-repeal-roe-v-wade,https://overturnroe.org/blog/site/tiguex-park/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Alexandria,VA,"Alexandria Womens Health Clinic, 5999 stevenson Ave",,,,,Overturn Roe,,"for overturning Roe v. Wade, against abortion",2,rally,,,,,,,,,,,,https://overturnroe.org/blog/site/rally-in-alexandria/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Ann Arbor,MI,"President's House, University of Michigan, 815 South University",,,,,,survivors; students,"in support of survivors of sexual assault by Robert Anderson and others at University of Michigan, hail to the victims",0,demonstration,,encamped outside university president's house,,,,,,,,,,https://www.npr.org/2021/10/15/1046519748/former-michigan-player-opens-up-about-the-sexual-abuse-behind-his-sit-in-protest?ft=nprml&f=1046519748,https://www.clickondetroit.com/all-about-ann-arbor/2021/10/22/university-of-michigan-president-addresses-protest-outside-his-home-for-first-time/,https://www.michigandaily.com/news/24-hours-with-the-robert-anderson-survivor-protesters-outside-schlissels-house/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Atlanta,GA,"Feminist Women's Health Center, 1924 Cliff Valley Way",,,,,Overturn Roe; 40 Days for Life,,"for overturning Roe v. Wade, against abortion",2,rally,,,,,,,,,,,,https://overturnroe.org/blog/site/prayer-rally-in-atlanta/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Aurora,IL,"Planned Parenthood, 3051 E New York St",,,,,Overturn Roe; 40 Days for Life,,"for overturning Roe v. Wade, against abortion",2,rally,,,,,,,,,,,,https://overturnroe.org/blog/site/rally-in-aurora/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Baton Rouge,LA,Louisiana State Capitol,,count pic,20,24,,elected officials,"for overturning Roe w. Wade, for connecting women with organizations that help bring their pregnancies to full term",2,rally,,,,,,,,,,,VW,https://www.theadvocate.com/baton_rouge/news/politics/article_b1e68af8-52f3-11ec-b8b0-e76d1dfd02f7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Battle Creek,MI,"Kellogg Co., 425 Porter St",,,,,BCTGM,,for higher wages and better benefits and working conditions for Kellogg's factory workers,0,strike; picket,,,,,,,,,,,,https://www.wzzm13.com/article/news/kelloggs-employees-in-battle-creek-to-go-on-strike/69-b64e98ca-da1c-43b1-b6b5-096f29500a4d,https://wwmt.com/news/local/kelloggs-workers-at-battle-creek-plant-to-strike,https://www.battlecreekenquirer.com/story/news/2021/10/12/kelloggs-strike-continues-second-week/6090946001/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Bend,OR,Bend La Pine Schools Administration Building,,,,,,parents,"against COVID-19 vaccination mandates for students, for freedom of choice, stop Marxism in schools, stop jab mandates, I want medical freedom, freedom not force, vaxx kills our kids, save our children",2,demonstration,,left pairs of shoes on steps,,,,,,,20211201-bend-covidschools,,,https://ktvz.com/videos/2021/12/01/protests-and-counter-protests-over-vaccine-mandate/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Bend,OR,Bend La Pine Schools Administration Building,,,,,,,"against far-right extremism, against antisemitism",1,counter-protest,,,,,,,,,20211201-bend-covidschools,,,https://ktvz.com/videos/2021/12/01/protests-and-counter-protests-over-vaccine-mandate/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Bennington ,VT,"Fiddlehead at Four Corners, 338 Main St",,,,,Planned Parenthood,,"against overturning Roe v. Wade, in support of reproductive rights",1,protest,,,,,,,,,,,VW,https://www.benningtonbanner.com/community-news/bennington-brattleboro-rally-for-reproductive-rights-today/article_c0840ff2-52af-11ec-bc0d-0f01932a5c4d.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Billings,MT,Yellowstone County Courthouse,,dozens,24,24,Overturn Roe; Yellowstone Valley Christians for Life; 40 Days for Life,,"for overturning Roe v. Wade, against abortion, for Christian values, abortion takes a human life, equal rights for preborn people, we will abolish abortion, Jesus forgives and heals",2,rally,,,,,,,,,,,,https://overturnroe.org/blog/site/rally-in-billings/,https://www.kulr8.com/planned-parenthood-of-montana-responds-to-pro-life-rally-in-yellowstone-county/video_ae905332-e827-5182-a2a7-5a621a6b3a37.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,Boston,MA,Massachusetts State House,,,,,Overturn Roe,,"for overturning Roe v. Wade, against abortion",2,rally,,,,,,,,,,,,https://overturnroe.org/blog/site/rally-in-boston/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
