CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4
Alexandria,Amphitheatre in Downtown,Rapides,LA,US,2020-02-01,thousands,2000,,2000,,,Louisiana Right to Life,against abortion,2,march,0,0,0,0,1,1,https://www.thetowntalk.com/story/news/2020/02/01/life-march-cenla-gains-momentum-become-largest-march-louisiana/4637624002/,,,,
Ann Arbor,University of Michigan,Washtenaw,MI,US,2020-02-01,FB: 27,27,,27,,,general protesters,against University of Michigan's handling of sexual misconduct cases,0,rally,0,0,0,0,1,1,https://www.mlive.com/news/ann-arbor/2020/01/um-students-plan-protest-in-wake-of-sexual-misconduct-allegations-against-provost.html,,,,
Baldwin,Baldwin Train Station; Baldwin Police Department,Nassau,NY,US,2020-02-01,count video,30,,50,,,general protesters,"against police brutality, against racial profiling by police",1,march,0,0,0,0,1,1,http://longisland.news12.com/story/41640757/demonstrators-march-in-baldwin-against-police-brutality,,,,
Des Moines,Locust St between 5th and 4th Avenues,Des Moines,IA,US,2020-02-01,about 400,400,,400,,,general protesters,against climate change inaction,1,march,0,0,0,0,1,1,https://www.desmoinesregister.com/story/news/2020/02/01/climate-change-parade-des-moines-march-protest/4633403002/,,,,
Minneapolis,Federal Courthouse,Hennepin,MN,US,2020-02-01,several dozen,36,,36,,,general protesters,against immigration restriction expansion,1,protest,0,0,0,0,1,1,https://www.mprnews.org/story/2020/02/01/expansion-of-immigration-restrictions-draws-protest-in-minneapolis,,,,
Mission,Bannworth Park,Hidalgo,TX,US,2020-02-01,about 50,50,,50,,,general protesters,against Sharyland Independent School District's handling of assault allegations,0,protest,0,0,0,0,1,1,https://www.brownsvilleherald.com/news/valley/march-protests-sharyland-s-handling-of-assault-allegations/article_a2f53d12-46a4-11ea-bea0-57455b500b96.html,,,,
Putnam Valley,Putnam Valley Public Library,Putnam,NY,US,2020-02-01,dozens,24,,24,,,general protesters,"against Drag Queen Story Hour, against program that brings drag queens into local libraries to read stories to children, against LGBTQ+ rights",2,protest,0,0,0,0,1,1,http://westchester.news12.com/story/41640690/putnam-valley-residents-protest-program-that-brings-drag-queens-into-libraries-to-read-to-children,,,,
San Francisco,Women's Building,San Francisco,CA,US,2020-02-01,several dozen,36,,36,,,general protesters,for President Trump,2,rally,0,0,0,0,1,1,https://missionlocal.org/2020/02/pro-trump-rally-sparks-clash-at-womens-building-in-sfs-mission/,,,,
San Francisco,Women's Building,San Francisco,CA,US,2020-02-01,,,,,,,general protesters,against President Trump,1,counter-protest,0,0,0,0,0,1,https://missionlocal.org/2020/02/pro-trump-rally-sparks-clash-at-womens-building-in-sfs-mission/,,,,
Sioux Falls,Nelson Park,Minnehaha,SD,US,2020-02-01,FB: 204,204,,204,,,general protesters,in support of Trans youth,1,protest,0,0,0,0,1,1,https://www.argusleader.com/story/news/2020/01/30/protest-legislatures-transgender-bills-scheduled-sioux-falls/2853720001/,,,,
Tampa,downtown,Hillsborough,FL,US,2020-02-01,dozens,24,,24,,,general protesters,"against Senate Bill 82, against proposed changes to Medicaid home and community-based services for those with disabilities",1,protest,0,0,0,0,1,1,https://www.fox13news.com/news/dozens-protest-bill-to-cut-funding-resources-for-disabled,,,,
West Haven,West Haven Green,New Haven,CT,US,2020-02-01,,,,,,,family; friends; supporters,"for justice for Mubarak Soulemane, against police violence, for police accountability, against systemic racism",1,vigil,0,0,0,0,1,1,https://www.nhregister.com/news/article/Family-friends-rally-in-New-Haven-to-keep-15021020.php,,,,
Wilmington,BullZeye Shooting Sports Range,New Hanover,NC,US,2020-02-01,,,,,,,The Bullzeye Shooting Sports Range,for Second Amendment rights,2,rally,0,0,0,0,1,1,https://www.wwaytv3.com/2020/02/01/gun-rights-up-for-debate-at-2nd-amendment-rally/,,,,
Miami,Hard Rock Stadium,Miami-Dade,FL,US,2020-02-02,,,,,,,general protesters,against circumcision,0,protest,0,0,0,0,1,1,https://www.miamiherald.com/sports/nfl/super-bowl/article239891598.html,,,,
