date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-02-01,Bend,OR,St. Charles Medical Center,,more than 100,100,100,Oregon Federation of Nurses & Health Professionals,health care workers,"for higher wages for medical technicians at St. Charles Medical Center, for fair contract",0,picket,,,,,,,,,,,,https://www.opb.org/article/2021/02/03/bend-hospital-workers-protest-wages-in-st-charles-contract-dispute/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Boise,ID,Julia Davis Park,,,,,Peaceful Roots for Change; Black Lives Matter Boise; antifa Boise,teachers; professors,"against racism, for acknowledging Abraham Lincoln's complicated legacy on racial justice, for native peoples' rights",1,protest,,covered Lincoln statue in biodegradable red paint,,,,,,,,,,https://www.idahopress.com/news/local/boise-protest-put-spotlight-on-lincolns-complicated-legacy/article_637f87d5-439e-5f82-bb21-9c7e2ac45322.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Canton,NY,Main St,,about 50,50,50,,students,against cancellation of school sports during coronavirus pandemic,0,protest,,,,,,,,,,,,https://www.nny360.com/sports/highschoolsports/section-10-athletes-protest-halt-to-start-of-winter-sports-season/article_9cad6d79-1088-5470-8ebf-ebf60db0f1fc.html,https://www.wwnytv.com/2021/02/01/section-x-student-athletes-rally-let-us-play/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Chicago,IL,,,,,,CPS Sick-Out,,"against blanket reopening of schools during coronavirus pandemic, for involving parents in decisionmaking about reopening schools during coronavirus pandemic",0,sickout,,,,,,,,,,,,https://www.washingtonpost.com/local/education/chicago-parents-schools-reopen/2021/01/30/cb9915a2-62bb-11eb-9430-e7c77b5b0297_story.html,https://www.chicagotribune.com/coronavirus/ct-chicago-schools-reopening-updates-covid-19-20210201-gzonljoum5dlnjj5gy4mjvsr6e-story.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Concord,NC,Cabarrus County Schools Education Center,,count video,35,45,,teachers and parents,against reopening schools during coronavirus pandemic until all teachers are vaccinated,0,protest,,,,,,,,,,,,https://www.wnct.com/on-your-side/school-watch/cabarrus-county-teachers-and-parents-protest-to-hold-off-on-return-to-in-person-learning/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Fort Lauderdale,FL,Bubier Park; Broward Main Jail,Free Broward March,about 80,80,80,Chainless Change; Decarcerate Broward Coalition; Black Lives Matter Alliance - Broward,,"against racism, for decarceration during coronavirus pandemic, for resignation of Broward Sheriff Gregory Tony, for abolishing police and prisons",1,march,directed counter-protester to back off,,,,,,,,20210201-broward-deputy,,,https://www.sun-sentinel.com/local/broward/fort-lauderdale/fl-ne-fort-lauderdale-protest-20210201-bx3xtsqkvrc4xfxvudopptgabe-story.html,https://www.instagram.com/p/CKwTG9ZlSsu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Fort Lauderdale,FL,Broward County Courthouse,,,1,1,,,against anti-racism protesters,2,counter-protest,directed counter-protester to back off,yelled at protesters; charged at protesters,,,,,,,20210201-broward-deputy,,,https://www.sun-sentinel.com/local/broward/fort-lauderdale/fl-ne-fort-lauderdale-protest-20210201-bx3xtsqkvrc4xfxvudopptgabe-story.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Hattiesburg,MS,Hattiesburg City Hall,,about 20; around two dozen,20,24,Black Lives Matter Mississippi,,"against racism, against police violence, for police accountability and transparency, for police reform",1,protest,,,,,,,,,,,,https://www.wdam.com/2021/02/01/blm-miss-protest-shooting-teenager-by-police-monday/,https://www.wdam.com/2021/02/01/demonstration-underway-hattiesburg-city-hall/,https://www.mississippifreepress.org/8850/officer-shot-black-teen-outside-hattiesburg-high-activists-say-but-police-silent/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Lafayette,CA,El Curtola Blvd & Highway 24,,,,,Contra Costa County Patriots,,for President Trump,2,demonstration,,,,,,,,,,,,https://www.sfgate.com/news/bayarea/article/Council-To-Ask-State-To-Remove-Highway-Overpass-16006373.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Milwaukee,WI,2900 W Lincoln Ave,FU S2! Stop the Evictions & Forgive Back Rent!,,,,Milwaukee Autonomous Tenants Union,,"for eviction moratorium, for cancelling rent debt, for maintaining safe and clean apartment units in S2 Realty buildings, for stopping retaliation aganst tenants unable to pay rent",0,picket,,,,,,,,,,,,https://www.facebook.com/events/262767781874608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Milwaukee,WI,"Zilber Hall, Marquette University",,group of 50,50,50,,staff members,against layoffs of university staff due to budget shortfalls caused by coronavirus pandemic,0,protest,,,,,,,,,,,,https://marquettewire.org/4045906/news/community-protests-outside-zilber-in-response-to-positions-eliminated/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,New York,NY,"Carl Schurz Park, Manhattan",,,,,Upper East Side for Black Lives Matter,,"against racism, against police violence",1,vigil; march,,,,,,,,,,,,https://www.instagram.com/p/CKwRS2ZFjGT/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,New York,NY,"McCarren Park, Brooklyn",,,,,,,"against racism, against police violence",1,gathering,,,,,,,,,,,,https://www.instagram.com/p/CKu47XTnKv0/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Newark,NJ,Rodino Federal Building,Justice Monday,,,,People's Organization for Progress,,"against racism, against police brutality",1,protest,,,,,,,,,,"""There had been over 200 Justice Monday protests when POP temporarily suspended them in March of 2020 in response to the Covid-19 crisis. The Justice Monday protests were re-started on June 8th of last year on response to the death of George Floyd. A few of the weekly protests were also cancelled due to inclement weather.""",,https://www.blackstarnews.com/us-politics/justice/police-brutality-%E2%80%9Cjustice-monday%E2%80%9D-protest-to-take-place-in-new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,North Carlton,MN,construction site near MN-210 and Hohensee Rd,,less than a dozen,12,12,Camp Miigizi,,"against Line 3 pipeline project, for environmental protection, for native peoples' rights",1,direct action; demonstration,"tribal officers from the Fond du Lac Police Department and deputies from the Carlton County Sheriff’s Office responded to reports of people trespassing in a construction area near State Highway 210 and Hohensee Road; area fire departments were called, including a specialized trench rescue team; an ambulance was brought in as a precaution, but two protesters blocked its access to the scene and were arrested",one protester got into a pipe as it was being lowered into a trench filled with water; he sat on the pipe for five hours until being arrested,,,3,,,,,,,https://bringmethenews.com/minnesota-news/more-arrests-in-line-3-protests-one-jumped-onto-pipe-being-lowered-into-trench,https://twitter.com/ResistLine3/status/1356669133769826308,https://lptv.org/three-arrests-made-at-line-3-protest-after-man-sits-on-to-pipe-being-lowered-into-trench/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Philadelphia,PA,Philadelphia City Hall,,,1,1,,,for declaring gun violence a citywide emergency,0,demonstration; hunger strike,,,,,,,,,,,,https://billypenn.com/2021/02/02/philadelphia-jamal-johnson-hunger-strike-gun-violence-snowstorm-mayor-kenney/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Rochester,NY,"Rochester Police Department, 630 N Clinton Ave",,more than 150,150,150,Community Justice Initiative,Black Lives Matter protesters,"against racism, against police brutality",1,march; demonstration; caravan,set up barricades around police station; instructed protesters to leave area around police station,removed barricades around police station; shouted at police,,,,,,,,"""You just maced a little kid!""",,https://spectrumlocalnews.com/nys/rochester/news/2021/02/02/protesters-demand-rpd-officers-involved-in-avenue-b-incident-be-fired-and-charged,https://twitter.com/GeofferyRogers/status/1356380667941183490,https://www.wxxinews.org/post/protesters-march-rochester-after-9-year-old-pepper-sprayed,https://www.rochesterfirst.com/news/local-news/protest-in-rochester-underway-after-child-pepper-sprayed-police-officers-suspended/,https://globalnews.ca/video/7613762/protesters-rally-for-change-in-new-york-after-9-year-old-pepper-sprayed-by-police,https://www.newsweek.com/rochester-protesters-topple-police-barricades-over-pepper-sprayed-9-year-old-girl-1565964,https://twitter.com/BGOnTheScene/status/1356394009753747458,https://twitter.com/BGOnTheScene/status/1356392518540288001,https://twitter.com/BGOnTheScene/status/1356391122126405635,https://twitter.com/BGOnTheScene/status/1356382705500495880,https://news.wbfo.org/post/protesters-march-rochester-after-9-year-old-pepper-sprayed,https://www.bostonglobe.com/2021/02/03/nation/mom-pepper-sprayed-9-year-old-speaks-out-against-police/,https://www.wbfo.org/crime/2021-02-01/protesters-march-in-rochester-after-9-year-old-is-pepper-sprayed,,,,,,,,,,,,,,,,,
2021-02-01,Rochester,NY,Rochester Public Safety Building,,,1,1,,woman,"against racism, against police brutality",1,protest,,,,,,,,,,,,https://spectrumlocalnews.com/nys/rochester/news/2021/02/02/henrietta-woman-holds-solo-protest-after-avenue-b-incident-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Rockford,IL,Rockford City Hall,,,,,May 30th Alliance,,"against racism, against police violence",1,demonstration,,encamped outside city hall,,,,,,,,,,https://twitter.com/M30Alliance/status/1370029296509652993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Saint Paul Park,MN,Marathon Refinery,,,,,Teamsters Local 120,oil refinery workers,"against unfair labor practices, for workplace safety",0,strike; picket,,,,,,,,,,,,https://www.fightbacknews.org/2021/2/2/minnesota-marathon-refinery-locks-out-teamsters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Seattle,WA,I-99 Tunnel,,count pic,5,15,,,for celebrating Black history,1,direct action,,protesters stopped cars and used banners and their bodies to block traffic in I-99 tunnel,,,,,,,,,,https://www.instagram.com/p/CKxkcNVMW_u/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Sherman Oaks,CA,"Sherman Oaks Galleria, Sepulveda Blvd and Ventura Blvd",,,,,The Valley of Change,,"Black Lives Matter, against police brutality",1,demonstration,,,,,,,,,,,,https://twitter.com/ACatWithNews/status/1423588411227611136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Stone Mountain,GA,"Dekalb County School District, 1701 Mountain Industrial Blvd",,more than 60,60,60,Organization of Dekalb Educators,teachers and parents,"against reopening schools during coronavirus pandemic, for safe workplace for teachers",0,protest,,,,,,,,,,,,https://www.ajc.com/news/atlanta-news/at-protest-dekalb-teachers-call-districts-reopening-plan-unsafe/3GO6FPDE4RFNFEMYPLW5CFX3B4/,https://www.fox5atlanta.com/news/teachers-protest-return-to-in-person-learning-for-dekalb-county-schools,https://decaturish.com/2021/02/dekalb-teachers-protest-returning-to-classrooms/,https://www.wsbradio.com/news/local/dekalb-county/dekalb-teachers-parents-rally-district-headquarters-over-return-in-person-learning/5BZSXRHUOJD2FFYOFAR73WIVIM/,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Waco,TX,Baylor University,,count pic,80,100,,students,"against racism at university, for removing statue of racist university founder",1,demonstration,,,,,,,,,,,,https://baylorlariat.com/2021/02/01/students-call-for-judge-baylor-statue-to-be-removed/,https://www.fox44news.com/news/local-news/local/students-advocate-for-judge-baylor-to-be-removed-on-the-first-day-of-black-history-month/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Wooster,OH,Wooster Square,,,,,Wayne County Racial Justice Coalition,,against racism,1,demonstration,,,,,,,,,,250th consecutive day,,https://twitter.com/desireejweber/status/1357411129488769028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,Bowling Green,KY,Bowling Green City Hall,Renters Rights Rally,more than 20,20,20,Sunrise Movement,,"for adoption of a tenant's bill of rights, for a renter's assistance fund during coronavirus pandemic, for reform of court system for evictions, for creation of social housing fund",0,rally,,,,,,,,,,,,https://wkuherald.com/news/local-sunrise-movement-holds-renters-rally-at-city-hall/article_553f6526-65c9-11eb-b6e7-ab9a3f8edd04.html,https://www.bgdailynews.com/news/renters-rights-rally-held-outside-of-city-hall/article_bffaf4ef-56b6-51af-858a-a67ccd4f695d.html,https://www.bgdailynews.com/news/slide-show-sunrise-movement-holds-rally-to-advocate-for-renters-rights/collection_6ee2ae32-2ed7-5585-844f-906a9b999fee.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,Elk Grove,CA,"Elk Grove Unified School District, 9510 Elk Grove-Florin Rd",,count video,60,80,Elk Grove Unified School District Parent Coalition,parents and students,for resuming full-time in-person schooling during coronavirus pandemic,0,protest,,,,,,,,,,,,https://www.abc10.com/video/news/local/elk-grove/elk-grove-unified-reopening-protest/103-01addbdf-7a9e-437e-9ca4-fff3f51a446c,https://sacramento.cbslocal.com/2021/02/02/parents-students-elk-grove-reopen-schools/,https://www.kcra.com/article/our-kids-are-suffering-elk-grove-families-rally-to-reopen-classrooms/35401616,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,Fort Myers,FL,"Veteran's Pavilion, Florida Gulf Coast University",A Peaceful Demonstration to Educate and Empower,count video,100,150,Black Student Alliance,,"against racism and prejudice at Florida Gulf Coast University, for Black empowerment",1,protest,,,,,,,,,,,,https://eaglenews.org/front-page-3/bsa-marched-in-protest-tuesday-regarding-comments-at-sg-meeting/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
