CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Scottsdale,Dolphinaris Arizona,Maricopa,AZ,US,2019-01-01,na,20,,20,,,general protestors ,calling for release of dolphins from facility after dolphin deaths,1,protest,0,0,0,0,1,1,https://www.azcentral.com/story/news/local/scottsdale/2019/01/01/protesters-demand-release-after-third-dolphin-dies-dolphinaris-khloe/2458614002/,,,,,,
Trotwood,Salem Mall,Montgomery,OH,US,2019-01-01,,,,,,,"mayor, residents",prayer rally for new jobs,0,prayer rally,0,0,0,0,1,1,https://www.daytondailynews.com/news/local/mayor-residents-trotwood-hold-prayer-rally-old-salem-mall/lu5UGJV8JC7fx21zGfCO7N/,,,,,,
Ann Arbor,Narrow Gauge Way Park,Washtenaw,MI,US,2019-01-02,,,,,,,FAAWN,protesting cull/asking city to spend money on higher priorities,0,protest,0,0,0,0,1,1,https://www.mlive.com/news/ann-arbor/2019/01/ann-arbor-deer-cull-draws-protesters-on-first-day.html,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-01-02,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
Modesto,Stanislaus County Courthouse,Stanislaus,CA,US,2019-01-02,hundreds,200,,200,,,general protestors ,protesting first court appearance for Gustavo Arriaga,,protest,0,0,0,0,1,1,https://www.abc10.com/video/news/local/modesto/raw-dozens-protest-outside-the-courthouse-for-alleged-cop-killer-gustavo-arriagas-first-court-appearance/103-3a17605e-03b9-4e5d-b92f-5082c49ed350,,,,,,
Newton,Keogh Dwyer Correctional Facility,Sussex ,NJ,US,2019-01-02,dozens,24,,24,,,general protestors,protesting the arrest of anti-bear hunt activist,1,protest,0,0,0,0,1,1,https://www.nj.com/sussex-county/2019/01/anti-bear-hunt-activists-rally-for-prominent-protester-jailed-for-the-9th-time.html,,,,,,
Portland,,Multnomah,OR,US,2019-01-02,About a dozen and a half,18,,18,,,students,against placing more police officers in Portland schools,0,protest,0,0,0,0,1,1,https://katu.com/news/local/portland-students-plan-walkout-to-protest-school-resource-officers,,,,,,
Rapid City,,Pennington ,SD,US,2019-01-02,,,,,,,residents,against land rezoning along highway,0,meetings,0,0,0,0,1,1,https://rapidcityjournal.com/news/local/govt-and-politics/potential-land-rezone-along-s-highway-draws-protest/article_a950608f-2b4d-5a01-84f9-5a57f71640ec.html,,,,,,
Warwick,Community College of Rhode Island campus,Kent ,RI,US,2019-01-02,about 50,50,,50,,,faculty at Community College of Rhode Island ,oppose shorter winter intersession schedule,0,protest,0,0,0,0,1,1,https://diverseeducation.com/article/135269/,https://turnto10.com/news/local/faculty-at-ccri-protest-short-winter-term,https://www.newportri.com/news/20190102/ccri-faculty-protest-winter-session/1,,,,
Atlanta,outside immigration court,Fulton ,GA,US,2019-01-03,"In addition to the around 200 people who rallied in Springfield on Thursday, Samaniego’s supporters say a similar crowd gathered outside the immigration court in Atlanta.",200,,200,,,general protestors,"calling for the release of Eduardo Samaniego, an immigrant-rights activist",1,rally,0,0,0,0,1,1,https://www.gazettenet.com/Rallies-in-Springfield-Atlanta-call-for-Eduardo-Samaniego-s-release-22539787,,,,,,
