date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-07-01,Addison,IL,Portillo's Food Service,,17,17,17,Arise Chicago,workers,"for better working conditions and higher pay for workers at Portillo's Food Service, for collective bargaining rights",0,strike; picket,,,,,,,,,,,,https://chicago.suntimes.com/2021/7/2/22561028/portillos-rally-walkout-addison-river-north-restaurant-arise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Allegheny Township,PA,Route 356 and South Leechburg Hill Rd,,a man,1,1,,,against Donald Trump,1,protest,,,,1,,,,,20210701-allegheny-trump,,,https://triblive.com/local/valley-news-dispatch/gilpin-man-charged-with-beating-man-with-political-signs-during-protest/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Allegheny Township,PA,Route 356 and South Leechburg Hill Rd,,a man,1,1,,,against anti-Trump protest,2,counter-protest,,,,,1,broken camera,,,20210701-allegheny-trump,,,https://triblive.com/local/valley-news-dispatch/gilpin-man-charged-with-beating-man-with-political-signs-during-protest/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Austin,TX,218 S Lamar Blvd,Don't Mess with Texas Voters,,,,Indivisible Austin,,"for the For the People Act, for voting rights, for democracy",1,banner drop,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163011/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Belmont,MA,Belmont Center,,,,,Community Organized for Solidarity,,"Black Lives Matter, against police brutality, white supremacy is terrorism",1,demonstration,,,,,,,,,,,,https://www.instagram.com/p/CQyrKBlNlOa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Boonville,IN,"Warrick County School Corporation, 300 E Gum St",,,,,Young Conservatives of Southern Indiana,,against coronavirus mask mandates in schools,2,protest,,,,,,,,,,,,https://www.wevv.com/content/news/Protesters-of-School-Mask-Policies-Pushing-Back-Efforts-Until-Thursday-574724961.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Boston,MA,Copley Square,Cancel Canada Day,,,,North American Indian Center of Boston; United American Indians of New England,,"for cancellation of Canada Day, no pride in genocide, for indigenous peoples' rights",1,demonstration,,,,,,,,,,,,https://www.instagram.com/p/CQvqeodshWy/?utm_source=ig_web_copy_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Brea,CA,Brea Mall,Defend Our Democracy,,,,Indivisible CA 39,,"for the For the People Act, for voting rights, for democracy",1,rally,,,,,,,,,,,,https://act.indivisible.org/event/local-actions/163069/signup/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Brighton,MA,Shaloh House,,hundreds,200,200,Combined Jewish Philanthropies of Greater Boston; Shaloh House; Jewish Community Relations Council of Greater Boston; Anti-Defamation League,,"against antisemitism, in support of rabbi who was stabbed",0,rally,,,,,,,,,,,,https://forward.com/fast-forward/472523/boston-jews-rally-together-after-streak-of-attacks-in-the-area/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,Brookwood,AL,Warror Met Coal Inc.,,,,,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://umwa.org/news-media/press/fourthmonthwarriormetstrike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
