CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,
Albany,Outside downtown Federal Courthouse,NY,US,2018-06-01,at least two dozen,24,,24,,,ACLU,Protesting federal immigration policies,1,protest,0,0,0,0,1,1,https://www.timesunion.com/local/article/Albany-activists-protest-federal-policies-on-12960781.php,,,,,,,
Appleton,library,WI,US,2018-06-01,FB: 11,11,,11,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,http://www.wbay.com/content/news/Downtown-Appleton-goes-orange-for-rally-against-gun-violence-484318451.html,https://fox11online.com/news/local/fox-cities/wear-orange-rally-held-in-appleton-to-fight-gun-violence,https://www.facebook.com/events/189392828554106/,#wearorange,,,,
Arlington ,Courthouse Plaza,VA,US,2018-06-01,FB: 67,67,,67,,,Moms Demand Action,support gun reform and gun safety,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1957109797694639/,,,,,,,
Atlanta,outside Atlanta Immigration Court,GA,US,2018-06-01,about 100,100,,100,,,general protestors,against separating children from families at border,1,protest,0,0,0,0,1,1,https://www.npr.org/2018/06/01/616257822/immigration-rights-activists-protest-trump-administration-child-separation-polic,https://www.wabe.org/atlanta-protest-opposes-federal-policy-of-separating-immigrant-families/,,,,,,
Austin,in Republic Square Park ,TX,US,2018-06-01,hundreds,200,,200,,,general protestors,against separating children from families at border,1,rally; march,0,0,0,0,1,1,https://www.statesman.com/news/local/today-rally-against-family-separations-border-set-for-austin/UBDQ5BkVTrrtF5G14hG1oI/,,,National Day of Action for Children,,,,
Berkeley,,CA,US,2018-06-01,FB: 17,17,,17,,,Refuse Fascism,anti-Trump; protest Rev Franklin Graham event,1,protest,0,0,0,0,1,1,http://abc7news.com/religion/conservative-evangelical-reverend-franklin-graham-brings-tour-to-berkeley/3551460/,https://twitter.com/JacquesRevera/status/1002727212473151488?s=04,,,,,,
Boise,Capitol,ID,US,2018-06-01,FB: 142,142,,142,,,Idaho Organizing Project; PODER (Protecting Our Dreams and Empowering Resilience) of Idaho; Idaho Coalition Against Sexual and Domestic Violence; the International Rescue Committee; Idaho Moms for a Brighter Future,against separating children from families at border,1,rally,0,0,0,0,1,1,https://www.idahopress.com/news/local/rally-to-call-for-immigration-policy-that-doesn-t-separate/article_4cff5711-a0f5-5a90-ad4d-df17e8f9223b.html,https://www.facebook.com/events/203442500469028/,,National Day of Action for Children,,,,
Charleston ,corner of Meeting and Brigade streets,SC,US,2018-06-01,na,50,,50,,,Charleston Moves,support increased traffic signage,0,demonstration,0,0,0,0,1,1,https://www.postandcourier.com/news/activists-at-east-side-intersection-ask-motorists-to-please-slow/article_d22d423e-65e9-11e8-b6a6-0f038187f6de.html,,,,,,,
Concord,US Attorney's Office,NH,US,2018-06-01,about 60,60,,60,,,general protestors,against separating children from families at border,1,rally,0,0,0,0,1,1,http://www.wmur.com/article/some-rally-in-nh-against-separating-immigrant-children-from-families/21054199,http://nhpr.org/post/rally-held-concord-protest-trumps-family-separation-policy#stream/0,,National Day of Action for Children,,,,
Detroit,Spirit of Detroit statue in downtown,MI,US,2018-06-01,perhaps 40,40,,40,,,general protestors,against gun violence,0,rally,0,0,0,0,1,1,https://www.freep.com/story/news/local/michigan/detroit/2018/05/31/detroit-gun-violence-awareness-rally/659735002/,http://michiganradio.org/post/detroit-rally-call-action-against-gun-violence,https://www.freep.com/story/news/local/michigan/detroit/2018/06/01/gun-violence-rally-mary-sheffield/663974002/,,,,,
Downers Grove,Downers Grove Main Street Parking Lot,IL,US,2018-06-01,about 30,30,,30,,,Chicagoland Chapter Brady Campaign to Prevent Gun Violence; Friends Who March,pro-gun control; remember Santa Fe shooting,1,rally,0,0,0,,1,1,https://www.facebook.com/events/200511180672900/?active_tab=about,,,,,,,
