CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Source1,Source2,Source3,Misc.,Source4,Source5,Source6,,,,,,,,,,,,,,,
Boise,Idaho State Capitol,Ada,ID,US,2020-06-01,,,,,,,general protesters,"against anti-racism protestors, for President Trump",2,counter-protest,1,0,0,0,0,1,20200601-boise-blm,https://www.idahopress.com/boiseweekly/news/local_and_state/massive-peaceful-vigil-in-boise-followed-by-protests-and-intimidation/article_7942d42c-2883-5167-a7ba-bb24dc3c5996.html,https://magicvalley.com/opinion/columnists/idaho-view-protesting-against-the-black-lives-matter-vigil-in-boise-is-the-wrong-side/article_f4d8077c-fc2c-549b-8c62-5bbfbdc779c9.html,,"Arrest for discharge of firearm, but not at anyone in particular, it seems.",,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
Boston,"Holy Name Rotary, West Roxbury",,MA,US,2020-06-01,,,,,,,white men,against Black Lives Matter,2,counter-protest,0,0,0,0,1,1,20200601-boston-blm,https://www.wgbh.org/news/local-news/2020/06/01/demonstrators-in-west-roxbury-stand-in-solidarity-with-black-lives-matter-movement,,,observed vigil from short distance,,,,,,,,,,,,,,,,,,
Coeur d'Alene,Appleway Ave; Sherman Ave,Kootenai,ID,US,2020-06-01,hundreds,200,,200,,,general protesters,against Black Lives Matter protests,2,counter-protest,0,0,0,0,1,1,20200601-cda-blm,https://sandpointreader.com/area-youths-protest-george-floyd-killing/,https://www.spokesman.com/stories/2020/jun/04/armed-presence-in-north-idaho-downtowns-questioned/,https://www.youtube.com/watch?v=lkFM-hgY4Kg,many people openly carrying firearms stood on corners and patrolled streets; many wore tactical gear or camo,,,,,,,,,,,,,,,,,,
Conroe,,Montgomery,TX,US,2020-06-01,,,,,,,general protesters,against contact tracing for coronavirus,2,protest,0,0,0,0,1,1,,https://mobile.reuters.com/news/picture/americans-protest-coronavirus-restrictio-idUSRTS3GMPV,,,,,,,,,,,,,,,,,,,,,
Crown Point,,Lake,IN,US,2020-06-01,21,21,,21,,,general protesters,against Black Lives Matter,2,counter-protest,0,0,0,0,1,1,20200601-crownpoint-blm,https://heavy.com/news/2020/06/black-lives-matter-protestors-armed-white-residents/,https://abcnews.go.com/US/wireStory/peaceful-protesters-indiana-marched-armed-residents-71081276,https://www.khou.com/article/news/nation-world/armed-bystanders-indiana-crown-point-george-floyd-protests/507-6ec4f916-e6c9-4f59-83d2-76883f5efea2,several openly carried rifles,,,,,,,,,,,,,,,,,,
Dickinson,Third Ave,Stark,ND,US,2020-06-01,,,,,,,Yellowstone Militia of Montana,"against antifa, for protection of property, against Black Lives Matter protesters",2,rally,0,0,0,0,1,1,,https://www.kfyrtv.com/content/news/Dickinson-protest-stays-peaceful-with-help-of-biker-gang-570985441.html,https://twitter.com/RedoubtAFA/status/1437951072706785280,,,,,,,,,,,,,,,,,,,,
Gaithersburg,Rio,Montgomery ,MD,US,2020-06-01,a,1,,1,,,man,All Lives Matter,2,counter-protest,0,0,0,0,1,1,20200601-gaithersburg-blm,https://twitter.com/CaitlynnPeetz14/status/1267524537907904513,,,,,,,,,,,,,,,,,,,,,
Hermitage,,Mercer,PA,US,2020-06-01,,,,,,,general protesters,for release of weapon confiscated from protester by police,0,demonstration,0,0,0,0,1,1,,https://www.sharonherald.com/news/protesters-gather-at-hermitage-city-building/article_4cadcfd4-a47b-11ea-bd81-8bc457b72b6b.html,,,,,,,,,,,,,,,,,,,,,
McKinney,Collin County Courthouse,Collin,TX,US,2020-06-01,,,,,,,Warriors of Christ,"for Christian values, against anti-racism protesters",2,counter-protest,0,0,0,0,1,1,20200601-mckinney-blm,https://localprofile.com/2020/06/01/a-peaceful-protest-unfolds-in-mckinney-in-the-name-of-justice-for-george-floyd/,,,,,,,,,,,,,,,,,,,,,
Morganton,Case Farms Chicken facility,Burke,NC,US,2020-06-01,,,,,,,Asheville Animal Save,for animal welfare; for worker safety; Coronavirus,0,protest,0,0,0,0,1,1,,https://www.morganton.com/news/group-plans-to-protest-outside-case-farms-on-monday/article_a3e1c88d-ea48-52a9-a74a-2c6bbeb6b37b.html,,,,,,,,,,,,,,,,,,,,,
New York,"Cross Island Parkway & Clintonville St, Whitestone, Queens",Queens,NY,US,2020-06-01,a man,1,,1,,,general protesters,"against anti-racism protesters, for racism",2,counter-protest,0,0,0,0,0,1,20200601-queens-blm,https://qnsstaging.wpengine.com/story/2020/06/03/menacing-attacker-threatens-peaceful-protest-in-whitestone/,,,Tore down signs posted by demonstrators and verbally confronted them,,,,,,,,,,,,,,,,,,
Philadelphia,Fishtown,,PA,US,2020-06-01,50-70,50,,70,,,white men,against anti-racism protesters,2,counter-protest,0,0,0,0,1,1,20200601-philly-blm,https://www.theguardian.com/us-news/2020/jun/04/philadelphia-armed-white-men-george-floyd-protests,https://fusion.inquirer.com/news/philadelphia/philadelphia-fishtown-protester-vigilante-police-investigation-20200625.html,https://philadelphia.cbslocal.com/2020/06/04/fishtown-resident-who-organized-group-armed-with-baseball-bats-claims-narrative-not-true-at-all/,"Carrying bats and golf clubs and other weapons, spitting on protesters, homophobic and misogynistic slurs.",,,,,,,,,,,,,,,,,,
Ramona,10th St and Main St,San Diego,CA,US,2020-06-01,at least 75,75,,75,,,general protesters,"against anti-racism protesters, for President Trump",2,counter-protest,0,0,0,0,1,1,20200601-ramona-blm,https://www.sandiegouniontribune.com/ramona-sentinel/news/story/2020-06-02/protesters-in-ramona-call-for-an-end-to-racism-and-oppression,,,,,,,,,,,,,,,,,,,,,
Yucaipa,Yucaipa Police Station,San Bernadino,CA,US,2020-06-01,,,,,,,general protesters,against anti-racism protesters,2,counter-protest,0,0,0,0,1,1,20200601-yucaipa-blm,https://www.newsmirror.net/news/yucaipa-protests-stay-peaceful-for-the-most-part/article_3481db60-a5ef-11ea-bd37-8f4b843999f2.html,,,,,,,,,,,,,,,,,,,,,
Boise,Idaho State Capitol,Ada,ID,US,2020-06-02,,,,,,,general protesters,"for President Trump, for white supremacy, for patriotism",2,counter-protest,0,0,0,0,1,1,20200602-boise-blm,https://www.idahopress.com/boiseweekly/news/local_and_state/massive-peaceful-vigil-in-boise-followed-by-protests-and-intimidation/article_7942d42c-2883-5167-a7ba-bb24dc3c5996.html,https://magicvalley.com/opinion/columnists/idaho-view-protesting-against-the-black-lives-matter-vigil-in-boise-is-the-wrong-side/article_f4d8077c-fc2c-549b-8c62-5bbfbdc779c9.html,https://twitter.com/AFriendlyDad/status/1422688310456029186,"No crowd size estimate, but report makes it sound like there were more counter-protesters than police (of which there were many), and the counter-protesters were heavily armed.",https://twitter.com/AFriendlyDad/status/1422685733320466433,,,,,,,,,,,,,,,1,1,https://twitter.com/KatieRedefer/status/1267585036607512577
