date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2022-03-01,Albany,NY,Leo W O'Brien Federal Building,,,,,Build Back Fossil Free Coalition,,"for national declaration of climate emergency by President Biden, against approval of any new fossil fuel projects",1,rally,,,,,,,,,,,,https://cbs6albany.com/news/local/climate-advocates-to-rally-in-albany-demanding-president-biden-phase-out-fossil-fuels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Albuquerque,NM,Montgomery and San Mateo,New Mexico Freedom Rally,,,,New Mexico Freedom Fighters,,"against COVID-19 mask and vaccination mandates, for freedom, for patriotism, against everything un-American",2,demonstration,,,,,,,,,,every Tuesday,,https://www.instagram.com/p/CY5fwQdr9PC/?utm_source=ig_web_copy_link,https://www.instagram.com/p/CaTwNjJu0Ko/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Albuquerque,NM,"Novistski Hall, University of New Mexico",,,,,IUPAT DC 35,,"against use of irresponsible contractors for renovations at University of New Mexico, against Advanced Painting",0,rally,,,,,,,,,,,,https://twitter.com/IUPAT_DC35/status/1498736996558192640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Ann Arbor,MI,"President's House, University of Michigan, 815 South University",,,,,,survivors; students,in support of survivors of sexual assault by Robert Anderson and others at University of Michigan,0,demonstration,,encamped outside university president's house,,,,,,,,,,https://www.npr.org/2021/10/15/1046519748/former-michigan-player-opens-up-about-the-sexual-abuse-behind-his-sit-in-protest?ft=nprml&f=1046519748,https://www.clickondetroit.com/all-about-ann-arbor/2021/10/22/university-of-michigan-president-addresses-protest-outside-his-home-for-first-time/,https://www.michigandaily.com/news/24-hours-with-the-robert-anderson-survivor-protesters-outside-schlissels-house/,https://www.mlive.com/news/ann-arbor/2021/12/prominent-survivor-of-late-university-of-michigan-doctors-sex-abuse-has-thyroid-cancer.html,https://www.michigandaily.com/news/administration/jon-vaughn-reveals-cancer-diagnosis-says-it-will-not-impact-protest-or-regent-campaign/,https://www.detroitnews.com/story/news/local/michigan/2022/01/17/jon-vaughn-hundred-days-protesting-um-anderson-sex-abuse-scandal/9158906002/?gnt-cfr=1,https://www.clickondetroit.com/all-about-ann-arbor/2022/01/20/dr-anderson-survivors-to-continue-protest-after-settlement-with-university-of-michigan/,https://apnews.com/article/college-football-sports-health-education-michigan-wolverines-football-78a7e1122fa470106321f7c7f6dcff67,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Bel Air,MA,"MaGerks Pub & Grill Bel Air, 120 S Bond St",,a few dozen,36,36,Protect Perryman Peninsula,,"against a mega-warehouse development slated to be built on Perryman Peninsula, no more warehouses, protect perryman peninsula",0,march,,,,,,,,,,,VW,https://www.baltimoresun.com/maryland/harford/aegis/cng-ag-perryman-protest-bel-air-mitchell-development-moratorium-glassman-20220302-s2dsvn4k35f67dzmtnd376jm6e-story.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Bend,OR,NW Wall St and NW Newport Ave,,75-100,75,100,Vocal Seniority,,"in support of Ukraine, against Russian global aggression, glory to Ukraine, no war, against Putin, Putin is a war criminal",0,rally,,,,,,,,,,,EC,https://www.bendbulletin.com/localstate/bend-crowd-rallies-for-peace-in-ukraine/article_9984039c-99a6-11ec-8189-4748c0542177.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Boise,ID,Cecil D. Andrus Park,Operation Hope,,,,Boise Mutual Aid Collective,local unhoused people,"against police harassment of unhoused people, for safe parking areas for people living in their cars, for family shelter space",0,demonstration,,encamped on public lawn,,,,,,,,,,https://www.idahopress.com/boiseweekly/news/local_and_state/local-unhoused-population-occupying-old-ada-county-courthouse-awaits-citys-response/article_d1f95c4b-7476-57be-8ba5-d813c491750f.html,https://www.idahostatesman.com/news/local/community/boise/article257675843.html,https://www.idahostatesman.com/news/local/community/boise/article257817613.html,https://itsgoingdown.org/boise-continues-despite-police-far-right/,https://twitter.com/RedoubtAFA/status/1490888069863833603,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Boston,MA,"Augustus Ave and Poplar St, Roslindale",Woke in Wuville,,,,We the People of MA; Massachusetts Stands Up,,"against COVID mandates, against Mayor Wu, for medical freedom, for patriotism, we are not disturbing the peace Mayor Wu is",2,demonstration,on scene,noise demo; occupied roadway,,,,,,,,outside home of Mayor Wu,,https://twitter.com/LouisLMurrayJr1/status/1498632843190276101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Boston,MA,Boston Marriott Copley Place,,,,,IUPAT DC 35,,"against hiring of non-local workers for renovations at Boston Marriott Copley Place, Commercial Renovation Service does not conform to community standards for wages and fringe benefits",0,picket,,,,,,,,,,,,https://working-mass.com/2022/03/14/unions-picket-anti-worker-boston-marriott-copley-place/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-01,Brookwood,AL,Warror Met Coal Inc.,,,,,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://twitter.com/TheRealNews/status/1413205492806012929,https://twitter.com/GrimKim/status/1443950077450588167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
