CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Boston,Boston Common,MA,US,2018-05-01,FB: 217,217,,217,,,general protestors,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://www.facebook.com/events/149039005781560/,,,,
Bridgeport,McLevy Green,CT,US,2018-05-01,dozens,24,,24,,,"Make the Road CT, Fairfield Standing United, Bridgeport Generation Now and CTCore Organize-Now",Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/2068191163425896/,https://www.ctpost.com/local/article/Community-members-activists-rally-for-May-Day-in-12879436.php,https://www.mysanantonio.com/local/article/Community-members-activists-rally-for-May-Day-in-12879436.php,,
Campbell,United Church of Christ,CA,US,2018-05-01,FB: 22,22,,22,,,Indivisible  ,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/246918979209161/,,,,
Charlotte,Marshall Plaza,NC,US,2018-05-01,about 15,15,,15,,,general protestors,"Rallying for worker's rights, immigrants",1,rally,3,0,0,0,1,1,http://www.charlotteobserver.com/news/local/article210273929.html,,,,
Chicago,Haymarket Monument,IL,US,2018-05-01,hundreds,200,,200,,,general protestors; union members,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://chicago.suntimes.com/news/may-day-rally-at-haymarket-monument-promotes-rights-for-workers-immigrants/,,,,
Cincinnati,,OH,US,2018-05-01,FB: 32,32,,32,,,Intercommunity Justice and Peace Center,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://www.facebook.com/events/445957079170145/,,,,
Durham,Police department,NC,US,2018-05-01,FB: 92,92,,92,,,Durham Workers Assembly,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1640701615984073/,http://www.cbs17.com/news/local-news/durham-county-news/may-day-protesters-take-to-the-streets-in-durham/1154019836,,,
Fresno,Court House Park,CA,US,2018-05-01,FB: 41,41,,41,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/988232538019698/,,,,
Grand Rapids,Roosevelt Park to City Hall,MI,US,2018-05-01,estimated 1000,1000,,1000,,,general protestors,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,http://www.mlive.com/news/grand-rapids/index.ssf/2018/05/some_roads_blocked_but_immigra.html,,,,
Hyattsville,CASA,MD,US,2018-05-01,FB: 24,24,,24,,,CASA in Action,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/362438570934784/,,,,
Ithaca,Cornell University,NY,US,2018-05-01,FB: 198,198,,198,,,general protestors,Protesting appearance by Dick Cheney,1,protest,0,0,0,0,1,1,http://cornellsun.com/2018/05/02/students-and-faculty-protest-cornell-republicans-choice-of-dick-cheney-as-speaker/,,,,
Little Rock,The Arkansas Repertory Theatre,AR,US,2018-05-01,,,,,,,general protestors,Rallying for theatre funding,0,rally,0,0,0,0,1,1,http://www.arkansasonline.com/news/2018/may/01/week-after-little-rock-theater-announced-it-was-su/,,,,
Long Beach,Cesar Chavez to City Hall,CA,US,2015-05-01,hundreds,200,,200,,,May Day Long Beach Coalition,Rallying in honor of May Day; Social justice,1,march;rally,0,0,0,0,1,1,https://www.facebook.com/events/545546012484333/,https://www.presstelegram.com/2018/05/01/long-beach-community-members-march-and-rally-in-honor-of-international-workers-day-and-various-social-justice-issues/,,,
Los Angeles,Pershing Square,CA,US,2018-05-01,thousands,2000,,2000,,,general protestors,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-may-day-protests-20180501-story.html,,,,
Lynn,City Hall,MA,US,2018-05-01,FB: 85,85,,85,,,New Lynn Coaltion,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://www.facebook.com/events/142558973250775/,,,,
Minneapolis,Marquette Plaza building ,MN,US,2018-05-01,five people blocked main entrance; around 30 others,35,,35,,,general protestors,Protesting deportations,1,protest,0,0,0,0,1,1,https://www.mprnews.org/story/2017/05/01/twin-cities-may-day-protests,,,,
Montpelier,State Capitol,VT,US,2018-05-01,FB: 138,138,,138,,,VT State Labor Council,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/204872213433176/,,,,
New Haven,Quinnipiac River Park,CT,US,2018-05-01,,,,,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/956626847830582/,,,,
New Haven,Yale University,CT,US,2018-05-01,FB: 17,17,,17,,,Yale Democratic Socialists,Rallying for worker's rights,1,rally,0,0,0,0,0,1,https://www.facebook.com/events/207259966543324/,,,,
New Orleans,City Hall,LA,US,2018-05-01,hundreds,200,,200,,,general protestors,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://www.bestofneworleans.com/thelatest/archives/2018/05/01/new-orleans-may-day-march-calls-on-city-hall-to-support-immigrants-and-hospitality-workers-platform,,,,
New York,Union Square,NY,US,2018-05-01,roughly 200,200,,200,,,DSA Labor & Strike Solidarity,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/582570228802729/; https://www.amny.com/news/politics/may-day-protests-nyc-1.18336313,,,,
New York,Washington Square Park,NY,US,2018-05-01,about 500,500,,500,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,0,1,https://www.facebook.com/events/803421809854089/; https://www.amny.com/news/politics/may-day-protests-nyc-1.18336313,,,,
New York,Cadman Plaza,NY,US,2018-05-01,FB: 14,14,,14,,,New Sanctuary Coalition of NYC,Protesting Trump's immigration policy,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/436971210083880/,,,,
New York,Battery Park,NY,US,2018-05-01,FB: 176,176,,176,,,New York Working Families Party,Protesting mass incarceration,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/167077037437201/,,,,
New York,New York Stock Exchange,NY,US,2018-05-01,hundreds,200,,200,,,general protestors,International Workers' Day,1,protest,0,0,0,0,0,1,https://www.facebook.com/events/167077037437201/; https://www.commondreams.org/news/2018/05/01/striving-just-and-moral-economy-workers-rise-may-day-protests-worldwide,,,,
Northampton,Pioneer Valley Worker's Center,MA,US,2018-05-01,FB: 131,131,,131,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.aljazeera.com/indepth/inpictures/thousands-part-day-rallies-globe-180501085035681.html,,,,
Oakland,Oscar Grant Plaza,CA,US,2018-05-01,FB: 560,560,,560,,,Oakland Sin Fronteras,Protesting Trump's immigration policy,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/172608736722877/,,,,
Oshkosh,Washington Ave.,WI,US,2018-05-01,FB: 6,6,,6,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/474201743015551/,,,,
Portland,Lents Park,OR,US,2018-05-01,,,,,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.kgw.com/article/news/local/may-day-group-holds-portland-celebration-instead-of-march/283-547615191,,,,
Philadelphia,JFK Blvd.,PA,US,2018-05-01,hundreds,200,,200,,,Coalition to Abolish Death by Incarceration,Protesting mass incarceration,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/1131292767013153/,http://aldianews.com/articles/politics/state-and-local/rally-supporters-say-break-cages-philly/52515,,,
Philadelphia,City Hall,PA,US,2018-05-01,,,,,,,Liberation Project,Rallying for worker's rights,1,rally,0,0,0,0,0,1,https://www.facebook.com/events/365392860627372/,,,,
Philadelphia,North Broad Street to City Hall,PA,US,2018-05-01,about 50 or more,50,,50,,,Stadium Stompers,Protesting construction of new stadium,0,march,0,0,0,0,0,1,http://www.phillytrib.com/news/temple-stadium-protesters-block-traffic-on-north-broad/article_79aceac8-62d2-5225-8763-49cdcc940e6e.html,,,,
Richmond,Abner Clay Park,VA,US,2018-05-01,,,,,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/434076407048231/,,,,
Sacramento,State Capitol,CA,US,2018-05-01,FB: 386,386,,386,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/702926290095771/; https://www.facebook.com/events/1387085794698602/,,,,
Salem,State Capitol,OR,US,2018-05-01,more than 300,300,,300,,,general protestors,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://www.statesmanjournal.com/story/news/2018/05/01/may-day-rally-march-salem-oregon-state-capitol/566313002/,,,,
San Francisco,City Hall,CA,US,2018-05-01,,,,,,,general protestors,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://www.sfchronicle.com/bayarea/article/Bay-Area-political-events-Racial-justice-SF-12863668.php,,,,
San Juan,city's financial center,PR,US,2018-05-01,thousands,,,,,,general protestors,"Protesting pension cuts, school closures and slow hurricane recovery efforts",0,protest; march,8,1,15,0,1,1,http://www.latimes.com/nation/la-na-puerto-rico-protests-20180501-story.html; https://www.nbcnews.com/storyline/puerto-rico-crisis/puerto-rico-protesters-police-clash-thousands-march-may-day-rally-n870556,,,exact number of arrests not reported; protestors clashed with police; 2nd article says at least 8 arrested and 15 police injured,
Santa Fe,Carlos Rd.,NM,US,2018-05-01,,,,,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/161587377866406/,,,,
Santa Rosa,Roseland Village,CA,US,2018-05-01,FB: 52,52,,52,,,May 1st Coalition,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1788466148126713/,http://www.pressdemocrat.com/news/8282481-181/traffic-delays-expected-immigration-salary,,,
Seattle,Bennett Federal Building,WA,US,2018-05-01,FB: 8,8,,8,,,Seattle Indivisible ,Protesting Trump,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1624779507629779/,,,,
Seattle,Judson Park,WA,US,2018-05-01,about 100,100,,100,,,El Comite,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,0,1,https://www.seattletimes.com/seattle-news/after-may-day-march-will-protesters-indulge-in-mayhem-or-peace-joints/,,,,
Seattle,"Red Square, University of Washington",WA,US,2018-05-01,FB: 67,67,,67,,,Reclaim UW,Rallying in support of custodial workers,0,rally,0,0,0,0,0,1,https://www.facebook.com/events/653124068122897/,,,,
Sparks,Hymer Ave.,NV,US,2018-05-01,FB: 39,39,,39,,,Progressive Leadership Alliance of NV,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/2032471830407914/,,,,
Spokane,Downtown,WA,US,2018-05-01,Approx. 70,70,,70,,,Indivisible Spokane,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://www.krem.com/article/news/local/spokane-county/may-day-demonstrators-in-downtown-spokane-march-in-solidarity-with-immigrants-workers/293-547803962; https://www.inlander.com/Bloglander/archives/2015/05/02/on-the-street-photos-from-spokanes-may-day-immigration-rally,,,,
Springfield,W. Sunshina Ave.,MO,US,2018-05-01,FB: 21 ,21,,21,,,Missouri Jobs with Justice,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/210950642833090/,,,,
Swarthmore,Swarthmore College,PA,US,2018-05-01,dozens,24,,24,,,Organizing for Survivors,Protesting sexual violence,1,protest; sit-in,0,0,0,0,1,1,http://www.philly.com/philly/news/pennsylvania/swarthmore-students-rally-against-mishandling-of-sexual-assaults-20180501.html,http://www.philly.com/philly/news/pennsylvania/swarthmore-dean-focus-of-student-protests-resigns-20180516.html,http://swarthmorephoenix.com/2018/05/03/o4s-occupies-offices-of-dean-braun-and-dean-miller-in-ongoing-protest/,sit-in lasted until May 9,
St. Paul,National Shrine of the Apostle Paul,MN,US,2018-05-01,FB: 217,217,,217,,,Immigrant Movement for Justice,Rallying for immigrants,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/169285540372351/,,,,
Tampa,Hixon Waterfront Park,FL,US,2018-05-01,FB: 161,161,,161,,,Tampa Bay Democratic Socialists,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/2109408239295694/,,,,
Tempe,Westcourt Way,AZ,US,2018-05-01,FB: 3,3,,3,,,Indivisible Arizona,Protesting appearance by Mike Pence,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/1099071086900763/,,,,
Waltham,Brandeis University,MA,US,2018-05-01,FB: 20,20,,20,,,Brandeis Graduate Student Workers Union,Labor protest,0,protest,0,0,0,0,1,1,https://www.facebook.com/events/235207377056499/,,,,
Washington,Navy Yard-Ballpark Stadium,DC,US,2018-05-01,FB: 40,40,,40,,,DC Jobs with Justice,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1858284944237916/,,,,
Washington,Malcolm X Park,DC,US,2018-05-01,FB: 352,352,,352,,,DC May Day,Rallying for worker's rights,1,rally,0,0,0,0,0,1,https://www.facebook.com/events/1699627670116558/,,,,
Waukesha,Through Downtown,WI,US,2018-05-01,thousands,2000,,2000,,,general protestors,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://www.jsonline.com/story/news/2018/05/01/may-day-demonstration-waukesha-attracts-thousands-protest-sheriffs-immigration-enforcement/559942002/,,,,
Worcester,Front St.,MA,US,2018-05-01,FB: 130,130,,130,,,general protestors,Rallying for worker's rights,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/168239757215470/,,,,
Yakima,Downtown,WA,US,2018-05-01,hundreds,200,,200,,,general protestors,"Rallying for worker's rights, immigrants",1,rally,0,0,0,0,1,1,https://www.yakimaherald.com/news/local/watch-scenes-from-the-yakima-may-day-march/html_7826bde8-4d7e-11e8-ac50-1f9b1d45682c.html,,,,
Farmington,McGee Park,NM,US,2018-05-01,approx. 30-35,30,,35,,,Familia Unidas Por Justica,Rallying for immigrant rights,1,rally,0,0,0,0,1,1,https://www.daily-times.com/story/news/local/four-corners/2018/05/03/sheriffs-office-denies-claims-immigrant-civil-rights-issues/574838002/,,,,
Columbus,Foothills Wellness Center,NC,US,2018-05-01,over 200,200,,200,,,general protestors,Protesting expansion of Highway 108,0,protest,0,0,0,0,1,1,https://www.tryondailybulletin.com/2018/05/05/over-200-attend-rally-opposing-highway-108-expansion/,,,,
Druham,Whittemore Center,NH,US,2018-05-01,about 28,28,,28,,,UNH Black Student Union. general protestors,protesting use of hate speech; appearance by David Rubin,1,protest,0,0,0,0,1,1,http://www.fosters.com/news/20180501/not-all-welcome-unh-free-speech-event,,,,
San Jose,Roosevelt Park to City Hall,CA,US,2018-05-01,thousands,2000,,2000,,,general protestors,Rallying for workers rights; immigrants,1,rally; march,0,0,0,0,1,1,https://www.sanjoseinside.com/2017/05/01/san-jose-may-day-march-expected-to-draw-10000/,,,,
Albany,State Capitol,NY,US,2018-05-02,FB:2,2,,2,,,Upper Hudson Peace Action,Rallying for peace,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/309369772931739/,,,,
Arnaudville,off of mallet road,LA,US,2018-05-02,as many as 11,9,,11,,,general protestors,Protesting Bayou Bridge Pipline,0,protest,0,0,0,0,1,1,https://www.dailyworld.com/story/news/local/2018/05/03/sheriffs-office-issues-citations-pipeline-protesters-jeff-davis-parish/577180002/,http://www.kplctv.com/story/38099746/protesters-issued-citations-for-trespass-in-jeff-davis-parish,,protestors cited for tresspassing on private property,
Cambridge,Harvard Square,MA,US,2018-05-02,Picture: 5,5,,5,,,PETA,Protesting the dairy industry; advocating for animal rights,0,protest,0,0,0,0,1,1,https://www.peta.org/media/news-releases/cow-handmaids-to-protest-dairy-industry-cruelty/,,,,
Carlsbad,near Carlsbad HS,NM,US,2018-05-02,more than 200,200,,200,,,general protestors,pro-gun rights,2,rally,0,0,0,0,0,1,https://www.currentargus.com/story/news/local/2018/05/02/stand-second-amendment-student-walkout-carlsbad-high-school/575368002/,,,support student walkout,
Concord,State Capitol,NH,US,2018-05-02,around 250,250,,250,,,New Futures Kids Count,Rallying to expand Medicaid,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/569681110079865/,http://www.concordmonitor.com/Rally-held-for-Medicaid-expansion-at-the-State-House-17244126,,,
Danville,Centre College,KY,US,2018-05-02,more than 100,100,,100,,,Students,Protesting racism on campus,1,protest,0,0,0,0,1,1,https://www.amnews.com/2018/05/02/centre-students-protest-racism-demand-changes-from-college/,,,ended Friday May 4th,
Greenwich,Greenwich High School,CT,US,2018-05-02,about a dozen,12,,12,,,Students,pro gun rights,1,counter-protest,0,0,0,0,1,1,https://www.greenwichtime.com/local/article/Student-group-at-Greenwich-High-calls-for-gun-12882752.php,,,,
Knoxville,University of Tennessee,TN,US,2018-05-02,dozens,24,,24,,,Students,Protesting firing of Beverly Davenport,0,protest,0,0,0,0,1,1,https://www.knoxnews.com/picture-gallery/news/2018/05/02/ut-students-protest-in-support-of-beverly-davenport/34490049/,https://www.knoxnews.com/story/news/local/tennessee/2018/05/02/beverly-davenport-fired-students-tennessee-chancellor/575396002/,,,
Los Angeles,Hall of Justice,CA,US,2018-05-02,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,
Maricopa,Maricopa High School,AZ,US,2018-05-02,"the two, with their children",4,,4,,,parents;students,Rallying for teachers,0,rally,0,0,0,0,1,1,https://www.pinalcentral.com/maricopa_monitor/news/maricopa-parents-rally-community-together-during-teacher-walkout/article_0f2e7aa1-ae5b-56a4-869a-9dd2c93ed821.html,,,count based on picture from acticle,
