CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Albany,Townsend Park,Albany,NY,US,2019-05-01,,,,,,,general protestors,pro workers rights ,0,rally,0,0,0,0,1,1,https://www.timesunion.com/news/article/Struggle-still-continues-labor-organizers-lead-13811087.php,,,,,,
Andover,Andover High School,Essex,MA,US,2019-05-01,about 20,20,,20,,,students,against firing of coach,0,protest,0,0,0,0,1,1,https://www.eagletribune.com/news/parents-residents-protest-firing-of-andover-high-hockey-coach-carry/article_25524432-6c42-11e9-ab2a-bb219c963373.html,,,,,,
Asheville,Pack Square,Boncombe,NC,US,2019-05-01,more than 100,100,,100,,,teachers,against underfunding,0,protest,0,0,0,0,1,1,https://www.citizen-times.com/story/news/local/2019/05/01/teachers-rally-asheville-day-action/3632072002/,,,,,,
Austin,Southeast Austin,Travis,TX,US,2019-05-01,,,,,,,Red Guard,anti gentrification,1,protest,1,0,0,0,1,1,https://www.kxan.com/news/local/austin/austin-woman-arrested-accused-of-hitting-counter-protester-with-stick-at-rally/1980411910,,,,,,
Austin,Southeast Austin,Travis,TX,US,2019-05-01,,,,,,,Texas Nomads,pro white supremacy,2,counter protest,0,1,0,0,0,1,https://www.kxan.com/news/local/austin/austin-woman-arrested-accused-of-hitting-counter-protester-with-stick-at-rally/1980411910,,,,,,
Austin,University of Texas,Travis,TX,US,2019-05-01,hundreds,200,,200,,,graduate students,better compensation,0,rally,0,0,0,0,0,1,https://thedailytexan.com/2019/05/01/%E2%80%98overworked-and-underpaid%E2%80%99-graduate-students-rally-at-the-tower,,,,,,
Austin,State Capitol,Travis,TX,US,2019-05-01,,,,,,,multiple community groups,pro workers rights; pro sick leave protections,1,protest,0,0,0,0,0,1,https://www.kvue.com/article/news/groups-rally-against-employment-regulation-bills/269-7dae87d6-953b-4c52-89ef-864c069b40b6,https://www.kvue.com/article/news/politics/texas-legislature/group-to-rally-at-texas-capitol-to-defend-paid-sick-leave/269-fc77158a-4d32-4f03-8c11-c0ba26b05084,,,,,
Berkeley,UC Berkeley,Alameda,CA,US,2019-05-01,about 100,100,,100,,,teacher and faculty,better compensation,0,rally,0,0,0,0,1,1,https://www.dailycal.org/2019/05/01/uc-berkeley-lecturers-union-rallies-for-job-security-living-wages/,,,,,,
Buffalo,University of Buffalo,Erie,NY,US,2019-05-01,around three dozen,36,,36,,,students,better compensation,0,rally,0,0,0,0,1,1,https://news.wbfo.org/post/ub-students-protest-raise-stipends-and-wages,,,,,,
Cambridge,Google Headquarters,Middlesex,MA,US,2019-05-01,Hundreds,200,,200,,,Google employees,against retaliation,1,protest,0,0,0,0,1,1,https://abcnews.go.com/Business/google-walkout-organizers-hold-sit-protest-alleged-retaliation/story?id=62752641,,,,,,
Charlottesville,University of Virginia,Albemarle,VA,US,2019-05-01,,,,,,,students,better compensation,0,rally,0,0,0,0,1,1,https://www.dailyprogress.com/gallery/students-protest-for-higher-part-time-wages/collection_bef985fa-6c42-11e9-aee7-f38c64cf6d4a.html,,,,,,
Cheyenne,,Laramie,WY,US,2019-05-01,more than 40,40,,40,,,general protestors,against immigration,2,protest,0,0,0,0,1,1,https://www.wyomingnews.com/news/local_news/activists-march-to-put-ice-on-trial-at-may-day/article_05e4f937-5def-5a5c-8187-c33af7c569f7.html,,,,,,
Columbia,State Capitol,Richland,SC,US,2019-05-01,an estimated 10000,10000,,10000,,,teachers,seek more education funding; better working conditions,1,protest,0,0,0,0,1,1,https://www.greenvilleonline.com/story/news/education/2019/05/01/all-out-sc-teacher-protest-rally-crowds-walkout/3632975002/,http://www.live5news.com/2019/04/22/sc-teacher-group-plans-may-walkout-march-statehouse/,https://www.scnow.com/news/education/article_f4a0d2ec-6640-11e9-99d6-e36b0ad8411a.html,,,,
Concord,State House,Merrimack,NH,US,2019-05-01,about 50,50,,50,,,general protestors,workers rights,1,rally,0,0,0,0,1,1,https://www.concordmonitor.com/NH-state-employee-union-rally-in-front-of-state-house-on-International-Workers-Day-25250749,,,,,,
Detroit,Clark Park,Wayne,MI,US,2019-05-01,more than 150,150,,150,,,general protestors,compassionate immigration,1,protest,0,0,0,0,1,1,https://www.detroitnews.com/story/news/local/detroit-city/2019/05/01/detroit-protesters-march-demand-licenses-undocumented-immigrants/3627723002/,,,,,,
Elkhart,,Elkhart,IN,US,2019-05-01,about 50,50,,50,,,general protestors,compassionate immigration,1,protest,0,0,0,0,1,1,https://www.elkharttruth.com/hometown/elkhart/immigrants-protest-driving-issues/article_a7de2f12-6506-5fea-b89b-4a0efd9636fb.html,,,,,,
Galloway,Stockton University,Atlantic,NJ,US,2019-05-01,a dozen,12,,12,,,students,protest domestic violence,2,protest,0,0,0,0,1,1,https://www.pressofatlanticcity.com/education/stockton-students-protest-board-meeting-after-sex-assault-lawsuits/article_e98a5ef9-c812-58e6-a54a-f246e72845c4.html,,,,,,
Grand Rapids,Division Avenue and finished on 28th Street in Wyoming near Roger's Plaza.,Kent,MI,US,2019-05-01,Hundreds,200,,200,,,general protestors,compassionate immigration,1,protest,0,0,0,0,1,1,https://www.mlive.com/news/g66l-2019/05/5f68cccac04760/west-michigan-demonstrators-seek-drivers-licenses-for-undocumented-immigrants-.html,,,,,,
Hartford,Trinity College,Hartford,CT,US,2019-05-01,about 200,200,,200,,,students,against white supremecy,1,protest,0,0,0,0,1,1,https://www.courant.com/breaking-news/hc-br-trinity-protest-churchill-club-20190501-bopkbifqw5cm5ozla656ve5mnq-story.html,,,,,,
Hendersonville,Courthouse,Henderson,NC,US,2019-05-01,around 100,100,,100,,,general protestors,against underfunding,1,protest,0,0,0,0,1,1,https://www.blueridgenow.com/news/20190501/educators-rally-at-historic-courthouse-for-better-pay-funding,,,,,,
Indio,City Hall,Riverside,CA,US,2019-05-01,dozens,24,,24,,,general protestors,compassionate immigration,1,protest,0,0,0,0,1,1,https://www.desertsun.com/story/news/local/indio/2019/05/01/california-labor-activists-may-day-rally-indio/3643242002/,,,,,,
Iowa City,University of Iowa,Johnson,IA,US,2019-05-01,,,,,,,students,disability rights,1,protest,0,0,0,0,1,1,https://dailyiowan.com/2019/05/01/students-rally-for-disability-awareness-and-inclusion-on-campus/,,,,,,
Jersey City,Hudson river,Hudson,NJ,US,2019-05-01,,,,,,,Make the Road New Jersey; Make the Road New York,pro workers rights,1,protest,0,0,0,0,1,1,https://www.northjersey.com/story/news/2019/04/30/may-day-marked-protests-licenses-undocumented-immigrants/3629705002/,,,,,,
Kalamazoo,,Kalamazoo,MI,US,2019-05-01,Hundreds,200,,200,,,general protestors,compassionate immigration,1,protest,0,0,0,0,1,1,https://www.mlive.com/news/g66l-2019/05/5f68cccac04760/west-michigan-demonstrators-seek-drivers-licenses-for-undocumented-immigrants-.html,,,,,,
Lincoln,State Capitol,Lancaster,NE,US,2019-05-01,about 30,30,,30,,,general protestors,against tax,1,protest,0,0,0,0,1,1,https://www.omaha.com/news/legislature/grassroots-group-rallies-at-state-capitol-for-ballot-initiative-on/article_76b5af43-c6b7-579a-b6d4-904ea6cc5e8c.html,,,,,,
Long Beach,MacArthur Park,Los Angeles,CA,US,2019-05-01,more than 200,200,,200,,,general protestors,workers rights,1,protest,0,0,0,0,1,1,https://www.presstelegram.com/2019/05/01/workers-march-through-central-long-beach-in-honor-of-may-day/,,,,,,
Long Island City,One Court Square,Nassau,NY,US,2019-05-01,about 200,200,,200,,,general protestors,protect library,0,protest,0,0,0,0,1,1,https://qns.com/story/2019/05/02/court-square-community-rallies-for-permanent-home-for-beloved-library-branch/,,,,,,
Los Angeles,Boyle Heights,Los Angeles,CA,US,2019-05-01,,,,,,,general protestors,"compassionate immigration, against border",1,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2019/4/30/may-day-rally-and-march-set-la,,,,,,
Los Angeles,Hall of Justice,Los Angeles,CA,US,2019-05-01,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,,,
Lowell,UMASS Lowell,Middlesex,MA,US,2019-05-01,roughly dozen ,12,,12,,,students,against sexual/domestic violence,1,protest,0,0,0,0,1,1,https://www.lowellsun.com/2019/05/01/uml-students-protest-over-alleged-harassing-professor/,,,,,,
Lynn,City Hall,Essex,MA,US,2019-05-01,hundreds,200,,200,,,general protestors,workers rights,0,protest,0,0,0,0,1,1,https://www.itemlive.com/2019/05/01/lynn-union-representatives-activists-join-workers-for-annual-may-day-march/,,,,,,
