CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Albuquerque,Outside Police Station,NM,US,2017-11-01,,,,,,,ADP Forward,Rallying for police reform,0,rally,0,0,0,0,1,1,https://www.abqjournal.com/1086807/reform-advocates-protest-apd-motion.html,,,,,
Charlottesville,University of Virginia,VA,US,2017-11-01,several dozen,24,,24,,,Students,Protesting increaing attacks on undocumented students,1,protest; walk-out,0,0,0,0,1,1,http://www.nbc29.com/story/36740644/uva-students-walk-out-of-class-to-protest-increasing-attack-on-undocumented-immigrants,,,,,
Chicago,DePaul University,IL,US,2017-11-01,about 100,100,,100,,,general protestors,Protesting appearance by Charles Murray,0,protest ,0,0,0,0,1,1,https://www.dnainfo.com/chicago/20171102/lincoln-park/author-charles-murray-appearance-speech-depaul-university-libertarian,,,,,
Chicopee,Outside school committee meeting,MA,US,2017-11-01,about 50,50,,50,,,general protestors,Protesting lack of teacher contracts,0,protest ,0,0,0,0,1,1,https://www.seattletimes.com/nation-world/students-protest-against-lack-of-teachers-contract/,,,,,
Denver,Civic Center park,CO,US,2017-11-01,FB: 109,109,,109,,,The Resistance 5820,Protesting police brutality,0,protest ,0,0,0,0,1,1,https://www.facebook.com/events/863356400487142/?acontext=%7B%22ref%22%3A%2244%22%2C%22unit_ref%22%3A%22related_events%22%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22permalink%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22RHC%5C%22%2C%5C%22extra_data%5C%22%3A[]%7D]%22%7D,,,,,
Fargo,Outside Rep. Cramer's office,ND,US,2017-11-01,a little more than a dozen,12,,12,,,American Federation of Labor,Rallying for bipartisan budget,1,rally,0,0,0,0,1,1,http://www.westfargopioneer.com/news/4352996-small-group-rallies-outside-rep-kevin-cramers-office-support-bipartisan-health-care,,,,,
Frankfort,Outside State Capitol,KY,US,2017-11-01,hundreds,200,,200,,,general protestors,Protesting proposed pension cuts,0,protest,0,0,0,0,1,1,http://www.kentucky.com/news/politics-government/article182192926.html,,,,,
Harrisonburg,Outside Rockingham County Courthouse,VA,US,2017-11-01,,,,,,,,Rallying for new high school,0,rally,0,0,0,0,1,1,http://www.breezejmu.org/news/rally-held-in-support-of-new-harrisonburg-high-school/article_740b6338-bf78-11e7-b25e-630c00d3d6cf.html,,,,,
Las Vegas,7055 S Lindell Rd. ,NV,US,2017-11-01,FB: 34 ,34,,34,,,Battle Born Progress ,Protesting Adam Laxalt ,1,protest ,0,0,0,0,1,1,https://www.meetup.com/en-AU/Resist-Las-Vegas/events/244604063/,https://www.facebook.com/events/1727904027221910/,,,,
Los Angeles,Hall of Justice,CA,US,2017-11-01,,,,,,,Black Lives Matter LA,"against police brutality, for police accountability, Black Lives Matter, against District Attorney Jackie Lacey",1,protest,,,,,1,1,https://medium.com/in-justice-today/civil-rights-group-vows-weekly-protests-of-los-angeles-district-attorney-adc23897058,https://www.cnn.com/2020/07/10/us/jackie-lacey-la-da-black-lives-matter/index.html,https://www.newyorker.com/magazine/2020/11/16/after-years-of-protests-every-wednesday-la-activists-welcome-a-new-da,,,
Morgantown,Outside Rep. McKinley's office,WV,US,2017-11-01,,,,,,,general protestors,Protesting Trump's decision to end DACA; rally for imigrants,1,rally,0,0,0,0,1,1,http://www.wdtv.com/content/news/Group-holds-DACA-rally-outside-Congressman-McKinleys-office-454534693.html,,,,,
New Haven,Olive St.,CT,US,2017-11-01,FB: 214,214,,214,,,Connecticut Bail Fund,Rallying for the homeless,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1905011429761144/,,,,,
New York ,Foley Square,NY,US,2017-11-01,roughly 150,150,,150,,,general protestors,Vigil for those killed in terror attack; rally to stop violence,0,rally,0,0,0,0,1,1,http://www.nydailynews.com/new-york/vigil-victims-terror-truck-attack-offers-messages-peace-article-1.3605136,,,,,
