CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Amherst,Hampshire College,MA,US,2017-10-01,,,,,,,"students, faculty",Rally for Puerto Rico ,0,rally,0,0,0,0,1,1,http://www.gazettenet.com/Hampshire-College-students-rally-to-address-the-federal-response-to-hurricane-victims-in-Puerto-Rico-and-Carribean-12875167,,,,,,,
Annapolis,Lawyers mall to City Dock,MD,US,2017-10-01,around 80,80,,80,,,general protestors,March for racial justice,1,rally,0,0,0,0,1,1,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,http://www.capitalgazette.com/news/annapolis/ac-cn-march-for-racial-justice-20171002-story.html,,,,,,
Binghamton,MLK Memorial Promenade,NY,US,2017-10-01,hundreds,200,,200,,,general protestors,Rally for racial justice,1,rally,0,0,0,0,1,1,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,http://www.wicz.com/story/36496125/binghamton-rallies-for-national-march-for-racial-justice,,,,,,
Blasdell,,NY,US,2017-10-01,,,,,,,general protestors,Protesting NFL protest,2,protest,0,0,0,0,1,1,http://wivb.com/2017/10/01/local-leaders-and-veterans-protest-nfl-players-actions/,,,,,,,
Carmel,Laura Spain Cornerstone Park,NY,US,2017-10-01,hundreds,200,,200,,,general protestors,Protesting national anthem protests,2,protest,0,0,0,0,1,1,http://westchester.news12.com/story/36495528/over-100-gather-at-stand-up-for-america-rally-in-carmel,https://patch.com/new-york/southeast/stand-america-rally-draws-hundreds-carmel,,,,,,
Eugene,Alton Baker Park,OR,US,2017-10-01,more than 200,200,,200,,,general protestors,Rally to spread awareness for world hunger,0,rally,0,0,0,0,1,1,http://kval.com/news/local/hundreds-of-people-march-against-world-hunger-at-alton-baker-park,,,,,,,
Falmouth,Village Green Historic District,MA,US,2017-10-01,FB: 60 went,60,,60,,,general protestors,Rally for racial justice,1,rally,,,,,1,1,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,https://www.facebook.com/events/359406534480031/,,,,,,
Foxboro,Gillette Stadium,MA,US,2017-10-01,dozens,24,,24,,,Veterans,Protesting national anthem protests,2,protest,0,0,0,0,1,1,http://boston.cbslocal.com/2017/10/01/rolling-rally-veterans-protest-nfl-patriots-gillette-stadium-national-anthem-flag/,,,,,,,
Gainesville,West University Ave.,FL,US,2017-10-01,NA,30,,30,,,Religious leaders,"Rally for unity, peace",0,rally,0,0,0,0,1,1,http://www.alligator.org/news/article_9929c06a-a704-11e7-8b13-7ff688fc1f78.html,,,,,,,
Glendale ,University of Phoenix Stadium ,AZ,US,2017-10-01,30,30,,30,,,San Francisco 49er players,anthem protest ,0,demonstration ,0,0,0,0,1,1,http://www.mercurynews.com/2017/10/01/49ers-explain-latest-national-anthem-demonstration/,,,,,,,
Glens Falls,Crandall Park,NY,US,2017-10-01,more than 125; FB: 61 Went,61,,125,,,general protestors,Rally for racial justice,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1536816179701602,http://poststar.com/news/local/community-comes-together-in-unity-march/article_ed41899a-10d9-5eaa-9f64-f15dc7222ed7.html,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,,,,,
Grand Marais,Harbor Park,MN,US,2017-10-01,approximately 150,150,,150,,,general protestors,Rallying against racism,0,rally,0,0,0,0,1,1,http://www.wtip.org/large-crowd-gathers-rally-against-racial-harassment-and-hate-speech,,,,,,,
Hartford,Broad St; Trinity College,CT,US,2017-10-01,FB: 193 went,193,,193,,,Women's March; BLM,Rally for racial justice,0,march; rally,0,0,0,0,1,1,https://www.facebook.com/events/1415491491898766/,,,,,,,
Holyoke,Heritage State Park to City Hall,MA,US,2017-10-01,hundreds; FB: 409 went,200,,409,,,general protestors,Rally for racial justice,1,rally,0,0,0,0,1,1,http://wwlp.com/2017/10/01/residents-march-for-racial-injustice-in-holyoke/,https://www.facebook.com/events/1928841424044082,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,,,,,
Los Angeles,Intersection of Buckingham Rd. and MLK Blvd,CA,US,2017-10-01,FB: 66,66,,66,,,general protestors,Rally for racial justice,1,rally,0,0,0,0,1,1,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,https://www.facebook.com/events/156456754934694/,,,,,,
Los Angeles,,CA,US,2017-10-01,thousands,2000,,2000,,,SlutWalk,"Protesting gender inequality, sexual assault",0,protest; rally,0,0,0,0,0,1,http://www.9news.com.au/entertainment/2017/10/02/15/52/amber-rose-leads-slutwalk-march-in-protest-of-sexual-assault,,,,,,,
Louisville,Central Park,KY,US,2017-10-01,dozens; more than 100,24,,100,,,"Public Works employees, retirees",Rallying for a pension plan,0,rally,0,0,0,0,1,1,http://www.wdrb.com/story/36496296/public-workers-rally-to-bring-awareness-to-kentucky-pension-crisis,http://www.whas11.com/news/local/kentucky-public-workers-rally-for-pension-plan/480031744,,count from video,,,,
Maplewood,Maplewood Town Pool,NJ,US,2017-10-01,,,,,,,general protestors,Rally for racial justice,1,rally,,,,,1,1,http://heavy.com/news/2017/09/march-for-racial-justice-sister-marches-on-october-1-list-near-me/,,,,,,,
Maryville ,,MO,US,2017-10-01,1,1,,1,,,J.D Dirks; Life Chain,Protesting abortion ,0,protest ,0,0,0,0,1,1,http://www.nwmissourinews.com/news/article_e71b516a-a9ef-11e7-9d34-6f5d55b14c85.html,,,,,,,
