CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,MacroEvent,Misc.,TearGas,Source1,Source2,Source3,Source4,Source5,Source6,Source7,Source8,Source9,Source10,Source11,Source12,Source13,Source14,Source15,,,,
Albany,West Capitol Park,,NY,US,2020-10-01,,,,,,,NYS Capitol District Poor People's Campaign; NYS Poor People's Campaign; Voices of Community Activists and Leaders; United Tenants of Albany Inc; Labor Religion Coalition of New York State,for extension of eviction moratorium during coronavirus pandemic,0,demonstration,,,,,1,1,,,,https://www.facebook.com/events/698563484098099/,https://twitter.com/housing4allNY/status/1311648061660200961,,,,,,,,,,,,,,,,,
Ann Arbor,Ann Arbor City Hall,,MI,US,2020-10-01,count pic,10,,15,,,general protesters,for human rights and against genocide in Democratic Republic of Congo,0,demonstration,0,0,0,0,1,1,,,,https://www.mlive.com/news/ann-arbor/2020/10/ann-arbors-congelese-community-calls-for-justice-decries-violence-in-home-country.html,Congolese community gathers in Ann Arbor to protest violence in home country - mlive.com,,,,,,,,,,,,,,,,,
Bardstown,Courthouse Square,,KY,US,2020-10-01,,,,,,,general protesters,for justice for Jamie Keene,0,rally,,,,,1,1,,,,https://www.wave3.com/2020/10/02/rally-held-bardstown-man-killed-april-stabbing/,,,,,,,,,,,,,,,,,,
Baton Rouge,Plank Rd,,LA,US,2020-10-01,about 40,40,,40,,,general protesters,against criminal violence,0,march,,,,,1,1,,,,https://www.theadvocate.com/baton_rouge/news/crime_police/article_cf0564b4-0412-11eb-a63b-1714c608f746.html,https://www.brproud.com/news/local-news/we-will-not-allow-it-cease-fire-march-aims-to-end-violence-in-baton-rouge/,https://www.wafb.com/2020/10/01/community-organizations-come-together-cease-fire-br-march-end-violence/,,,,,,,,,,,,,,,,
Beavercreek,"Wings Sports Bar and Grille, 3347 Seejay Dr",,OH,US,2020-10-01,about 30,30,,30,,,"Dayton-area restaurant and bar customers, owners, and employees",against state restrictions on restaurants and bars due to coronavirus,0,protest,,,,,1,1,,,,https://www.daytondailynews.com/what-to-know/local-restaurant-bar-owners-organize-peaceful-protest-against-coronavirus-restrictions/QN5S3Z4YRJCTLOY4ONIIJ4D7PM/,https://www.wyso.org/news/2020-10-06/restaurant-owners-and-supporters-protest-covid-19-restrictions,"Dayton-area restaurant, bar owners organize peaceful protest against coronavirus restrictions (daytondailynews.com)",,,,,,,,,,,,,,,,
Becker,Potter Trucking,,MN,US,2020-10-01,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,,Feat. Eric Trump,,https://www.radio.com/wccoradio/news/local/eric-trump-in-minnesota-on-heels-of-presidents-duluth-stop,,,,,,,,,,,,,,,,,,
Beckley,"Kroger, 133 Beckley Crossing Shopping Center",,WV,US,2020-10-01,,,,,,,UFCW Local 400,for better wages and healthcare and safer workplace conditions during coronavirus pandemic for Kroger grocery store workers in West Virginia,0,caravan,,,,,1,1,,,,https://wvva.com/2020/10/01/local-kroger-workers-protesting-today/,,,,,,,,,,,,,,,,,,
Bellefonte,outside office of State House Majority Leader Kerry Benninghoff,,PA,US,2020-10-01,,,,,,,March on Harrisburg,"against corruption, for ban on gifts to state lawmakers",0,march,0,0,0,0,1,1,,,,https://www.centredaily.com/news/local/community/bellefonte/article246124830.html,,,,,,,,,,,,,,,,,,
Billings,Pioneer Park,,MT,US,2020-10-01,,,,,,,Wrong for Montana,against legalization of marijuana in Montana,0,demonstration,,,,,1,1,,,,https://www.ktvq.com/news/local-news/top-law-enforcement-officers-oppose-marijuana-initiatives-during-billings-rally,,,,,,,,,,,,,,,,,,
Boise,State St,,ID,US,2020-10-01,,,,,,,general protesters,"against racism, against hate, for American values, for equality, Black Lives Matter, for voting rights, in support of veterans and active-duty military, respect science",1,demonstration,,,,,1,1,,,,https://www.kivitv.com/news/honk-for-american-values-demonstration-continues-for-100-straight-days,https://www.idahopress.com/news/local/honk-for-american-values-demonstrators-near-100-consecutive-days/article_088f414c-ac84-5f55-b84e-b3f811add6be.html,,,,,,,,,,,,,,,,,
Boston,"First Baptist Church, Jamaica Plain",,MA,US,2020-10-01,FB:32,32,,32,,,Vigil in Support of Black Lives Matter in Jamaica Plain,"Black Lives Matter, for racial justice",1,vigil,,,,,1,1,,,,https://www.facebook.com/events/715434075707953/,,,,,,,,,,,,,,,,,,
Boston,"West Village Quad, Northeastern University",,MA,US,2020-10-01,,,,,,,students,against construction of tent on campus green space,0,occupation,,,,,0,1,,,,https://huntnewsnu.com/63383/campus/students-stage-sit-in-to-protest-tent-construction-in-west-village-quad/,,,,,,,,,,,,,,,,,,
